input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_expired,tls_mismatched,tls_subject_org_,final_url,location
graphql2.trint.com,,400,18,graphql2.trint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,2024-02-24T23:59:59Z,CN=trint.com,trint.com,*.trint.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b6377e5c35b3dfbf6c740a458b558aec,bdbe281ebad41243f5043e789ecd97f0b2fe337e6262bd0045c1cf97b470a493,True,ctls,graphql2.trint.com,,443,https://graphql2.trint.com:443,https,,,GET,54.234.9.157,/,-154443986,54.86.64.14,HSTS,1,False,,,,,,,
https://academy.intercom.com,Intercom Academy,200,143220,academy.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-08-12T23:59:59Z,CN=academy.intercom.com,academy.intercom.com,academy.intercom.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,99cf526357e739168f8d98ab279962bc,e902cb91daf180836dcff8059b873239f6e4e29c28b3bd687fbb841df06f7051,,ctls,academy.intercom.com,cloudfront,443,https://academy.intercom.com:443,https,gunicorn,text/html,GET,13.249.9.7,/,-1857449216,13.249.9.77,gunicorn,2236,False,True,,,,,,
https://analytics.google.com,Redirecting...,200,888,analytics.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-19T12:53:06Z,2023-08-11T12:53:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,445215b2dc12d0ce2131cae978248fc8,e85d3546a46216866031dae34478188a6c9627ed4593b8de4d4ed0e522d9382e,True,ctls,analytics.google.com,,443,https://analytics.google.com:443,https,ESF,text/html,GET,216.239.32.181,/,302920777,2001:4860:4802:34::181,HTTP/3,1,False,,http:,,,,https://analytics.google.com/analytics/web/,
https://app.au.intercom.com,Intercom | The easiest way to see and talk to your users,200,11698,app.au.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-02-08T23:59:59Z,CN=*.au.intercom.io,*.au.intercom.io,*.mobile-messenger.au.intercom.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,981caee7c8a24ff7f99d38545198823f,e14f0f455afb8d09022322b2a8ed2cfb8f312f340f2afea2f42d46f57dd1e34d,True,ctls,app.au.intercom.com,,443,https://app.au.intercom.com:443,https,nginx,text/html,GET,52.63.34.19,/,-1840324437,54.79.136.175,Ruby on Rails,237,False,,share.synthesia.io,,True,,https://app.au.intercom.com/admins/sign_in,
https://app.eu.intercom.com,Intercom | The easiest way to see and talk to your users,200,11666,app.eu.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-06-07T23:59:59Z,CN=*.eu.intercom.io,*.eu.intercom.io,*.intercom-clicks.eu,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1eee4a9e8cfeefc760fd1f82e1cdeef7,c240f5f3b0b1a17c11765a6f1788972ddc95e4eea4b0b3da3c8d042e7ab78199,True,ctls,app.eu.intercom.com,,443,https://app.eu.intercom.com:443,https,nginx,text/html,GET,54.246.159.8,/,-1840324437,52.16.147.15,Ruby on Rails,237,False,,store.intercomassets.com,,True,,https://app.eu.intercom.com/admins/sign_in,
https://app.intercom.com,Intercom | The easiest way to see and talk to your users,200,12149,app.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-05-10T23:59:59Z,CN=*.intercom.com,*.intercom.com,intr.cm,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c0951bf8e99caddb8b5fb0a86acd849a,8bb4b251f6aa931b7ca267c21ae35bffa2ce16bf2a329c060ff773b643a91397,True,ctls,app.intercom.com,,443,https://app.intercom.com:443,https,nginx,text/html,GET,52.5.173.1,/,-1840324437,3.226.189.185,Ruby on Rails,246,False,,players.brightcove.net,,,,https://app.intercom.com/admins/sign_in,
https://au.intercom.help,Knowledge Base Software | Intercom,200,597863,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,,443,https://au.intercom.help:443,https,nginx,text/html,GET,76.223.28.196,/,-1840324437,13.248.154.55,Nginx,17,False,,11541986.fls.doubleclick.net,,,,https://www.intercom.com/articles,
https://connect.facebook.net,Facebook – Anmelden oder Registrieren,200,84619,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-12T00:00:00Z,2023-06-10T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,4b8df0a009693c71c398bb4b34c4eec2,0d0262223727b52db34fc8e14b963c6f4f2f210a373de63738a6b4f437ffa9ce,True,ctls,m.facebook.com,,443,https://connect.facebook.net:443,https,,text/html,GET,157.240.253.1,/,142313513,2a03:2880:f084:d:face:b00c:0:3,HTTP/3,20,False,,*.facebook.com,,,"Meta Platforms, Inc.",https://m.facebook.com/?wtsid=rdr_0EIB2tUorfxpTYOvh,
https://content.jwplatform.com,,404,15,content.jwplatform.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-12-25T23:59:59Z,CN=jwplayer.com,jwplayer.com,bitsontherun.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,56629f85ff47cbbe29d529562b37a68b,bccb8b354c9a81f9d6a42dd4ae88794427d1be2728ad83ef126e8f13a463115a,True,ctls,content.jwplatform.com,cloudfront,443,https://content.jwplatform.com:443,https,openresty,text/plain,GET,18.66.147.22,/,-1179026472,2600:9000:225e:7c00:1:a3fa:7cc0:93a1,OpenResty,2,False,True,,,True,,,
https://embed.app.guidde.com,Embed guidde video,200,833,embed.app.guidde.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-28T22:54:38Z,2023-08-26T22:54:37Z,CN=embed.app.guidde.com,embed.app.guidde.com,embed.app.guidde.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2744fcbc393c9676f4fee95b4fdb7140,3da4ce5c5c73ae60b3d6ece23f215c045ab31111fd9ff6f3c6e487b482091e14,,ctls,embed.app.guidde.com,google,443,https://embed.app.guidde.com:443,https,Google Frontend,text/html,GET,34.149.248.197,/,1990843168,34.149.248.197,HTTP/3,1,False,True,,,,,,
