input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,tech_,tls_wildcard_certificate,tls_self_signed,tls_mismatched,tls_subject_org_,cdn_name,webserver,cdn,final_url
160340.okta.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,160340.okta.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,160340.okta.cloud.tyk.io,443,https://160340.okta.cloud.tyk.io:443,https,text/html,GET,34.230.129.238,/,-138391155,34.238.224.143,223,False,,HSTS,True,,True,,,,,
17-121-126-53.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,17-121-126-53.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,17-121-126-53.cloud.tyk.io,443,https://17-121-126-53.cloud.tyk.io:443,https,text/html,GET,100.25.172.191,/,-138391155,34.230.129.238,223,False,,HSTS,True,,,,,,,
20160330.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,20160330.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,20160330.cloud.tyk.io,443,https://20160330.cloud.tyk.io:443,https,text/html,GET,34.238.224.143,/,-138391155,34.193.72.234,223,False,,HSTS,True,,,,,,,
5d0a.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,5d0a.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,5d0a.cloud.tyk.io,443,https://5d0a.cloud.tyk.io:443,https,text/html,GET,34.230.129.238,/,-138391155,34.238.224.143,223,False,,HSTS,True,,,,,,,
666dc491-2fe6-437f-94e7-d5b080925c5d.okta.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,666dc491-2fe6-437f-94e7-d5b080925c5d.okta.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,666dc491-2fe6-437f-94e7-d5b080925c5d.okta.cloud.tyk.io,443,https://666dc491-2fe6-437f-94e7-d5b080925c5d.okta.cloud.tyk.io:443,https,text/html,GET,34.193.72.234,/,-138391155,100.25.172.191,223,False,,HSTS,True,,True,,,,,
7-8-1.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,7-8-1.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,7-8-1.cloud.tyk.io,443,https://7-8-1.cloud.tyk.io:443,https,text/html,GET,34.230.129.238,/,-138391155,34.238.224.143,223,False,,HSTS,True,,,,,,,
8-4.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,8-4.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,8-4.cloud.tyk.io,443,https://8-4.cloud.tyk.io:443,https,text/html,GET,100.25.172.191,/,-138391155,34.193.72.234,223,False,,HSTS,True,,,,,,,
account.cloud-ara.tyk.io,Tyk Cloud Billing,200,1164,account.cloud-ara.tyk.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-28T03:55:04Z,2023-09-26T03:55:03Z,CN=account.cloud-ara.tyk.io,account.cloud-ara.tyk.io,account.cloud-ara.tyk.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a7b845d42808ee2294f7bd8c232a052f,941acca73a6a0674034525b2acc474d88e0ec52236ba8d1b63fbf1e780eef6bd,ctls,account.cloud-ara.tyk.io,443,https://account.cloud-ara.tyk.io:443,https,text/html,GET,18.170.75.108,/,-345232527,3.11.137.17,9,False,https://api.stripe.com,hCaptcha,,,,,,,,
acosta.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,acosta.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,acosta.cloud.tyk.io,443,https://acosta.cloud.tyk.io:443,https,text/html,GET,34.238.224.143,/,-138391155,34.193.72.234,223,False,,HSTS,True,,,,,,,
admin.cloud.tyk.io,Tyk.io Login,200,1854,admin.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,admin.cloud.tyk.io,443,https://admin.cloud.tyk.io:443,https,text/html,GET,34.238.224.143,/,1473136670,100.25.172.191,55,False,,HSTS,True,,,,,,,
agatsa.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,agatsa.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,agatsa.cloud.tyk.io,443,https://agatsa.cloud.tyk.io:443,https,text/html,GET,100.25.172.191,/,-138391155,34.193.72.234,223,False,,HSTS,True,,,,,,,
alemana.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,alemana.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,alemana.cloud.tyk.io,443,https://alemana.cloud.tyk.io:443,https,text/html,GET,34.193.72.234,/,-138391155,34.230.129.238,223,False,,HSTS,True,,,,,,,
anaximenes.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,anaximenes.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,anaximenes.cloud.tyk.io,443,https://anaximenes.cloud.tyk.io:443,https,text/html,GET,34.193.72.234,/,-138391155,34.238.224.143,223,False,,HSTS,True,,,,,,,
api.deptrack.tyk.io,Dependency-Track,200,393,api.deptrack.tyk.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-03T00:00:00Z,2024-05-31T23:59:59Z,CN=deptrack.tyk.io,deptrack.tyk.io,api.deptrack.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f18171c1ab86ee81ba1a4e41f2aea7aa,be7cfd422bc296d3a2978ba5327e54210d4dfeb2a935b50e0fb1e64c3746fdac,ctls,api.deptrack.tyk.io,443,https://api.deptrack.tyk.io:443,https,text/html,GET,18.158.69.253,/,-1840324437,18.198.172.58,16,False,,,,,,,,,,
apimanager-prd.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,apimanager-prd.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,apimanager-prd.cloud.tyk.io,443,https://apimanager-prd.cloud.tyk.io:443,https,text/html,GET,34.230.129.238,/,-138391155,34.238.224.143,223,False,,HSTS,True,,,,,,,
ash2-key-a1.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,ash2-key-a1.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,ash2-key-a1.cloud.tyk.io,443,https://ash2-key-a1.cloud.tyk.io:443,https,text/html,GET,34.230.129.238,/,-138391155,34.238.224.143,223,False,,HSTS,True,,,,,,,
ash2-systemzservices-a2.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,ash2-systemzservices-a2.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,ash2-systemzservices-a2.cloud.tyk.io,443,https://ash2-systemzservices-a2.cloud.tyk.io:443,https,text/html,GET,34.238.224.143,/,-138391155,100.25.172.191,223,False,,HSTS,True,,,,,,,
atl-prd-infra-cma-01.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,atl-prd-infra-cma-01.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,atl-prd-infra-cma-01.cloud.tyk.io,443,https://atl-prd-infra-cma-01.cloud.tyk.io:443,https,text/html,GET,34.193.72.234,/,-138391155,34.238.224.143,223,False,,HSTS,True,,,,,,,
atl-prd-ngw-10b-idsmgmt1.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,atl-prd-ngw-10b-idsmgmt1.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,atl-prd-ngw-10b-idsmgmt1.cloud.tyk.io,443,https://atl-prd-ngw-10b-idsmgmt1.cloud.tyk.io:443,https,text/html,GET,100.25.172.191,/,-138391155,34.193.72.234,223,False,,HSTS,True,,,,,,,
avl-bch-dev.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,avl-bch-dev.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,avl-bch-dev.cloud.tyk.io,443,https://avl-bch-dev.cloud.tyk.io:443,https,text/html,GET,100.25.172.191,/,-138391155,34.193.72.234,223,False,,HSTS,True,,,,,,,
aws-usw2-fis-trino-uat.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,aws-usw2-fis-trino-uat.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,aws-usw2-fis-trino-uat.cloud.tyk.io,443,https://aws-usw2-fis-trino-uat.cloud.tyk.io:443,https,text/html,GET,34.230.129.238,/,-138391155,100.25.172.191,223,False,,HSTS,True,,,,,,,
baiduspider-111-206-198-81.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,baiduspider-111-206-198-81.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,baiduspider-111-206-198-81.cloud.tyk.io,443,https://baiduspider-111-206-198-81.cloud.tyk.io:443,https,text/html,GET,34.238.224.143,/,-138391155,100.25.172.191,223,False,,HSTS,True,,,,,,,
baiduspiderad-61-135-168-20.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,baiduspiderad-61-135-168-20.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,baiduspiderad-61-135-168-20.cloud.tyk.io,443,https://baiduspiderad-61-135-168-20.cloud.tyk.io:443,https,text/html,GET,34.238.224.143,/,-138391155,34.193.72.234,223,False,,HSTS,True,,,,,,,
bernoullidbb.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,bernoullidbb.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,bernoullidbb.cloud.tyk.io,443,https://bernoullidbb.cloud.tyk.io:443,https,text/html,GET,34.238.224.143,/,-138391155,34.193.72.234,223,False,,HSTS,True,,,,,,,
betterstatus.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,betterstatus.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,betterstatus.cloud.tyk.io,443,https://betterstatus.cloud.tyk.io:443,https,text/html,GET,34.193.72.234,/,-138391155,34.238.224.143,223,False,,HSTS,True,,,,,,,
bltv2wl6.cloud.tyk.io,Tyk Cloud - API Management and Gateway,200,9549,bltv2wl6.cloud.tyk.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-28T23:59:59Z,CN=*.cloud.tyk.io,*.cloud.tyk.io,cloud.tyk.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6790d175c11a2909f45111083695461c,43620dd08121263a6abcb7617d33818b0b48bcf530be076b0d7740df6587ae5d,ctls,bltv2wl6.cloud.tyk.io,443,https://bltv2wl6.cloud.tyk.io:443,https,text/html,GET,34.238.224.143,/,-138391155,34.230.129.238,223,False,,HSTS,True,,,,,,,
boiler-room.tyk.io,Log In - Tyk Boiler Room @ BlogIn,200,6838,boiler-room.tyk.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.tyk.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",eeef8d5db4313c4b553f7946e5bff79a,92aed799947706675784d6e61b564509c40c339e1163f416d4ecc96fec0e3042,ctls,boiler-room.tyk.io,443,https://boiler-room.tyk.io:443,https,text/html,GET,104.22.65.179,/,-1924994946,2606:4700:10::6816:41b3,127,False,,HSTS,True,,,"Cloudflare, Inc.",cloudflare,cloudflare,True,https://boiler-room.tyk.io/login
