input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_mismatched,tls_wildcard_certificate,tls_subject_org_,location,final_url
amon.tech,"Sell, buy and exchange Crypto in one place | Amon",200,62246,amon.tech,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-26T01:30:11Z,2023-09-24T01:30:10Z,CN=amon.tech,amon.tech,www.amon.tech,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cc25f2feb89f1089c840fb8458209302,6b3d19c1f34397d7f22d6a6b399ca689d7619687d0f3458b019618d1f973647c,ctls,amon.tech,google,443,https://amon.tech:443,https,Netlify,text/html,GET,104.198.14.52,/,1854946313,104.198.14.52,React,19,False,True,https://www.google.co.uz,,,,,
api.amon.tech,,200,4309,api.amon.tech,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-20T17:52:42Z,2023-09-18T17:52:41Z,CN=api.amon.tech,api.amon.tech,api.amon.tech,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,d42682fb0ee376acd4c269a5dde16f84,2273ad4b3557d0f7eb0c8c4bbbd6d7060a1555e3eb4d0aa2f796c0a7e9c04a23,ctls,api.amon.tech,cloudflare,443,https://api.amon.tech:443,https,cloudflare,application/json,GET,188.114.97.3,/,-738705486,2a06:98c1:3121::3,Heroku,1,False,True,https:,,,,,
blog.amon.tech,📚 Latest news about cryptocurrencies | Amon,200,17597,amon.tech,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-26T01:30:11Z,2023-09-24T01:30:10Z,CN=amon.tech,amon.tech,www.amon.tech,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cc25f2feb89f1089c840fb8458209302,6b3d19c1f34397d7f22d6a6b399ca689d7619687d0f3458b019618d1f973647c,ctls,amon.tech,,443,https://blog.amon.tech:443,https,Netlify,text/html,GET,75.2.60.5,/,1847743655,75.2.60.5,webpack,19,False,,,,,,,https://amon.tech/blog
cal.amon.tech,Sign in - Google Accounts,200,1402,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:46Z,2023-10-02T08:21:45Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,531b6f0d6764795fb395fb7874cb00a6,9e39587ca471bdddb7c67a1e20d6b44c230f74a20a26c08a1b93762215747ac6,ctls,www.google.com,,80,http://cal.amon.tech:80,http,GSE,text/html,GET,172.217.16.147,/,1224113152,2a00:1450:4001:811::2013,OpenGSE,32,False,,url=https://www.google.com/accounts/AccountChooser?hd=amon.tech&continue=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&followup=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&osid=1&service=cl,,,,,https://www.google.com/a/amon.tech/ServiceLogin?service=cl&continue=https://calendar.google.com/calendar/&followup=https://calendar.google.com/calendar/&osid=1&passive=1209600
drive.amon.tech,Sign in - Google Accounts,200,1449,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:46Z,2023-10-02T08:21:45Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,531b6f0d6764795fb395fb7874cb00a6,9e39587ca471bdddb7c67a1e20d6b44c230f74a20a26c08a1b93762215747ac6,ctls,www.google.com,,80,http://drive.amon.tech:80,http,GSE,text/html,GET,172.217.23.115,/,1391790131,2a00:1450:4001:812::2013,OpenGSE,32,False,,url=https://www.google.com/accounts/AccountChooser?hd=amon.tech&continue=https%3A%2F%2Fdrive.google.com%2Fa%2Famon.tech%2F&followup=https%3A%2F%2Fdrive.google.com%2Fa%2Famon.tech%2F&osid=1&service=wise&faa=1,,,,,https://www.google.com/a/amon.tech/ServiceLogin?service=wise&passive=1209600&osid=1&continue=https://drive.google.com/a/amon.tech/&followup=https://drive.google.com/a/amon.tech/&faa=1
help.amon.tech,,301,,help.amon.tech,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-19T00:00:00Z,2024-02-18T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,amon.tech,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",cb3955a8a7ef426e6680bc47103deeae,f3effe835b0783f36fd491f2b4e82040e9c72348b49bd7652e6feaaa26635968,ctls,help.amon.tech,cloudflare,443,https://help.amon.tech:443,https,cloudflare,,GET,162.159.138.6,/,-1840324437,162.159.128.7,HTTP/3,1,False,True,,,True,"Cloudflare, Inc.",https://help.amon.tech/,https://help.amon.tech/
privatesale.amon.tech,Web Cryptocurrency Wallet | Amon,200,5377,privatesale.amon.tech,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-04T17:30:08Z,2023-09-02T17:30:07Z,CN=privatesale.amon.tech,privatesale.amon.tech,privatesale.amon.tech,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,84f6ff0e666cce87146f4ddbddc38103,a54db67c8f7a8d9a85f26f35d41d116ce7dd38917b02f5d24c2df99820a39697,ctls,privatesale.amon.tech,,443,https://privatesale.amon.tech:443,https,Netlify,text/html,GET,18.192.231.252,/,-749879972,2a05:d014:275:cb01::c8,Netlify,84,False,,https://www.google.co.tz,,,,,
rates.amon.tech,,405,86,rates.amon.tech,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-20T14:43:31Z,2023-09-18T14:43:30Z,CN=rates.amon.tech,rates.amon.tech,rates.amon.tech,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,fd608d15250002c5cfcf6becbc3647e8,edd55eca4e6064df6e05cda439fc3e8384910c92b1b47c992536b98a361f2a4b,ctls,rates.amon.tech,cloudflare,443,https://rates.amon.tech:443,https,cloudflare,application/json,GET,188.114.96.3,/,705209916,2a06:98c1:3121::3,Heroku,1,False,True,,,,,,
servermail2.amon.tech,404 Not Found,404,162,servermail2.amon.tech,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,ctls,servermail2.amon.tech,,443,https://servermail2.amon.tech:443,https,nginx,text/html,GET,167.89.115.56,/,190856733,167.89.115.120,Nginx,8,False,,,True,True,,,
wallet.amon.tech,Web Cryptocurrency Wallet | Amon,200,11767,wallet.amon.tech,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T20:10:08Z,2023-09-04T20:10:07Z,CN=wallet.amon.tech,wallet.amon.tech,wallet.amon.tech,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fb1f2a1b4edc6779bb2adf71340d8450,6af9e7060ee9dd28f28a81f60a33861881c5065b605467d59b7986a3fba33067,ctls,wallet.amon.tech,google,443,https://wallet.amon.tech:443,https,Netlify,text/html,GET,34.159.137.246,/,777174031,2a05:d014:275:cb01::c8,Netlify,84,False,True,https://*.intercom-attachments-8.com,,,,,
