input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,final_url
000kumuhreadcosta-trackingdb-tw-okta-019kumuhreadread.apar.eci.traveloka.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://000kumuhreadcosta-trackingdb-tw-okta-019kumuhreadread.apar.eci.traveloka.com:80,http,CloudFront,text/html,GET,99.86.4.25,/,2027531904,99.86.4.108,Amazon Web Services,20,False,True,,,
000kumuhreadcosta-trackingdb-tw-okta-101kumuhreadread.apar.eci.traveloka.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://000kumuhreadcosta-trackingdb-tw-okta-101kumuhreadread.apar.eci.traveloka.com:80,http,CloudFront,text/html,GET,99.86.4.25,/,489822282,99.86.4.108,Amazon Web Services,20,False,True,,,
001kumuhreadcosta-trackingdb-tw-okta-321kumuhreadread.apar.eci.traveloka.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://001kumuhreadcosta-trackingdb-tw-okta-321kumuhreadread.apar.eci.traveloka.com:80,http,CloudFront,text/html,GET,99.86.4.108,/,-1555482145,99.86.4.25,Amazon Web Services,20,False,True,,,
001kumuhreadcosta-trackingdb-tw-okta-751kumuhreadread.apar.eci.traveloka.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://001kumuhreadcosta-trackingdb-tw-okta-751kumuhreadread.apar.eci.traveloka.com:80,http,CloudFront,text/html,GET,99.86.4.25,/,658300604,99.86.4.66,Amazon Web Services,20,False,True,,,
001kumuhreadcosta-trackingdb-tw-okta-760kumuhreadread.apar.eci.traveloka.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://001kumuhreadcosta-trackingdb-tw-okta-760kumuhreadread.apar.eci.traveloka.com:80,http,CloudFront,text/html,GET,99.86.4.66,/,-400915532,99.86.4.25,Amazon Web Services,20,False,True,,,
001kumuhreadcosta-trackingdb-tw-okta-768kumuhreadread.apar.eci.traveloka.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://001kumuhreadcosta-trackingdb-tw-okta-768kumuhreadread.apar.eci.traveloka.com:80,http,CloudFront,text/html,GET,99.86.4.88,/,1332689860,99.86.4.66,Amazon Web Services,20,False,True,,,
003kumuhreadcosta-trackingdb-tw-okta-704kumuhreadread.apar.eci.traveloka.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://003kumuhreadcosta-trackingdb-tw-okta-704kumuhreadread.apar.eci.traveloka.com:80,http,CloudFront,text/html,GET,99.86.4.25,/,-1322907542,99.86.4.108,Amazon Web Services,20,False,True,,,
005kumuhreadcosta-trackingdb-tw-okta-023kumuhreadread.apar.eci.traveloka.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://005kumuhreadcosta-trackingdb-tw-okta-023kumuhreadread.apar.eci.traveloka.com:80,http,CloudFront,text/html,GET,99.86.4.66,/,1739489413,99.86.4.88,Amazon Web Services,20,False,True,,,
005kumuhreadcosta-trackingdb-tw-okta-504kumuhreadread.apar.eci.traveloka.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://005kumuhreadcosta-trackingdb-tw-okta-504kumuhreadread.apar.eci.traveloka.com:80,http,CloudFront,text/html,GET,99.86.4.88,/,1658371013,99.86.4.108,Amazon Web Services,20,False,True,,,
007kumuhreadcosta-trackingdb-tw-okta-391kumuhreadread.apar.eci.traveloka.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://007kumuhreadcosta-trackingdb-tw-okta-391kumuhreadread.apar.eci.traveloka.com:80,http,CloudFront,text/html,GET,99.86.4.88,/,772673777,99.86.4.66,Amazon Web Services,20,False,True,,,
007kumuhreadcosta-trackingdb-tw-okta-891kumuhreadread.apar.eci.traveloka.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://007kumuhreadcosta-trackingdb-tw-okta-891kumuhreadread.apar.eci.traveloka.com:80,http,CloudFront,text/html,GET,99.86.4.108,/,1015661840,99.86.4.25,Amazon Web Services,20,False,True,,,
011kumuhreadcosta-trackingdb-tw-okta-016kumuhreadread.apar.eci.traveloka.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://011kumuhreadcosta-trackingdb-tw-okta-016kumuhreadread.apar.eci.traveloka.com:80,http,CloudFront,text/html,GET,99.86.4.66,/,-632020169,99.86.4.88,Amazon Web Services,20,False,True,,,
011kumuhreadcosta-trackingdb-tw-okta-024kumuhreadread.apar.eci.traveloka.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://011kumuhreadcosta-trackingdb-tw-okta-024kumuhreadread.apar.eci.traveloka.com:80,http,CloudFront,text/html,GET,99.86.4.66,/,1511325186,99.86.4.25,Amazon Web Services,20,False,True,,,
011kumuhreadcosta-trackingdb-tw-okta-308kumuhreadread.apar.eci.traveloka.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://011kumuhreadcosta-trackingdb-tw-okta-308kumuhreadread.apar.eci.traveloka.com:80,http,CloudFront,text/html,GET,99.86.4.66,/,-1441551151,99.86.4.88,Amazon Web Services,20,False,True,,,
020kumuhreadcosta-trackingdb-tw-okta-021kumuhreadread.apar.eci.traveloka.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://020kumuhreadcosta-trackingdb-tw-okta-021kumuhreadread.apar.eci.traveloka.com:80,http,CloudFront,text/html,GET,99.86.4.66,/,-76305738,99.86.4.25,Amazon Web Services,20,False,True,,,
