input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,tls_self_signed,tls_mismatched,tls_subject_org_,favicon,csp_domains_,final_url
patternautomation.magiceden.workers.dev,,404,16,patternautomation.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,patternautomation.magiceden.workers.dev,cloudflare,443,https://patternautomation.magiceden.workers.dev,https,cloudflare,text/plain,GET,172.67.159.151,/,/favicon.ico,2606:4700:3037::6815:4274,HTTP/3,1,False,True,error,0,,,,,,
pay-sbx.magiceden.workers.dev,,404,16,pay-sbx.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,pay-sbx.magiceden.workers.dev,cloudflare,443,https://pay-sbx.magiceden.workers.dev,https,cloudflare,text/plain,GET,172.67.159.151,/,/favicon.ico,2606:4700:3033::ac43:9f97,HTTP/3,1,False,True,error,0,,,,,,
paychannel-dcb-web.magiceden.workers.dev,,404,16,paychannel-dcb-web.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,paychannel-dcb-web.magiceden.workers.dev,cloudflare,443,https://paychannel-dcb-web.magiceden.workers.dev,https,cloudflare,text/plain,GET,172.67.159.151,/,/favicon.ico,2606:4700:3037::6815:4274,HTTP/3,1,False,True,error,0,,,,,,
payment-thekittencodandomain-controllererrsmail.magiceden.workers.dev,,404,16,payment-thekittencodandomain-controllererrsmail.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,payment-thekittencodandomain-controllererrsmail.magiceden.workers.dev,cloudflare,443,https://payment-thekittencodandomain-controllererrsmail.magiceden.workers.dev,https,cloudflare,text/plain,GET,104.21.66.116,/,/favicon.ico,2606:4700:3033::ac43:9f97,HTTP/3,1,False,True,error,0,,,,,,
paytool.magiceden.workers.dev,,404,16,paytool.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,paytool.magiceden.workers.dev,cloudflare,443,https://paytool.magiceden.workers.dev,https,cloudflare,text/plain,GET,172.67.159.151,/,/favicon.ico,2606:4700:3033::ac43:9f97,HTTP/3,1,False,True,error,0,,,,,,
pbx-provider-api-prepod.magiceden.workers.dev,,404,16,pbx-provider-api-prepod.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,pbx-provider-api-prepod.magiceden.workers.dev,cloudflare,443,https://pbx-provider-api-prepod.magiceden.workers.dev,https,cloudflare,text/plain,GET,172.67.159.151,/,/favicon.ico,2606:4700:3037::6815:4274,HTTP/3,1,False,True,error,0,,,,,,
pc22-11.magiceden.workers.dev,,404,16,pc22-11.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,pc22-11.magiceden.workers.dev,cloudflare,443,https://pc22-11.magiceden.workers.dev,https,cloudflare,text/plain,GET,104.21.66.116,/,/favicon.ico,2606:4700:3033::ac43:9f97,HTTP/3,1,False,True,error,0,,,,,,
pcc-10-21-16-100.magiceden.workers.dev,,404,16,pcc-10-21-16-100.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,pcc-10-21-16-100.magiceden.workers.dev,cloudflare,443,https://pcc-10-21-16-100.magiceden.workers.dev,https,cloudflare,text/plain,GET,172.67.159.151,/,/favicon.ico,2606:4700:3033::ac43:9f97,HTTP/3,1,False,True,error,0,,,,,,
pcc-10-21-16-162.magiceden.workers.dev,,404,16,pcc-10-21-16-162.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,pcc-10-21-16-162.magiceden.workers.dev,cloudflare,443,https://pcc-10-21-16-162.magiceden.workers.dev,https,cloudflare,text/plain,GET,104.21.66.116,/,/favicon.ico,2606:4700:3033::ac43:9f97,HTTP/3,1,False,True,error,0,,,,,,
pcc-149-202-226-107.magiceden.workers.dev,,404,16,pcc-149-202-226-107.magiceden.workers.dev,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T17:31:06Z,2025-03-18T18:29:31Z,CN=magiceden.workers.dev,magiceden.workers.dev,*.magiceden.workers.dev,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,97885e6c67686f1c1b26d8cc09f0c72e,6c4e30d008a8bc45ec83064dc174cab305707ecb7627ad02ae8449fffda6242e,True,ctls,pcc-149-202-226-107.magiceden.workers.dev,cloudflare,443,https://pcc-149-202-226-107.magiceden.workers.dev,https,cloudflare,text/plain,GET,104.21.66.116,/,/favicon.ico,2606:4700:3033::ac43:9f97,HTTP/3,1,False,True,error,0,,,,,,
