new,host,a,soa,ns,status_code,cdn,cdn-name,cname,aaaa,has_internal_ips,internal_ips
[x],onboarding-ap-s.cloud.com,20.193.0.10,"ns1-06.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-onboarding-fdproxy-ap-s.trafficmanager.net, releasescloudproxy-ap-s.cloud.com, ctxwsp-releasescloudproxy-ap-s.trafficmanager.net, ctxwsp-aueast-release-b-nt-releasescloudproxy.australiaeast.cloudapp.azure.com",,,
[x],onboarding-eu.cloud.com,40.119.154.62,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-onboarding-fdproxy-eu.trafficmanager.net, releasescloudproxy-eu.cloud.com, ctxwsp-releasescloudproxy-eu.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasescloudproxy.westeurope.cloudapp.azure.com",,,
[x],onboarding.cloud.com,40.119.154.62,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-onboarding-fdproxy-global.trafficmanager.net, releasescloudproxy.cloud.com, ctxwsp-releasescloudproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasescloudproxy.westeurope.cloudapp.azure.com",,,
[x],session.browser.cloud.com,51.144.139.213,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"session-release-a.browser.cloud.com, ctxsb-prod-a-tm-session-profile.trafficmanager.net, session-eu-a.browser.cloud.com, ctxsb-proda2-cp.westeurope.cloudapp.azure.com",,,
[x],us.cloud.com,40.88.49.69,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-releasescloudproxy-us.trafficmanager.net, ctxwsp-eastus-release-b-nt-releasescloudproxy.eastus.cloudapp.azure.com",,,
[x],www.cloud.com,"23.213.161.200, 23.213.161.216","n0dsca.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,"prod-events.edgekey.net, e30851.dsca.akamaiedge.net","2a02:26f0:1700:11::b856:678f, 2a02:26f0:1700:11::b856:6799",,
[x],xml.browser.cloud.com,51.144.139.213,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"xml-release-a.browser.cloud.com, ctxsb-prod-a-tm-xml-profile.trafficmanager.net, xml-eu-a.browser.cloud.com, ctxsb-proda2-cp.westeurope.cloudapp.azure.com",,,
,admin-eu-a.browser.cloud.com,51.144.139.213,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,ctxsb-proda2-cp.westeurope.cloudapp.azure.com,,,
,admin-us-a.browser.cloud.com,20.66.32.155,"ns1-02.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,ctxsb-proda2-cp.westus.cloudapp.azure.com,,,
,admin.browser.cloud.com,51.144.139.213,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"admin-release-a.browser.cloud.com, ctxsb-prod-a-tm-admin-profile.trafficmanager.net, admin-eu-a.browser.cloud.com, ctxsb-proda2-cp.westeurope.cloudapp.azure.com",,,
,administrators.citrixworkspacesapi.net,40.74.35.115,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-administrators-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com",,,
,agenthub-eu.citrixworkspacesapi.net,20.103.12.34,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,"ctxwsp-agwproxy-eu.trafficmanager.net, ctxwsp-agw-eu-0.westeurope.cloudapp.azure.com",,,
,agenthub-us.citrixworkspacesapi.net,52.224.84.80,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-agwproxy-us.trafficmanager.net, ctxwsp-agw-us-0.eastus.cloudapp.azure.com",,,
,agenthub.citrixworkspacesapi.net,,"ns1-201.azure-dns.com, msnhst.microsoft.com","ns-122.awsdns-15.com, ns-1293.awsdns-33.org, ns-2030.awsdns-61.co.uk, ns-735.awsdns-27.net",NOERROR,,,"ctxwsp-agwproxy-global.trafficmanager.net, ctxwsp-agw-eu-0.westeurope.cloudapp.azure.com",,,
,aggregation.citrixworkspacesapi.net,40.74.35.115,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-aggregation-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com",,,
,browser-receiver-a.browser.cloud.com,"2.16.238.25, 2.16.238.27","n0dscw14.akamai.net, hostmaster.akamai.com",,NOERROR,,,"browser-receiver-a.azureedge.net, browser-receiver-a.akstd.azureedge.net, azureedge.mdc.akamaized.net, a1879.dscw14.akamai.net","2a02:26f0:480:3::210:ee93, 2a02:26f0:480:3::210:ee86",,
,browser.cloud.com,20.66.32.155,"ns-473.awsdns-59.com, awsdns-hostmaster.amazon.com","ns-559.awsdns-05.net, ns-1402.awsdns-47.org, ns-1748.awsdns-26.co.uk, ns-473.awsdns-59.com",NOERROR,True,azure,,,,
,cdn-australiaeast-release-a.citrixworkspacesapi.net,"2.16.187.99, 2.16.187.144","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,"cdn-australiaeast-release-a.citrixworkspacesapi.net.edgekey.net, e27348.a.akamaiedge.net",,,
,cdn-australiaeast-release-b.citrixworkspacesapi.net,"23.0.174.90, 23.0.174.139","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,"cdn-australiaeast-release-b.citrixworkspacesapi.net.edgekey.net, e27348.a.akamaiedge.net",,,
,cdn-eastus-release-b.citrixworkspacesapi.net,"95.101.111.158, 95.101.111.150","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,"cdn-eastus-release-b.citrixworkspacesapi.net.edgekey.net, e27348.a.akamaiedge.net",,,
,cdn-westeurope-release-a.citrixworkspacesapi.net,"96.16.54.137, 96.16.54.114","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,"cdn-westeurope-release-a.citrixworkspacesapi.net.edgekey.net, e27348.a.akamaiedge.net",,,
,cdn-westeurope-release-b.citrixworkspacesapi.net,"2.16.241.79, 2.16.241.74","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,"cdn-westeurope-release-b.citrixworkspacesapi.net.edgekey.net, e27348.a.akamaiedge.net",,,
,citrixworkspacesapi.net,,"ns-122.awsdns-15.com, awsdns-hostmaster.amazon.com","ns-122.awsdns-15.com, ns-735.awsdns-27.net, ns-1293.awsdns-33.org, ns-2030.awsdns-61.co.uk",NOERROR,,,,,,
,cloudlibrary-ap-s.citrixworkspacesapi.net,40.82.217.223,"ns1-06.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-cloudlibrary-fdproxy-ap-s.trafficmanager.net, ctxwsp-aueast-release-b-nt-releasesproxy.australiaeast.cloudapp.azure.com",,,
,console-eastus-release-a.citrixworkspacesapi.net,52.188.42.132,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,ctxwsp-eastus-release-a-nt-console.eastus.cloudapp.azure.com,,,
,console-eastus-release-b.citrixworkspacesapi.net,52.224.137.210,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,ctxwsp-eastus-release-b-nt-console.eastus.cloudapp.azure.com,,,
,console-westeurope-release-b.citrixworkspacesapi.net,,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,ctxwsp-westeu-release-b-nt-console.westeurope.cloudapp.azure.com,,,
,core-ap-s.citrixworkspacesapi.net,40.82.217.223,"ns1-06.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-core-fdproxy-ap-s.trafficmanager.net, ctxwsp-aueast-release-b-nt-releasesproxy.australiaeast.cloudapp.azure.com",,,
,core-eastus-release-a.citrixworkspacesapi.net,51.144.124.65,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-core-eastus-release-a.trafficmanager.net, core-direct-eastus-release-a.citrixworkspacesapi.net, apim-citrixworkspacesapi-net.azure-api.net, apimgmttmdc1bb4si0djyfnxfslj5vxfcerwbgdd8hnr3rw5s1.trafficmanager.net, apim-citrixworkspacesapi-net-westeurope-01.regional.azure-api.net, apimgmthslvo0uzpemc1cux8eq7ztzzletdbux1uk4ukq5oaus.cloudapp.net",,,
,core-eastus-release-b.citrixworkspacesapi.net,51.144.124.65,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-core-eastus-release-b.trafficmanager.net, core-direct-eastus-release-b.citrixworkspacesapi.net, apim-citrixworkspacesapi-net.azure-api.net, apimgmttmdc1bb4si0djyfnxfslj5vxfcerwbgdd8hnr3rw5s1.trafficmanager.net, apim-citrixworkspacesapi-net-westeurope-01.regional.azure-api.net, apimgmthslvo0uzpemc1cux8eq7ztzzletdbux1uk4ukq5oaus.cloudapp.net",,,
,core-us.citrixworkspacesapi.net,40.90.246.186,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-core-fdproxy-us.trafficmanager.net, ctxwsp-eastus-release-b-nt-releasesproxy.eastus.cloudapp.azure.com",,,
,ctxathp-northeu-06.citrixworkspacesapi.net,20.54.39.134,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,ctxathpnortheu06-nt0.northeurope.cloudapp.azure.com,,,
,cws-australiaeast-release-b.citrixworkspacesapi.net,20.40.184.116,"ns1-06.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-cws-australiaeast-release-b.trafficmanager.net, cws-direct-australiaeast-release-b.citrixworkspacesapi.net, ctxwsp-aueast-release-b-nt-cws.australiaeast.cloudapp.azure.com",,,
,cws.citrixworkspacesapi.net,40.74.35.115,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-cws-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com",,,
,delegatedadministration-ap-s.citrixworkspacesapi.net,40.82.217.223,"ns1-06.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-delegatedadministration-fdproxy-ap-s.trafficmanager.net, ctxwsp-aueast-release-b-nt-releasesproxy.australiaeast.cloudapp.azure.com",,,
