new,host,a,soa,ns,status_code,cdn,cdn-name,cname,aaaa,has_internal_ips,internal_ips
,resourceproviders-eu.citrixworkspacesapi.net,40.74.35.115,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-resourceproviders-fdproxy-eu.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com",,,
,resourceproviders-us.citrixworkspacesapi.net,40.90.246.186,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-resourceproviders-fdproxy-us.trafficmanager.net, ctxwsp-eastus-release-b-nt-releasesproxy.eastus.cloudapp.azure.com",,,
,resourceproviders-westeurope-release-b.citrixworkspacesapi.net,51.145.178.35,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-resourceproviders-westeurope-release-b.trafficmanager.net, resourceproviders-direct-westeurope-release-b.citrixworkspacesapi.net, ctxwsp-westeu-release-b-nt-resourceproviders.westeurope.cloudapp.azure.com",,,
,resourceproviders.citrixworkspacesapi.net,40.74.35.115,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-resourceproviders-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com",,,
,rp-release-a.browser.cloud.com,51.144.139.213,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxsb-prod-a-tm-rp-profile.trafficmanager.net, rp-eu-a.browser.cloud.com, ctxsb-proda2-cp.westeurope.cloudapp.azure.com",,,
,rp-release-b.browser.cloud.com,20.101.114.113,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,"ctxsb-prod-b-tm-rp-profile.trafficmanager.net, rp-eu-b.browser.cloud.com, ctxsb-prodb-cp.westeurope.cloudapp.azure.com",,,
,rp.browser.cloud.com,51.144.139.213,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"rp-release-a.browser.cloud.com, ctxsb-prod-a-tm-rp-profile.trafficmanager.net, rp-eu-a.browser.cloud.com, ctxsb-proda2-cp.westeurope.cloudapp.azure.com",,,
,session-release-b.browser.cloud.com,20.101.114.113,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,"ctxsb-prod-b-tm-session-profile.trafficmanager.net, session-eu-b.browser.cloud.com, ctxsb-prodb-cp.westeurope.cloudapp.azure.com",,,
,storefrontconfiguration-ap-s.citrixworkspacesapi.net,40.82.217.223,"ns1-06.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-releasesproxy-ap-s.trafficmanager.net, ctxwsp-aueast-release-b-nt-releasesproxy.australiaeast.cloudapp.azure.com",,,
,storefrontconfiguration-eu.citrixworkspacesapi.net,40.74.35.115,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-releasesproxy-eu.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com",,,
,systemlog.citrixworkspacesapi.net,40.74.35.115,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-systemlog-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com",,,
,templatelibrary.citrixworkspacesapi.net,,,,NOERROR,,,,,,
,trust-westeurope-release-b.citrixworkspacesapi.net,52.157.228.124,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,"ctxwsp-trust-westeurope-release-b.trafficmanager.net, trust-direct-westeurope-release-b.citrixworkspacesapi.net, ctxwsp-westeu-release-b-nt-trust.westeurope.cloudapp.azure.com",,,
