input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_wildcard_certificate,webserver,tls_mismatched,tls_subject_org_
10x.redoxengine.com,Redox Customer Dashboard,200,2481,10x.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.redoxengine.com,*.redoxengine.com,*.redoxengine.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,02738e95dff65eed71e2850bd08fa056,c87a392db74c1fecbbf8606de2d950db39948b5c9729693271669e397911a31f,ctls,10x.redoxengine.com,cloudfront,443,https://10x.redoxengine.com:443,https,text/html,GET,65.9.66.71,/,-857189617,2600:9000:206f:b600:1d:6631:3580:93a1,Node.js,1,False,True,,True,,,
api.ca.redoxengine.com,Redox Customer Dashboard,200,2481,dashboard.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-17T23:59:59Z,CN=*.redoxengine.com,*.redoxengine.com,*.redoxengine.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,84e9570abe5080fccc3d42f601647fcc,a7acb370080ae44866c76e5ac477f31f758dd9a7a5ffeef955650fc1a5a769e1,ctls,dashboard.redoxengine.com,,443,https://api.ca.redoxengine.com:443,https,text/html,GET,52.202.205.253,/,-1840324437,54.224.53.224,Node.js,1,False,,https://dashboard.redoxengine.com,True,,,
api.gamma.redoxengine.com,Redox Customer Dashboard,200,2481,dashboard.gamma.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-11T12:54:21Z,2023-10-09T13:34:05Z,CN=dashboard.gamma.redoxengine.com,dashboard.gamma.redoxengine.com,dashboard.gamma.redoxengine.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,d5468fd2e13ab0df0453e2ee188b38c9,c0eaf36810a02be6bd2df612f3f1aa9d383620664f4b6960c48b0382e18040e1,ctls,dashboard.gamma.redoxengine.com,google,443,https://api.gamma.redoxengine.com:443,https,text/html,GET,34.107.204.9,/,-1840324437,34.107.204.9,Node.js,1,False,True,https://dashboard.gamma.redoxengine.com,,,,
api.redoxengine.com,Redox Customer Dashboard,200,2481,dashboard.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-17T23:59:59Z,CN=*.redoxengine.com,*.redoxengine.com,*.redoxengine.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,84e9570abe5080fccc3d42f601647fcc,a7acb370080ae44866c76e5ac477f31f758dd9a7a5ffeef955650fc1a5a769e1,ctls,dashboard.redoxengine.com,,443,https://api.redoxengine.com:443,https,text/html,GET,52.202.205.253,/,-1840324437,54.82.134.48,Node.js,1,False,,https://dashboard.redoxengine.com,True,,,
app.ca.redoxengine.com,Redox Customer Dashboard,200,2481,dashboard.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-17T23:59:59Z,CN=*.redoxengine.com,*.redoxengine.com,*.redoxengine.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,84e9570abe5080fccc3d42f601647fcc,a7acb370080ae44866c76e5ac477f31f758dd9a7a5ffeef955650fc1a5a769e1,ctls,dashboard.redoxengine.com,,443,https://app.ca.redoxengine.com:443,https,text/html,GET,54.204.192.18,/,-1840324437,54.236.89.89,Node.js,1,False,,https://dashboard.redoxengine.com,True,,,
app.gamma.redoxengine.com,Redox Customer Dashboard,200,2481,dashboard.gamma.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-11T12:54:21Z,2023-10-09T13:34:05Z,CN=dashboard.gamma.redoxengine.com,dashboard.gamma.redoxengine.com,dashboard.gamma.redoxengine.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,d5468fd2e13ab0df0453e2ee188b38c9,c0eaf36810a02be6bd2df612f3f1aa9d383620664f4b6960c48b0382e18040e1,ctls,dashboard.gamma.redoxengine.com,google,443,https://app.gamma.redoxengine.com:443,https,text/html,GET,34.107.204.9,/,-1840324437,34.107.204.9,Node.js,1,False,True,https://dashboard.gamma.redoxengine.com,,,,
app.redoxengine.com,Redox Customer Dashboard,200,2481,dashboard.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-17T23:59:59Z,CN=*.redoxengine.com,*.redoxengine.com,*.redoxengine.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,84e9570abe5080fccc3d42f601647fcc,a7acb370080ae44866c76e5ac477f31f758dd9a7a5ffeef955650fc1a5a769e1,ctls,dashboard.redoxengine.com,,443,https://app.redoxengine.com:443,https,text/html,GET,54.204.192.18,/,-1840324437,3.88.79.232,Node.js,1,False,,https://dashboard.redoxengine.com,True,,,
atlantis-gcp.redoxengine.com,Sign in - Google Accounts,200,606638,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:48Z,2023-10-02T08:21:47Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9f3326ff4593e37a7af6a82ce4c770ba,3234e511b50209b2aff25a93e3fdd14f127b548394740cda2a61fc42cdaa5bfb,ctls,accounts.google.com,google,443,https://atlantis-gcp.redoxengine.com:443,https,text/html,GET,34.111.223.18,/,649963996,34.111.223.18,HTTP/3,76,False,True,https://accounts.google.com/v3/signin/identifier?opparams=%253Fcred_ref%253Dtrue&dsh=S1644591230%3A1690703624467332&client_id=278613228161-mq7jb3f2o6cuo29jpi5skftkli1ke44u.apps.googleusercontent.com&code_challenge=cx6NVbsHeHUh0q5_IK6WoMR_QgUd9q91paFBsXGsqDg&code_challenge_method=S256&o2v=2&redirect_uri=https%3A%2F%2Fiap.googleapis.com%2Fv1%2Foauth%2FclientIds%2F278613228161-mq7jb3f2o6cuo29jpi5skftkli1ke44u.apps.googleusercontent.com%3AhandleRedirect&response_type=code&scope=openid+email&service=lso&state=AWdvEPAEEXmtlernZvsVgI4qj0GOCdcc8dMiUTgFzC0Yoa8tjcSockCxyaMaDj1VDxF6prlXglH5cNZRJJFdl88bZbVlhDctxJMyFK5rpGPbvTqNgSvZRNmvaLxe57vHTxFNvEBzwebIOfgPDUXKqJAAMo6H-wIqNOHhI5F4QVwY4eAXDpWAGtraNxHQBsuQ28q8OT4CAdoLC-33bBwJ1wb0woTZlkdG0aPnCoDokTDUpOxXT50av809r4LQjU2mKEd08WciJmxCvWTCdXa2uIc8WAUI9uU-3A2X2mNsUJMVT1beyeOJ8051EQDWPAHSmSUA2AiwcBpg49g2RJyEHDibOdbdVBVQqxZDao-ituHMpUqFhMk-D35HmGtGE8bFWRnS1zf_WMe0DwGduW1B8-MH_SK21hbauNsaw_fBPlo-4mC7kIlUcXUGAjoRVhSl2wOJOwBr7MeL5XVOWJ8VS90ryVp2rJyteLicUXOcIbNypOBGKkVtaqHjLaFybs9GROSXxVWG8kVr5njbcZOXgsod7LnEduuQGRDCjGOpeKZoQIicEHOmAqw9TPMqtVGGSaChgK07oDAzuQL4Q1_3_S02mrPBvUezFD6BJuMVbEaWJy1NgVbs4wAFWA9aD54PCQ0yp7wj1NXz225iOc9YYlYNMEQeROy_bk2t2pNWJPmE2QQ6gLggrf1tJZosg_sKiLdYb5_YWZQAwwNwhMhrST22f0g-efVqt9MQabFAyN343X9K-Uw60jvvRV0tfCkDEKi1zOH_Uce-s-QcETKGxG5N-WFQ1qL9RxPl-fquQf0DtLKaav4mbDJlhXmuAvMM3S2OD2S2H2mQ1Umf-QhoXA-8GfPkdSybnWV6Y_szM7g1G2dsCEuRmKEqRC_vvaAx4QDmu3BkO8TGBWQCrPegDQmf-QlbL5gevoGtg5sqSpquxjiNOrzddc6UIt9pAJJ0JjNHtMCtoKhbCU7q90Yqb4-eXFHv9p0Ojphn_nPMVmBthHMWLq3Dh4I3UvV24A8wEbq9RTF_UCCVWJukWKDAkzdD2iWP_SwogdLYadKZ_NIDPWJq94enJw&flowName=GeneralOAuthFlow&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hAPShwf9zHoUwkHL3rKCscBiiSpXRJAoewGBbtMPb1SIiWSSCrsCzDQSFn0tx_x865dIRNsFwo69i4Z6s4V7QGnT3O-kSwJ2k-RKsw6LZ7EgQAfUSsmpF9nftjHV-vqiC7XZQm0hQxufkoZtYmOczEM1go14Me8MNTeLqrD0_WoDeASkbtM-ketMkvTK6GlA88u-jIV1k_wXYSkkNF-CgS8nEYI4f91ozup6CoLoqPtyeJTnlMNcdvTKdOeEqB0chbVuLQYJ5o5ZrTRnDAsuPcq9lA6zTnIf424qS1uV4LYN264Itw3gvibfEl2OW3jFE7eiht4RjzdGK-CsoZ3XG2wgaA8onI5jHgRdHFQs2-nxNgh5m98H56-a9VILA0WTE3ebN5pfoFEJrFYQrvNiLYf3NU97hZfnRBsk8BcWu0p9EtC4Co38_ZlKyHCi0JvkB1dZreC7_IsIWDunRpYZO5h4GlhkAg%26as%3DS1644591230%253A1690703624467332%26client_id%3D278613228161-mq7jb3f2o6cuo29jpi5skftkli1ke44u.apps.googleusercontent.com%23&app_domain=https%3A%2F%2Fiap.googleapis.com&rart=ANgoxccgS-Xg5yM44m3109csNkp84LdsZl44vNgxiyOOlfn9HCpQebhtTezPy_oZLJ1v18_uOV6O5NnMH8fAm1jpKo3GSMfmRw,True,ESF,,
auth-v2.redoxengine.com,,409,16,,,,,,,,,,,,,,,,,,cloudflare,80,http://auth-v2.redoxengine.com:80,http,text/plain,GET,104.16.82.103,/,1000520165,2606:4700::6810:5367,Cloudflare,1,False,True,,,cloudflare,,
auth.redoxengine.com,Signin,200,4020,auth.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T00:00:00Z,2024-06-05T23:59:59Z,CN=auth.redoxengine.com,auth.redoxengine.com,auth.redoxengine.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a189333d3294b1055882389f82a1b3c9,801af49845d19b8a4f1aa0494805de2d303e92a5743d7edf7eaa16288abac604,ctls,auth.redoxengine.com,cloudfront,443,https://auth.redoxengine.com:443,https,text/html,GET,108.138.17.13,/,1101154029,108.138.17.101,HSTS,135,False,True,,,Server,,
blob.gamma.redoxengine.com,Redox Customer Dashboard,200,2481,dashboard.gamma.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-11T12:54:21Z,2023-10-09T13:34:05Z,CN=dashboard.gamma.redoxengine.com,dashboard.gamma.redoxengine.com,dashboard.gamma.redoxengine.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,d5468fd2e13ab0df0453e2ee188b38c9,c0eaf36810a02be6bd2df612f3f1aa9d383620664f4b6960c48b0382e18040e1,ctls,dashboard.gamma.redoxengine.com,google,443,https://blob.gamma.redoxengine.com:443,https,text/html,GET,34.107.204.9,/,-1840324437,34.107.204.9,Node.js,1,False,True,https://dashboard.gamma.redoxengine.com,,,,
blob.redoxengine.com,Redox Customer Dashboard,200,2481,dashboard.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-17T23:59:59Z,CN=*.redoxengine.com,*.redoxengine.com,*.redoxengine.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,84e9570abe5080fccc3d42f601647fcc,a7acb370080ae44866c76e5ac477f31f758dd9a7a5ffeef955650fc1a5a769e1,ctls,dashboard.redoxengine.com,,443,https://blob.redoxengine.com:443,https,text/html,GET,54.224.53.224,/,-1840324437,54.82.134.48,Node.js,1,False,,https://dashboard.redoxengine.com,True,,,
candi.redoxengine.com,Redox Customer Dashboard,200,2481,dashboard.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-17T23:59:59Z,CN=*.redoxengine.com,*.redoxengine.com,*.redoxengine.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,84e9570abe5080fccc3d42f601647fcc,a7acb370080ae44866c76e5ac477f31f758dd9a7a5ffeef955650fc1a5a769e1,ctls,dashboard.redoxengine.com,,443,https://candi.redoxengine.com:443,https,text/html,GET,54.204.192.18,/,-1840324437,54.236.89.89,Node.js,1,False,,https://dashboard.redoxengine.com,True,,,
carequality.redoxengine.com,Redox Customer Dashboard,200,2481,dashboard.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-17T23:59:59Z,CN=*.redoxengine.com,*.redoxengine.com,*.redoxengine.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,84e9570abe5080fccc3d42f601647fcc,a7acb370080ae44866c76e5ac477f31f758dd9a7a5ffeef955650fc1a5a769e1,ctls,dashboard.redoxengine.com,,443,https://carequality.redoxengine.com:443,https,text/html,GET,3.233.82.60,/,-1840324437,54.221.102.222,Node.js,1,False,,https://dashboard.redoxengine.com,True,,,
clientcert.ca.redoxengine.com,Redox Customer Dashboard,200,2481,dashboard.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-17T23:59:59Z,CN=*.redoxengine.com,*.redoxengine.com,*.redoxengine.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,84e9570abe5080fccc3d42f601647fcc,a7acb370080ae44866c76e5ac477f31f758dd9a7a5ffeef955650fc1a5a769e1,ctls,dashboard.redoxengine.com,,443,https://clientcert.ca.redoxengine.com:443,https,text/html,GET,3.221.209.166,/,-1840324437,34.235.50.247,Node.js,1,False,,https://dashboard.redoxengine.com,True,,,
clientcert.gamma.redoxengine.com,Redox Customer Dashboard,200,2481,dashboard.gamma.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-11T12:54:21Z,2023-10-09T13:34:05Z,CN=dashboard.gamma.redoxengine.com,dashboard.gamma.redoxengine.com,dashboard.gamma.redoxengine.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,d5468fd2e13ab0df0453e2ee188b38c9,c0eaf36810a02be6bd2df612f3f1aa9d383620664f4b6960c48b0382e18040e1,ctls,dashboard.gamma.redoxengine.com,google,443,https://clientcert.gamma.redoxengine.com:443,https,text/html,GET,35.222.249.191,/,-1840324437,35.222.249.191,Node.js,1,False,True,https://dashboard.gamma.redoxengine.com,,,,
dashboard.gamma.redoxengine.com,Redox Customer Dashboard,200,2481,dashboard.gamma.redoxengine.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-11T12:54:21Z,2023-10-09T13:34:05Z,CN=dashboard.gamma.redoxengine.com,dashboard.gamma.redoxengine.com,dashboard.gamma.redoxengine.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,d5468fd2e13ab0df0453e2ee188b38c9,c0eaf36810a02be6bd2df612f3f1aa9d383620664f4b6960c48b0382e18040e1,ctls,dashboard.gamma.redoxengine.com,google,443,https://dashboard.gamma.redoxengine.com:443,https,text/html,GET,34.36.66.118,/,-857189617,34.36.66.118,Node.js,1,False,True,,,,,
