new,host,a,soa,status_code,cname,ns,cdn,cdn-name,caa,aaaa,mx,txt
,account-api.datadome.co,"35.181.143.108, 13.39.5.29, 35.180.150.225","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api-alb-ap-southeast-1.datadome.co,"54.169.176.50, 52.74.223.15, 18.142.32.94","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api-alb-us-east-1.datadome.co,"35.172.52.170, 52.45.6.14, 44.194.171.174, 44.215.181.62","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api-alb-us-west-1.datadome.co,"54.215.176.52, 54.193.96.54","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api-alb-us-west-2.datadome.co,"54.201.150.77, 34.216.210.207, 34.209.208.233, 50.112.171.150","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api-ap-east-1.datadome.co,43.198.9.247,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api-ap-south-1.datadome.co,3.109.243.82,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api-ap-southeast-1.datadome.co,52.74.38.237,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api-cdn.datadome.co,"3.125.247.22, 18.157.207.8, 18.194.14.91","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api-eu-france-1.datadome.co,"62.4.8.3, 62.4.8.7, 62.4.8.4, 62.4.8.1, 62.4.8.2, 62.4.8.6, 62.4.8.10, 62.4.8.5","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api-eu-west-1.datadome.co,52.51.18.21,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api-us-east-2.datadome.co,18.223.153.72,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api-us-west-2.datadome.co,54.187.238.165,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api.datadome.co,35.190.33.99,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,"geoprox.datadome.co, api-eu-central-2.datadome.co",,,,,,,
,apivarnish.datadome.co,99.81.76.221,"ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,app.datadome.co,"52.215.59.25, 54.72.230.58, 99.81.130.8","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1139.awsdns-14.org, ns-1801.awsdns-33.co.uk, ns-359.awsdns-44.com, ns-888.awsdns-47.net",,,,,,
,ardene-endpoint.datadome.co,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,d1c2szu09trp9k.cloudfront.net,,,,,,,
,ardene-prod-endpoint.datadome.co,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,d28cc1e4r0erx8.cloudfront.net,,,,,,,
,atlantis.tooling.datadome.co,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,auth0-dev.tooling.datadome.co,"104.17.235.88, 104.17.171.55","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,dev-internal-tooling-auth-cd-qlx1pwkkki39adr6.edge.tenants.eu.auth0.com,,True,cloudflare,"digicert.com, letsencrypt.org","2606:4700::6811:ab37, 2606:4700::6811:eb58",,
,auth0.tooling.datadome.co,"104.17.171.55, 104.17.235.88","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,internal-tooling-auth-cd-2qrtu8ish218rimr.edge.tenants.eu.auth0.com,,True,cloudflare,"letsencrypt.org, digicert.com","2606:4700::6811:ab37, 2606:4700::6811:eb58",,
,bo.datadome.co,"13.38.148.57, 13.36.122.177","ns-1549.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",NOERROR,prod-auth-redirect-alb-1782525637.eu-west-3.elb.amazonaws.com,,,,,,,
,bo.tooling.datadome.co,"35.180.70.165, 13.37.140.186","ns-1069.awsdns-05.org, awsdns-hostmaster.amazon.com",NOERROR,prod-auth-tooling-eu-west-3-nlb-50f825e6e311657b.elb.eu-west-3.amazonaws.com,,,,,,,
,bot-tester.sdbx-sre.datadome.co,"18.66.97.2, 18.66.97.121, 18.66.97.88, 18.66.97.15","ns-312.awsdns-39.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,
,calendar.datadome.co,172.217.16.147,"ns1.google.com, dns-admin.google.com",NOERROR,ghs.googlehosted.com,,,,,2a00:1450:4001:808::2013,,
,consul-eu-central-2.datadome.co,"34.116.176.109, 34.118.5.198, 34.118.70.9","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,google,,,,
,consul-eu-france-1-hn63zmpymyev55vhbkds.datadome.co,"51.159.155.232, 163.172.146.76, 51.15.235.150","ns-1139.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
