input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url
auth.availcarsharing.com,Avail Car Sharing - Borrow a Car with Daily Local Rentals,200,69826,,availcarsharing.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2023-09-16T23:59:59Z,CN=availcarsharing.com,availcarsharing.com,*.availcarsharing.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,511553fd9185c8474c13aee71b42759c,3d2e82cee755e6bebd0059e0311cc9eeadc49165baf40856c3da81d8f540c8aa,True,ctls,availcarsharing.com,cloudflare,443,https://auth.availcarsharing.com:443,https,,text/html,GET,104.18.19.51,/,-738705486,2606:4700::6812:1333,Webflow,861,False,True,https://availcarsharing.com/
auth.dev.availcarsharing.com,Avail Car Sharing - Borrow a Car with Daily Local Rentals,200,231699,,dev.availcarsharing.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-15T23:59:59Z,CN=dev.availcarsharing.com,dev.availcarsharing.com,*.dev.availcarsharing.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,878ea50472747ecf413fecaac307b084,97b67bfa0cbdd727e05e11b54a0da48874ecf5ebb3556561ef8bb19e839564cb,True,ctls,dev.availcarsharing.com,cloudflare,443,https://auth.dev.availcarsharing.com:443,https,nginx,text/html,GET,104.18.18.51,/,-738705486,2606:4700::6812:1333,WordPress,1793,False,True,https://dev.availcarsharing.com/
availcarsharing.com,Avail Car Sharing - Borrow a Car with Daily Local Rentals,200,69826,,availcarsharing.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2023-09-16T23:59:59Z,CN=availcarsharing.com,availcarsharing.com,*.availcarsharing.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,511553fd9185c8474c13aee71b42759c,3d2e82cee755e6bebd0059e0311cc9eeadc49165baf40856c3da81d8f540c8aa,True,ctls,availcarsharing.com,cloudfront,443,https://availcarsharing.com:443,https,,text/html,GET,18.66.122.70,/,-393594487,18.66.122.34,Webflow,861,False,True,
dev.availcarsharing.com,Avail Car Sharing - Borrow a Car with Daily Local Rentals,200,231699,,dev.availcarsharing.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-15T23:59:59Z,CN=dev.availcarsharing.com,dev.availcarsharing.com,*.dev.availcarsharing.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,878ea50472747ecf413fecaac307b084,97b67bfa0cbdd727e05e11b54a0da48874ecf5ebb3556561ef8bb19e839564cb,True,ctls,dev.availcarsharing.com,cloudfront,443,https://dev.availcarsharing.com:443,https,nginx,text/html,GET,18.66.97.75,/,-1840324437,18.66.97.116,WordPress,1793,False,True,
links.availcarsharing.com,Avail Car Sharing - Borrow a Car with Daily Local Rentals,200,69826,,availcarsharing.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2023-09-16T23:59:59Z,CN=availcarsharing.com,availcarsharing.com,*.availcarsharing.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,511553fd9185c8474c13aee71b42759c,3d2e82cee755e6bebd0059e0311cc9eeadc49165baf40856c3da81d8f540c8aa,True,ctls,availcarsharing.com,,443,https://links.availcarsharing.com:443,https,,text/html,GET,54.162.25.2,/,1745628776,54.211.100.10,Webflow,861,False,,https://availcarsharing.com
maintenance.availcarsharing.com,,200,266,url=https://availcarsharing.com,maintenance.availcarsharing.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2023-09-16T23:59:59Z,CN=availcarsharing.com,availcarsharing.com,*.availcarsharing.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,511553fd9185c8474c13aee71b42759c,3d2e82cee755e6bebd0059e0311cc9eeadc49165baf40856c3da81d8f540c8aa,True,ctls,maintenance.availcarsharing.com,cloudfront,443,https://maintenance.availcarsharing.com:443,https,AmazonS3,text/html,GET,108.138.17.91,/,-805277909,108.138.17.47,Amazon Web Services,10,False,True,
preprod.availcarsharing.com,Avail Car Sharing - Borrow a Car with Daily Local Rentals,200,71328,,preprod.availcarsharing.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-10-04T23:59:59Z,CN=preprod.availcarsharing.com,preprod.availcarsharing.com,*.preprod.availcarsharing.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,45a2cc04ce1f4636447d7dec7105cc71,54df47055d22a44403e140a752320dc28645f360923bef5f0c96bc5b458a448b,True,ctls,preprod.availcarsharing.com,cloudfront,443,https://preprod.availcarsharing.com:443,https,,text/html,GET,13.224.189.53,/,1491240708,13.224.189.78,Webflow,873,False,True,
www.availcarsharing.com,Avail Car Sharing - Borrow a Car with Daily Local Rentals,200,69826,,www.availcarsharing.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2023-09-16T23:59:59Z,CN=availcarsharing.com,availcarsharing.com,*.availcarsharing.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,511553fd9185c8474c13aee71b42759c,3d2e82cee755e6bebd0059e0311cc9eeadc49165baf40856c3da81d8f540c8aa,True,ctls,www.availcarsharing.com,cloudfront,443,https://www.availcarsharing.com:443,https,,text/html,GET,18.66.122.14,/,-393594487,18.66.122.70,Webflow,861,False,True,
www.dev.availcarsharing.com,Avail Car Sharing - Borrow a Car with Daily Local Rentals,200,231699,,www.dev.availcarsharing.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-15T23:59:59Z,CN=dev.availcarsharing.com,dev.availcarsharing.com,*.dev.availcarsharing.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,878ea50472747ecf413fecaac307b084,97b67bfa0cbdd727e05e11b54a0da48874ecf5ebb3556561ef8bb19e839564cb,True,ctls,www.dev.availcarsharing.com,cloudfront,443,https://www.dev.availcarsharing.com:443,https,nginx,text/html,GET,18.66.97.116,/,-1840324437,18.66.97.75,WordPress,1793,False,True,
www.preprod.availcarsharing.com,Avail Car Sharing - Borrow a Car with Daily Local Rentals,200,71328,,www.preprod.availcarsharing.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-10-04T23:59:59Z,CN=preprod.availcarsharing.com,preprod.availcarsharing.com,*.preprod.availcarsharing.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,45a2cc04ce1f4636447d7dec7105cc71,54df47055d22a44403e140a752320dc28645f360923bef5f0c96bc5b458a448b,True,ctls,www.preprod.availcarsharing.com,cloudfront,443,https://www.preprod.availcarsharing.com:443,https,,text/html,GET,13.224.189.120,/,1491240708,13.224.189.80,Webflow,873,False,True,
