input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,final_url,tls_expired,csp_domains_,tls_subject_org_,tls_mismatched,tls_self_signed
*.dominos.co.il,פיצה ומשלוחי פיצות ברחבי הארץ ~ דומינוס פיצה | Domino's Pizza,200,214197,www.dominos.co.il,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-11-03T08:25:19Z,2025-05-02T08:25:19Z,CN=imperva.com,imperva.com,*.inmanage.co.il,"CN=GlobalSign Atlas R3 DV TLS CA 2024 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2024 Q4,GlobalSign nv-sa,7bdda6a44a0ce72a323672d810eb4e9d,9a25b0597df91d5aa858f7df16320b0e5fa8ffa7db56092064835a9e59461dc9,True,ctls,www.dominos.co.il,cloudfront,443,https://dominos.co.il,https,,text/html,GET,18.165.98.7,/,623125687,/favicon.ico,45.223.145.251,Webpack,26,False,True,nonerror,0,https://www.dominos.co.il/,,https://q.clarity.ms,,,
*.heilasystems.com,Heila Systems,200,81232,heilasystems.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-31T09:43:32Z,2025-05-01T09:43:31Z,CN=heilasystems.com,heilasystems.com,heilasystems.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,b66459c4e56cf85bc7b6a5bd4c4e54fe,e6a7c4e4a21c7062f24d7986e424f21df0c4a2eeca794f1ee6dd67265cb729f5,,ctls,heilasystems.com,,443,https://heilasystems.com,https,LiteSpeed,text/html,GET,147.93.92.124,/,1740416926,/wp-content/uploads/2023/12/heila-favicon-150x150.png,147.93.92.124,Yoast SEO:24.4,658,False,,other,0,,,,,,
0-0-8-6.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://0-0-8-6.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
01-14.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://01-14.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
03-9-5.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://03-9-5.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
05-4-07-3.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://05-4-07-3.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
05-8-5-6.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://05-8-5-6.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
06-0-78.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://06-0-78.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
06-77-3.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://06-77-3.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
07-1-2.school.walla.co.il,Not Found,404,315,,,,,,,,,,,,,,,,,,,,80,http://07-1-2.school.walla.co.il,http,Microsoft-HTTPAPI/2.0,text/html,GET,80.178.173.126,/,,/favicon.ico,80.178.173.126,Microsoft HTTPAPI:2.0,7,False,,error,0,,,,,,
