input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,tech_,final_url,cdn_name,cdn,tls_mismatched
abonnement.libelle.nl,DPG Media Privacy Gate,200,8862,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://abonnement.libelle.nl:443,https,,text/html,GET,2.17.100.202,/,-318086011,2a02:26f0:ab00::214:8e68,278,False,,Google Tag Manager,https://myprivacy.dpgmedia.nl/consent?siteKey=gnz6tzrwbume34ba&callbackUrl=https://abonnement.libelle.nl/,,,
abonnementen.libelle.nl,Invalid URL,400,209,abonnementen.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-22T00:00:00Z,2023-08-24T23:59:59Z,"CN=*.libelle.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.libelle.nl,DPG Media Services NV,libelle.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3349087eaf9f3a1cf12a3a448101966b,74e2478829f30fc1d3e42bfe14c16ec1ec4e16404c3698d70e4f439a6b515982,True,ctls,abonnementen.libelle.nl,443,https://abonnementen.libelle.nl:443,https,AkamaiGHost,text/html,GET,2.17.100.226,/,-318495957,2a02:26f0:ab00::214:8e68,8,False,,,,,,
account.libelle.nl,Inlogpoging geblokkeerd,406,3323,account.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-22T00:00:00Z,2023-08-24T23:59:59Z,"CN=*.libelle.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.libelle.nl,DPG Media Services NV,libelle.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3349087eaf9f3a1cf12a3a448101966b,74e2478829f30fc1d3e42bfe14c16ec1ec4e16404c3698d70e4f439a6b515982,True,ctls,account.libelle.nl,443,https://account.libelle.nl:443,https,AkamaiGHost,text/html,GET,2.16.187.99,/,-27699559,2a02:26f0:ab00::214:8e42,1,False,,,,,,
accounts.libelle.nl,,200,,accounts.libelle.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,2024-02-23T23:59:59Z,CN=accounts.libelle.nl,accounts.libelle.nl,,accounts.libelle.nl,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,49ed16788dce00c29aecfe5e826eff3b,fd3b8f9dfad44298627285e909ddb92e7c0eb0d5f5f883c67d31a126ce33e82d,,ctls,accounts.libelle.nl,443,https://accounts.libelle.nl:443,https,,text/html,GET,18.66.122.71,/,-1516177449,18.66.122.65,1,False,,Amazon Web Services,,cloudfront,True,
beta.libelle.nl,DPG Media Privacy Gate,200,8843,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://beta.libelle.nl:443,https,,text/html,GET,95.101.111.167,/,368131872,2a02:26f0:480:23::1726:62aa,278,False,,Google Tag Manager,https://myprivacy.dpgmedia.nl/consent?siteKey=0952csi2wipglhfq&callbackUrl=https%3a%2f%2fwww.libelle.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252f,,,
brandedcontent.libelle.nl,DPG Media Branded Content -,200,16463,brandedcontent.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-16T07:09:39Z,2023-08-14T07:09:38Z,CN=persgroep.nl,persgroep.nl,,www.wndb.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0bc6752c5100a148a2fe92f90aeb8999,85b214cf442812c6f2c7197da7069396c6b52368d3cba2f32eeceb135c00e66e,,ctls,brandedcontent.libelle.nl,443,https://brandedcontent.libelle.nl:443,https,Apache,text/html,GET,95.101.111.142,/,-819867043,2a02:26f0:480:23::1726:62a2,114,False,,Yoast SEO:19.12,,,,
circulation.libelle.nl,,200,12,circulation.libelle.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-10T15:18:59Z,2023-09-08T15:18:58Z,CN=circulation.libelle.nl,circulation.libelle.nl,,circulation.libelle.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a2f6bb0880d83e87570e5b0d3a49927a,485ba6b22167ac9aa10048ee7638eacc4d6b04d95a73222b5979926300c6b239,,ctls,circulation.libelle.nl,443,https://circulation.libelle.nl:443,https,nginx/1.18.0 (Ubuntu),text/html,GET,164.92.144.12,/,-1840324437,164.92.144.12,1,False,,Ubuntu,,,,
esales-test.libelle.nl,Access Denied,403,276,esales-test.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-03T23:29:48Z,2023-09-01T23:29:47Z,CN=esales-test.libelle.nl,esales-test.libelle.nl,,esales-test.libelle.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cb17f05293ef95d66f3d8635ebbdd437,40b29bfd6cd647fdc880b80fac1aadd54bfbc9ea59c54e3d3adbf22aeeac53be,,ctls,esales-test.libelle.nl,443,https://esales-test.libelle.nl:443,https,,text/html,GET,2.16.187.88,/,-1743909873,2a02:26f0:ab00::214:8e73,10,False,,,,,,
esales.libelle.nl,Access Denied,403,266,esales.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-03T23:38:48Z,2023-09-01T23:38:47Z,CN=esales.libelle.nl,esales.libelle.nl,,esales.libelle.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6e7d8ad3f2874a79786a642c4274d544,ed44d92cba0f9bf90e6a3b79859e8cd1e92653668da29f0b7c78ed59614a6ef3,,ctls,esales.libelle.nl,443,https://esales.libelle.nl:443,https,,text/html,GET,2.17.100.185,/,479080375,2a02:26f0:ab00::214:8e59,10,False,,,,,,
https://depersgroep.report-uri.io/r/default/csp/enforce,Report URI: Welcome to report-uri.com,200,30914,report-uri.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T22:25:38Z,2023-09-01T22:25:37Z,CN=report-uri.com,report-uri.com,,report-uri.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1d0f8e4f5bf9633cdbfcbb6583324bda,9ddeca2dc60531cc71041b4d46618852ba3dad85373f43a2cd6bce4cddd18469,True,ctls,report-uri.com,443,https://depersgroep.report-uri.io:443/r/default/csp/enforce,https,cloudflare,text/html,GET,104.16.84.77,/r/default/csp/enforce,-592968683,2606:4700::6810:544d,534,False,https://scotthelme.report-uri.com/r/d/csp/enforce,HTTP/3,https://report-uri.com,cloudflare,True,
