input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,final_url,csp_domains_
fremont-23-8.rtcdn.caffeine.tv,localhost,200,455,,,,,,,,,,,,,,,,,,,80,http://fremont-23-8.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.14.92,/,-1840324437,173.237.14.92,Nginx,21,False,,,,,,
fremont-23.rtcdn.caffeine.tv,localhost,200,465,,,,,,,,,,,,,,,,,,,80,http://fremont-23.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.20.100,/,-1840324437,173.237.19.60,Nginx,21,False,,,,,,
fremont-35-0.rtcdn.caffeine.tv,localhost,200,465,,,,,,,,,,,,,,,,,,,80,http://fremont-35-0.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.19.52,/,-1840324437,173.237.19.52,Nginx,21,False,,,,,,
fremont-35-1.rtcdn.caffeine.tv,localhost,200,465,,,,,,,,,,,,,,,,,,,80,http://fremont-35-1.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.19.68,/,-1840324437,173.237.19.68,Nginx,21,False,,,,,,
fremont-35-3.rtcdn.caffeine.tv,localhost,200,455,,,,,,,,,,,,,,,,,,,80,http://fremont-35-3.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.19.76,/,-1840324437,173.237.19.76,Nginx,21,False,,,,,,
fremont-35-4.rtcdn.caffeine.tv,localhost,200,455,,,,,,,,,,,,,,,,,,,80,http://fremont-35-4.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.19.36,/,-1840324437,173.237.19.36,Nginx,21,False,,,,,,
fremont-35-5.rtcdn.caffeine.tv,localhost,200,455,,,,,,,,,,,,,,,,,,,80,http://fremont-35-5.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.20.20,/,-1840324437,173.237.20.20,Nginx,21,False,,,,,,
fremont-35-8.rtcdn.caffeine.tv,localhost,200,455,,,,,,,,,,,,,,,,,,,80,http://fremont-35-8.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.19.28,/,-1840324437,173.237.19.28,Nginx,21,False,,,,,,
fremont-35-9.rtcdn.caffeine.tv,localhost,200,465,,,,,,,,,,,,,,,,,,,80,http://fremont-35-9.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.19.20,/,-1840324437,173.237.19.20,Nginx,21,False,,,,,,
fremont-35.rtcdn.caffeine.tv,localhost,200,455,,,,,,,,,,,,,,,,,,,80,http://fremont-35.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.19.76,/,-1840324437,173.237.19.20,Nginx,21,False,,,,,,
fremont-staging.rtcdn.caffeine.tv,localhost,200,465,,,,,,,,,,,,,,,,,,,80,http://fremont-staging.rtcdn.caffeine.tv:80,http,nginx,text/html,GET,173.237.39.4,/,-1840324437,173.237.29.4,Nginx,21,False,,,,,,
fremontv3.rtcdn.caffeine.tv,,404,,fremontv3.rtcdn.caffeine.tv,443,True,tls12,TLS_RSA_WITH_AES_128_CBC_SHA,2023-05-13T23:12:38Z,2023-08-11T23:12:37Z,CN=1ccbt.com,1ccbt.com,1ccbt.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cf82991a4d8ed440ddb81820fecc702f,7dad025bb1288f3f956bc3d69e6a14d19ac01fc2d03f06767e5bf19226ad12e2,ctls,fremontv3.rtcdn.caffeine.tv,,443,https://fremontv3.rtcdn.caffeine.tv:443,https,nginx,text/html,GET,173.237.29.28,/,-1270699277,173.237.40.164,Nginx,1,False,,True,,,,
help.caffeine.tv,Support Home Page,200,48206,caffeine.custhelp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=*.custhelp.com, O=Oracle Corporation, L=Redwood City, ST=California, C=US",*.custhelp.com,*.custhelp.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,65b2a0c4db47840c3317b3c5b08b36c6,5a021d6fcba306021b064e7259f96702bcb15562c08214047b9245c675b96db8,ctls,caffeine.custhelp.com,cloudfront,443,https://help.caffeine.tv:443,https,,text/html,GET,143.204.215.37,/,225515476,2600:9000:214f:4400:9:4def:61c0:93a1,HSTS,607,False,True,,Oracle Corporation,True,https://caffeine.custhelp.com/,
hls.caffeine.tv,503 Backend is unhealthy,503,457,hls.caffeine.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-09T22:42:11Z,2023-11-10T22:42:10Z,CN=*.caffeine.tv,*.caffeine.tv,*.caffeine.tv,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,06992e5ef139262c47d559a808583f56,a7880d3d87105f213894a4b7261e7c16b03fca4bf46bbcbb60f36a20b2265a9e,ctls,hls.caffeine.tv,fastly,443,https://hls.caffeine.tv:443,https,Varnish,text/html,GET,151.101.2.49,/,825101407,151.101.194.49,Varnish,18,False,True,,,True,,
hls.dt.caffeine.tv,,403,28,hls.dt.caffeine.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-23T21:04:09Z,2023-07-22T21:04:08Z,CN=hls.dt.caffeine.tv,hls.dt.caffeine.tv,hls.dt.caffeine.tv,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9f5857a540b10c370dfd8cbcb8d8d2bb,f9e23129d92da485d03c7a7524854331304aa51d4f3b1b700f12477e861f09ae,ctls,hls.dt.caffeine.tv,fastly,443,https://hls.dt.caffeine.tv:443,https,,application/x-amz-json-1.1,GET,151.101.2.133,/,-217929522,151.101.194.133,Varnish,1,False,True,,,,,
images.staging.caffeine.tv,,403,243,images.staging.caffeine.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-09T22:45:13Z,2023-11-10T22:45:12Z,CN=*.staging.caffeine.tv,*.staging.caffeine.tv,*.staging.caffeine.tv,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,79e7575bb5384d2af98a31680eedd236,bd799c97978c058f53392a8eef45d809a584a53f922b5664d0ba6d7373731d0e,ctls,images.staging.caffeine.tv,fastly,443,https://images.staging.caffeine.tv:443,https,AmazonS3,application/xml,GET,151.101.2.49,/,-952230200,151.101.194.49,Varnish,2,False,True,,,True,,
ios-build-output.caffeine.tv,Anmelden – Google Konten,200,96420,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,ctls,accounts.google.com,,443,https://ios-build-output.caffeine.tv:443,https,GSE,text/html,GET,142.250.184.243,/,-261420543,2a00:1450:4001:82b::2013,OpenGSE,1494,False,,,,True,https://accounts.google.com/InteractiveLogin?continue=https://accounts.google.com/signin/oauth/legacy/consent?authuser%3Dunknown%26part%3DAJi8hAPBtYADl-iZtzVpuoGIejVoJ8Tz-v_PBSxA6hTabIAOZm6mar9_3QRo9duj6oe7TAiMfnP9ocMirk67H3YnmOGrqCAoOiEsUr7RJdczC1FvvvrWd04LKzccAc0B0g7fXfOdpHReZ4IGPN68qlMWrKQTnExLZjqTbvDz6cRefA2xKVUDpyAOrfoZRZl-v3S1af_Ha07bKVW04JQSU3UyStoKD1e2uhwwS1NsEIGxM5nulTV_Qq-10hpxfceuVFlgGCV2OFpKiKZ7QFy8GSnfNAYfs4bPHRa9c1xu8lvLxDAjsvfVGReIp0928ItZ0dW9cPb941vagN7VSL5fVgwV1QyLl2tlxjVc8rFkqHraoGsygkxmWO-PEx2OisYfgP8m-0ZpJjx4GbFKrgjecZRanooBN_DMHGY3CfLekVK7oSt_U2CaEqmga8rGQ5rk4Gjt70OP-RhtTsQFGw_v-C4s8k5hj0Lycw%26as%3DS318866587%253A1684825335267595%26client_id%3D579131922815-gfl9958ssimhejdeug1eepc7o0fn6tmd.apps.googleusercontent.com%23&oauth=1&rip=1&sacu=1&ifkv=Af_xneEaCsudcpFjvIvwgXCWtivcURjpSu2t6GZzVALjsjh5pCAgbEcvP5qiuvcxXK9dyCqm8fjN6A,http:
