new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,mx,txt,ns,caa,has_internal_ips,internal_ips
[x],00000-okta-idpfw.mr-198.staging.geckoterminal.com,"172.67.22.148, 104.22.55.153, 104.22.54.153","2606:4700:10::ac43:1694, 2606:4700:10::6816:3799, 2606:4700:10::6816:3699","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],00000-okta-idpfwmr-1323.staging-app.geckoterminal.com,"3.137.106.107, 3.133.163.253, 3.14.140.116",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,,,
[x],coingecko.com,"104.18.31.225, 104.18.30.225, 108.162.192.108, 172.64.32.108, 173.245.58.108, 108.162.193.139, 172.64.33.139, 173.245.59.139","2606:4700::6812:1fe1, 2606:4700::6812:1ee1, 2606:4700:50::adf5:3a6c, 2803:f800:50::6ca2:c06c, 2a06:98c1:50::ac40:206c, 2606:4700:58::adf5:3b8b, 2803:f800:50::6ca2:c18b, 2a06:98c1:50::ac40:218b","dora.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, alt3.aspmx.l.google.com, aspmx.l.google.com, alt4.aspmx.l.google.com","google-site-verification=myNoKuKgn0fy47ezmUdH5Qn_HP3qSYp_6d9hvB_Ao74, ahrefs-site-verification_8a1303f91e742055700e9cac45602d4ca2e5b5e8925880c439e114040b4897bb, v=spf1 mx include:_spf.google.com include:sendgrid.net include:_spf.getresponse.com include:mail.zendesk.com -all, google-site-verification=Do_WUw1UcuRvKbLvodTcFGTDLwVkz9My69GnuvEfXXA, google-site-verification=DnQuulNQj1o90Ewq_t6lTX--zzEZzMf70y-D8Y6nr0o, google-site-verification=9I2r2a-kKSq-6g1eaTO_s2JC6iLG_W52OvZbgqWki8w, brave-ledger-verification=22f4ff757ab715cd155c1acd1cfafec9893ce1b796bf1f049d575555cfc2e240","dora.ns.cloudflare.com, rick.ns.cloudflare.com","pki.goog; cansignhttpexchanges=yes, sectigo.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, comodoca.com",,
[x],epi-mcmt-na.staging.geckoterminal.com,"188.114.99.229, 188.114.98.229","2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],geckoterminal.com,76.76.21.21,,"jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,"eforward1.registrar-servers.com, eforward2.registrar-servers.com, eforward3.registrar-servers.com, eforward4.registrar-servers.com, eforward5.registrar-servers.com","google-site-verification=NDg_7NoV1wNAer0U9rD_nX1TTa0uklEmqiJXiIidwYU, google-site-verification=l7oPIIpkYUY9mSirpvYMB4ftJ8ctKQOASJjXxFPItIE, v=spf1 include:spf.efwd.registrar-servers.com ~all, yandex-verification: 002cca4b63f61be7","jack.ns.cloudflare.com, lucy.ns.cloudflare.com",,,
[x],gsps3-st14-oz1-rr.staging-app.geckoterminal.com,"3.14.140.116, 3.137.106.107, 3.133.163.253",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,,,
[x],gws-uat.staging.geckoterminal.com,"104.22.54.153, 172.67.22.148, 104.22.55.153","2606:4700:10::ac43:1694, 2606:4700:10::6816:3799, 2606:4700:10::6816:3699","jack.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],http-www-olx-co-za-59.staging-app.geckoterminal.com,"3.137.106.107, 3.14.140.116, 3.133.163.253",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,,,
[x],mr-1753.staging-app.geckoterminal.com,"3.14.140.116, 3.137.106.107, 3.133.163.253",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,,,
[x],mr-1754.staging-app.geckoterminal.com,"3.133.163.253, 3.137.106.107, 3.14.140.116",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,review-apps-1922073840.us-east-2.elb.amazonaws.com,,,,,,
