input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_subject_org_,tls_issuer_org_,tech_,csp_domains_,final_url,webserver,tls_wildcard_certificate
0-3-5-7.preview.fidentity.ch,,404,19,0-3-5-7.preview.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-23T15:38:02Z,2024-05-22T15:38:02Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,e5f897a64c8136346f5e6bd548508690.0cf10590141c3b32b0ef244d4a10659b.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,3dd52794a34e4e8eb5ebd7344bb281f5,6f4ab3a92f92d065737a4c4c79004069f20582a4e2596a154dd953ff5d9f0f8c,ctls,0-3-5-7.preview.fidentity.ch,443,https://0-3-5-7.preview.fidentity.ch:443,https,text/plain,GET,194.182.166.97,/,-138391155,194.182.166.97,2,False,,,,,,,
0c4y.preview.fidentity.ch,,404,19,0c4y.preview.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-23T15:38:02Z,2024-05-22T15:38:02Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,e5f897a64c8136346f5e6bd548508690.0cf10590141c3b32b0ef244d4a10659b.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,3dd52794a34e4e8eb5ebd7344bb281f5,6f4ab3a92f92d065737a4c4c79004069f20582a4e2596a154dd953ff5d9f0f8c,ctls,0c4y.preview.fidentity.ch,443,https://0c4y.preview.fidentity.ch:443,https,text/plain,GET,194.182.166.97,/,-138391155,194.182.166.97,2,False,,,,,,,
0search.preview.fidentity.ch,,404,19,0search.preview.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-23T15:38:02Z,2024-05-22T15:38:02Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,119e5c1df04c3a2406edce3beef2890f.e2fa17dd837cfad1a4cd7d1784c739d2.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,784c77fcb65749bcc6578c1816c146ff,78cbfe200c93ff4f0a93ecdcf1e599c6534e12b51427d4a9187564e30b57e919,ctls,0search.preview.fidentity.ch,80,http://0search.preview.fidentity.ch:80,http,text/plain,GET,194.182.166.97,/,-138391155,194.182.166.97,2,False,,,,,https://0search.preview.fidentity.ch/,,
109-42.preview.fidentity.ch,,404,19,109-42.preview.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-23T15:38:02Z,2024-05-22T15:38:02Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,745d0b847f3516986d750f411d8c983a.a029d392d782e4bd326b50dd8d672935.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,f64c3daea477153f95dbeef67ce5c04b,62ec4cd4aa2fd942849ab03b3f17906f11ac2197c8283f722f3a11b8c1dc40d0,ctls,109-42.preview.fidentity.ch,443,https://109-42.preview.fidentity.ch:443,https,text/plain,GET,194.182.166.97,/,-138391155,194.182.166.97,2,False,,,,,,,
11-15.loadtest.fidentity.ch,,404,19,11-15.loadtest.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-20T14:35:41Z,2024-05-19T14:35:41Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,0b08ba65717af4e688ae54281be04020.06d984ef9e7c6b81886cf3be3a54a57d.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,34798d4db30d9a1c69b3dde67517a759,4dced106f2b9af01a8db381ea74de05ee00fb9db15dff247d90f337f9a62e22c,ctls,11-15.loadtest.fidentity.ch,443,https://11-15.loadtest.fidentity.ch:443,https,text/plain,GET,194.182.164.157,/,-138391155,194.182.164.157,2,False,,,,,,,
155-9-171-93.preview.fidentity.ch,,404,19,155-9-171-93.preview.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-23T15:38:02Z,2024-05-22T15:38:02Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,119e5c1df04c3a2406edce3beef2890f.e2fa17dd837cfad1a4cd7d1784c739d2.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,784c77fcb65749bcc6578c1816c146ff,78cbfe200c93ff4f0a93ecdcf1e599c6534e12b51427d4a9187564e30b57e919,ctls,155-9-171-93.preview.fidentity.ch,443,https://155-9-171-93.preview.fidentity.ch:443,https,text/plain,GET,194.182.166.97,/,-138391155,194.182.166.97,2,False,,,,,,,
155-9-172-37.preview.fidentity.ch,,404,19,155-9-172-37.preview.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-23T15:38:02Z,2024-05-22T15:38:02Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,745d0b847f3516986d750f411d8c983a.a029d392d782e4bd326b50dd8d672935.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,f64c3daea477153f95dbeef67ce5c04b,62ec4cd4aa2fd942849ab03b3f17906f11ac2197c8283f722f3a11b8c1dc40d0,ctls,155-9-172-37.preview.fidentity.ch,443,https://155-9-172-37.preview.fidentity.ch:443,https,text/plain,GET,194.182.166.97,/,-138391155,194.182.166.97,2,False,,,,,,,
155-9-173-22.preview.fidentity.ch,,404,19,155-9-173-22.preview.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-23T15:38:02Z,2024-05-22T15:38:02Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,e5f897a64c8136346f5e6bd548508690.0cf10590141c3b32b0ef244d4a10659b.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,3dd52794a34e4e8eb5ebd7344bb281f5,6f4ab3a92f92d065737a4c4c79004069f20582a4e2596a154dd953ff5d9f0f8c,ctls,155-9-173-22.preview.fidentity.ch,443,https://155-9-173-22.preview.fidentity.ch:443,https,text/plain,GET,194.182.166.97,/,-138391155,194.182.166.97,2,False,,,,,,,
155-9-182-66.preview.fidentity.ch,,404,19,155-9-182-66.preview.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-23T15:38:02Z,2024-05-22T15:38:02Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,745d0b847f3516986d750f411d8c983a.a029d392d782e4bd326b50dd8d672935.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,f64c3daea477153f95dbeef67ce5c04b,62ec4cd4aa2fd942849ab03b3f17906f11ac2197c8283f722f3a11b8c1dc40d0,ctls,155-9-182-66.preview.fidentity.ch,443,https://155-9-182-66.preview.fidentity.ch:443,https,text/plain,GET,194.182.166.97,/,-138391155,194.182.166.97,2,False,,,,,,,
155-9-183-61.preview.fidentity.ch,,404,19,155-9-183-61.preview.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-23T15:38:02Z,2024-05-22T15:38:02Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,e5f897a64c8136346f5e6bd548508690.0cf10590141c3b32b0ef244d4a10659b.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,3dd52794a34e4e8eb5ebd7344bb281f5,6f4ab3a92f92d065737a4c4c79004069f20582a4e2596a154dd953ff5d9f0f8c,ctls,155-9-183-61.preview.fidentity.ch,443,https://155-9-183-61.preview.fidentity.ch:443,https,text/plain,GET,194.182.166.97,/,-138391155,194.182.166.97,2,False,,,,,,,
