input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,csp_domains_,tls_mismatched,tls_wildcard_certificate,tls_subject_org_
3p-auth.dev.ibotta.com,404 Not Found,404,146,3p-auth.dev.ibotta.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-05-26T23:59:59Z,CN=3p-auth.dev.ibotta.com,3p-auth.dev.ibotta.com,3p-auth.dev.ibotta.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3b18ee10761d9942d7ccad9d489da7ba,0c0bb23e452504f8e95e876a81a7f0731b970a4b6705b3b8a87f2e64480d0370,ctls,3p-auth.dev.ibotta.com,cloudfront,443,https://3p-auth.dev.ibotta.com:443,https,,text/html,GET,13.225.78.47,/,1494302000,2600:9000:21f3:2200:6:245d:8240:93a1,HSTS,8,False,True,,,,,
admin.ibotta.com,Ibotta: Earn Cash Back & Save With In-App Offers,200,114584,home.ibotta.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-15T00:00:00Z,2024-06-13T23:59:59Z,"CN=home.ibotta.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",home.ibotta.com,home.ibotta.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",7669ee3d5e7a6b06b13dad6f39b4346f,d18c7fd5a315983c56a01b9dd736b4eae2a56dfad6306161a3f9afc2759e0327,ctls,home.ibotta.com,cloudfront,443,https://admin.ibotta.com:443,https,cloudflare,text/html,GET,13.32.121.56,/,-1088302829,13.32.121.59,Yoast SEO:20.10,1049,False,True,https://home.ibotta.com/,,,,"Cloudflare, Inc."
alg.ibops.net,,403,42,alg.ibops.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-19T23:59:59Z,CN=alg.ibops.net,alg.ibops.net,alg.ibops.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9111a5f6b5e59306bf0521f18bafed20,3168103dfdb8fb5fe1a1af5471bfbad00556217956c64d48693aad0b282783d2,ctls,alg.ibops.net,,443,https://alg.ibops.net:443,https,Server,application/json,GET,3.33.203.90,/,768769774,15.197.199.34,,1,False,,,,,,
api-cf.ibotta.com,Ibotta: Earn Cash Back & Save With In-App Offers,200,114584,home.ibotta.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-15T00:00:00Z,2024-06-13T23:59:59Z,"CN=home.ibotta.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",home.ibotta.com,home.ibotta.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",7669ee3d5e7a6b06b13dad6f39b4346f,d18c7fd5a315983c56a01b9dd736b4eae2a56dfad6306161a3f9afc2759e0327,ctls,home.ibotta.com,cloudfront,443,https://api-cf.ibotta.com:443,https,cloudflare,text/html,GET,52.222.214.54,/,-1088302829,2600:9000:223d:8600:1d:86a5:7180:93a1,Yoast SEO:20.10,1049,False,True,https://home.ibotta.com/,,,,"Cloudflare, Inc."
api-origin.ibotta.com,Ibotta: Earn Cash Back & Save With In-App Offers,200,114584,home.ibotta.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-15T00:00:00Z,2024-06-13T23:59:59Z,"CN=home.ibotta.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",home.ibotta.com,home.ibotta.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",7669ee3d5e7a6b06b13dad6f39b4346f,d18c7fd5a315983c56a01b9dd736b4eae2a56dfad6306161a3f9afc2759e0327,ctls,home.ibotta.com,,443,https://api-origin.ibotta.com:443,https,cloudflare,text/html,GET,18.204.81.156,/,-1088302829,54.84.191.180,Yoast SEO:20.10,1049,False,,https://home.ibotta.com/,,,,"Cloudflare, Inc."
api.ibops.net,404 Not Found,404,146,api.ibops.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-10-26T23:59:59Z,CN=api.ibops.net,api.ibops.net,api.ibops.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ca7e85e39d6d1eb7b0de41e3b0c2026e,5025272f843e9b89a59da981d7fae3bcfd15cb6f4a35506be06add19a799ae4f,ctls,api.ibops.net,,443,https://api.ibops.net:443,https,,text/html,GET,3.221.105.250,/,1494302000,3.217.29.72,HSTS,8,False,,,,,,
api.ibotta.com,Ibotta: Earn Cash Back & Save With In-App Offers,200,114584,home.ibotta.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-15T00:00:00Z,2024-06-13T23:59:59Z,"CN=home.ibotta.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",home.ibotta.com,home.ibotta.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",7669ee3d5e7a6b06b13dad6f39b4346f,d18c7fd5a315983c56a01b9dd736b4eae2a56dfad6306161a3f9afc2759e0327,ctls,home.ibotta.com,cloudfront,443,https://api.ibotta.com:443,https,cloudflare,text/html,GET,52.222.214.52,/,-1088302829,52.222.214.54,Yoast SEO:20.10,1049,False,True,https://home.ibotta.com/,,,,"Cloudflare, Inc."
api.staging.ibops.net,404 Not Found,404,146,api.staging.ibops.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-15T23:59:59Z,CN=api.staging.ibops.net,api.staging.ibops.net,api.staging.ibops.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b995f93c293ed0a8f29d4c5a50692abd,b8cfb631777b430025163d715ef9ea82c406a46b4d9506b91151682e214de511,ctls,api.staging.ibops.net,,443,https://api.staging.ibops.net:443,https,,text/html,GET,54.235.70.25,/,1494302000,52.200.38.99,HSTS,8,False,,,,,,
app.dev.ibotta.com,Ibotta: Earn Cash Back & Save With In-App Offers,200,114584,home.ibotta.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-15T00:00:00Z,2024-06-13T23:59:59Z,"CN=home.ibotta.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",home.ibotta.com,home.ibotta.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",7669ee3d5e7a6b06b13dad6f39b4346f,d18c7fd5a315983c56a01b9dd736b4eae2a56dfad6306161a3f9afc2759e0327,ctls,home.ibotta.com,cloudfront,443,https://app.dev.ibotta.com:443,https,cloudflare,text/html,GET,18.66.97.127,/,198758904,2600:9000:223c:b800:3:866b:ccc0:93a1,Yoast SEO:20.10,1049,False,True,https://home.ibotta.com/,,,,"Cloudflare, Inc."
app.ibotta.com,Ibotta: Earn Cash Back & Save With In-App Offers,200,114584,home.ibotta.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-15T00:00:00Z,2024-06-13T23:59:59Z,"CN=home.ibotta.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",home.ibotta.com,home.ibotta.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",7669ee3d5e7a6b06b13dad6f39b4346f,d18c7fd5a315983c56a01b9dd736b4eae2a56dfad6306161a3f9afc2759e0327,ctls,home.ibotta.com,cloudfront,443,https://app.ibotta.com:443,https,cloudflare,text/html,GET,18.66.122.83,/,-696496802,2600:9000:2250:6800:14:fc27:88c0:93a1,Yoast SEO:20.10,1049,False,True,https://home.ibotta.com/,,,,"Cloudflare, Inc."
