input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,tls_expired,final_url
02v0-okta-sso.score.pasls.com,Pasls ~ Connect to social network,200,3005,02v0-okta-sso.score.pasls.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-01T22:43:13Z,2023-09-29T22:43:12Z,CN=*.pasls.com,*.pasls.com,*.pasls.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c377d069f0e259a7a5e1c6ac909ecb7c,3adf2318cb61e92f395a1a9b7c463de9bf9167faaf2272d7ad3361c14bbab1ee,True,ctls,02v0-okta-sso.score.pasls.com,443,https://02v0-okta-sso.score.pasls.com:443,https,nginx,text/html,GET,139.59.48.221,/,2056581550,139.59.48.221,Nginx,97,False,,,,
1-spring-boot-security-saml-active-okta-airbnb.myshoppie.pasls.com,Pasls ~ Connect to social network,200,3042,1-spring-boot-security-saml-active-okta-airbnb.myshoppie.pasls.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-01T22:43:13Z,2023-09-29T22:43:12Z,CN=*.pasls.com,*.pasls.com,*.pasls.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c377d069f0e259a7a5e1c6ac909ecb7c,3adf2318cb61e92f395a1a9b7c463de9bf9167faaf2272d7ad3361c14bbab1ee,True,ctls,1-spring-boot-security-saml-active-okta-airbnb.myshoppie.pasls.com,443,https://1-spring-boot-security-saml-active-okta-airbnb.myshoppie.pasls.com:443,https,nginx,text/html,GET,139.59.48.221,/,2056581550,139.59.48.221,Nginx,97,False,,,,
1-spring-boot-security-saml-active-okta-smcpext.pasls.com,Pasls ~ Connect to social network,200,3033,1-spring-boot-security-saml-active-okta-smcpext.pasls.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-01T22:43:13Z,2023-09-29T22:43:12Z,CN=*.pasls.com,*.pasls.com,*.pasls.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c377d069f0e259a7a5e1c6ac909ecb7c,3adf2318cb61e92f395a1a9b7c463de9bf9167faaf2272d7ad3361c14bbab1ee,True,ctls,1-spring-boot-security-saml-active-okta-smcpext.pasls.com,443,https://1-spring-boot-security-saml-active-okta-smcpext.pasls.com:443,https,nginx,text/html,GET,139.59.48.221,/,-1840324437,139.59.48.221,Nginx,97,False,,,,
10598.pasls.com,Pasls ~ Connect to social network,200,2991,10598.pasls.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-01T22:43:13Z,2023-09-29T22:43:12Z,CN=*.pasls.com,*.pasls.com,*.pasls.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c377d069f0e259a7a5e1c6ac909ecb7c,3adf2318cb61e92f395a1a9b7c463de9bf9167faaf2272d7ad3361c14bbab1ee,True,ctls,10598.pasls.com,443,https://10598.pasls.com:443,https,nginx,text/html,GET,139.59.48.221,/,2056581550,139.59.48.221,Nginx,97,False,,,,
107-okta-redirector-metrics-s3p-sbsgcustomer.bhaktarazkopasal.pasls.com,Pasls ~ Connect to social network,200,3047,107-okta-redirector-metrics-s3p-sbsgcustomer.bhaktarazkopasal.pasls.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-01T22:43:13Z,2023-09-29T22:43:12Z,CN=*.pasls.com,*.pasls.com,*.pasls.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c377d069f0e259a7a5e1c6ac909ecb7c,3adf2318cb61e92f395a1a9b7c463de9bf9167faaf2272d7ad3361c14bbab1ee,True,ctls,107-okta-redirector-metrics-s3p-sbsgcustomer.bhaktarazkopasal.pasls.com,443,https://107-okta-redirector-metrics-s3p-sbsgcustomer.bhaktarazkopasal.pasls.com:443,https,nginx,text/html,GET,139.59.48.221,/,-1840324437,139.59.48.221,Nginx,97,False,,,,
17-121-122-146.pasls.com,Pasls ~ Connect to social network,200,3000,17-121-122-146.pasls.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-01T22:43:13Z,2023-09-29T22:43:12Z,CN=*.pasls.com,*.pasls.com,*.pasls.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c377d069f0e259a7a5e1c6ac909ecb7c,3adf2318cb61e92f395a1a9b7c463de9bf9167faaf2272d7ad3361c14bbab1ee,True,ctls,17-121-122-146.pasls.com,443,https://17-121-122-146.pasls.com:443,https,nginx,text/html,GET,139.59.48.221,/,-1840324437,139.59.48.221,Nginx,97,False,,,,
7610341.pasls.com,Pasls ~ Connect to social network,200,2993,7610341.pasls.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-01T22:43:13Z,2023-09-29T22:43:12Z,CN=*.pasls.com,*.pasls.com,*.pasls.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c377d069f0e259a7a5e1c6ac909ecb7c,3adf2318cb61e92f395a1a9b7c463de9bf9167faaf2272d7ad3361c14bbab1ee,True,ctls,7610341.pasls.com,443,https://7610341.pasls.com:443,https,nginx,text/html,GET,139.59.48.221,/,-1840324437,139.59.48.221,Nginx,97,False,,,,
a2zonlinesewa.pasls.com,,200,1185,a2zonlinesewa.pasls.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-01T22:43:13Z,2023-09-29T22:43:12Z,CN=*.pasls.com,*.pasls.com,*.pasls.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c377d069f0e259a7a5e1c6ac909ecb7c,3adf2318cb61e92f395a1a9b7c463de9bf9167faaf2272d7ad3361c14bbab1ee,True,ctls,a2zonlinesewa.pasls.com,443,https://a2zonlinesewa.pasls.com:443,https,nginx,text/html,GET,139.59.48.221,/,-378128440,139.59.48.221,Nginx,50,False,,,,
abc-com.pasls.com,"Home			|
			abc.com",200,25443,abc-com.pasls.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-01T22:43:13Z,2023-09-29T22:43:12Z,CN=*.pasls.com,*.pasls.com,*.pasls.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c377d069f0e259a7a5e1c6ac909ecb7c,3adf2318cb61e92f395a1a9b7c463de9bf9167faaf2272d7ad3361c14bbab1ee,True,ctls,abc-com.pasls.com,443,https://abc-com.pasls.com:443,https,nginx,text/html,GET,139.59.48.221,/,-1717668551,139.59.48.221,jQuery,608,False,,,,
admin.pasls.com,"Home			|
			admin",200,25360,admin.pasls.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-01T22:43:13Z,2023-09-29T22:43:12Z,CN=*.pasls.com,*.pasls.com,*.pasls.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c377d069f0e259a7a5e1c6ac909ecb7c,3adf2318cb61e92f395a1a9b7c463de9bf9167faaf2272d7ad3361c14bbab1ee,True,ctls,admin.pasls.com,443,https://admin.pasls.com:443,https,nginx,text/html,GET,139.59.48.221,/,2056581550,139.59.48.221,jQuery,608,False,,,,
