input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_wildcard_certificate,cdn_name,webserver,cdn,final_url
api.kiwi.ki,KIWI API,200,3824,api.kiwi.ki,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,kiwi.ki,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",eb3d26b5c6a01b69438e9f2cc0891074,cf88ce6f5d7271b11f721eb63ce3eb4a352204418dbe5e1250aaae1f610c567f,ctls,api.kiwi.ki,443,https://api.kiwi.ki:443,https,text/html,GET,104.22.15.22,/,856973041,2606:4700:10::ac43:2640,HSTS,101,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,True,https://api.kiwi.ki/static/swagger/index.html
developer.kiwi.ki,KIWI API,200,3824,api.kiwi.ki,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,kiwi.ki,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",eb3d26b5c6a01b69438e9f2cc0891074,cf88ce6f5d7271b11f721eb63ce3eb4a352204418dbe5e1250aaae1f610c567f,ctls,api.kiwi.ki,443,https://developer.kiwi.ki:443,https,text/html,GET,172.67.38.64,/,1088199267,2606:4700:10::ac43:2640,HSTS,101,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,True,https://api.kiwi.ki/static/swagger/index.html
grafana.kiwi.ki,403 Forbidden,403,162,grafana.kiwi.ki,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-29T14:58:44Z,2023-08-27T14:58:43Z,CN=grafana.kiwi.ki,grafana.kiwi.ki,grafana.kiwi.ki,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,23b6399a97208feb7a0769ebd47a4793,83cfd65a875b91432c8709ef03757ef621e6c1b559ae227ffc9e3fc579bf0261,ctls,grafana.kiwi.ki,443,https://grafana.kiwi.ki:443,https,text/html,GET,52.29.88.116,/,-551736798,52.29.115.198,HSTS,8,False,,,,,,
hs.kiwi.ki,Page not found,404,10346,hs.kiwi.ki,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,kiwi.ki,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",eb3d26b5c6a01b69438e9f2cc0891074,cf88ce6f5d7271b11f721eb63ce3eb4a352204418dbe5e1250aaae1f610c567f,ctls,hs.kiwi.ki,443,https://hs.kiwi.ki:443,https,text/html,GET,199.60.103.227,/,-21735507,2606:2c40::c73c:671d,HSTS,127,False,"Cloudflare, Inc.",True,,cloudflare,,
installers-app.kiwi.ki,KIWI.KI Smart Installation,200,2067,installers-app.kiwi.ki,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,kiwi.ki,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",eb3d26b5c6a01b69438e9f2cc0891074,cf88ce6f5d7271b11f721eb63ce3eb4a352204418dbe5e1250aaae1f610c567f,ctls,installers-app.kiwi.ki,443,https://installers-app.kiwi.ki:443,https,text/html,GET,104.22.15.22,/,-874164898,2606:4700:10::ac43:2640,HSTS,41,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,True,https://installers-app.kiwi.ki/smart_installation/
m.kiwi.ki,KIWI,200,14311,m.kiwi.ki,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,kiwi.ki,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",eb3d26b5c6a01b69438e9f2cc0891074,cf88ce6f5d7271b11f721eb63ce3eb4a352204418dbe5e1250aaae1f610c567f,ctls,m.kiwi.ki,443,https://m.kiwi.ki:443,https,text/html,GET,172.67.38.64,/,-1489337905,2606:4700:10::6816:e16,HSTS,2,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,True,
mobile.kiwi.ki,KIWI.KI - Secure. Easy. Fast.,200,68440,mobile.kiwi.ki,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,kiwi.ki,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",eb3d26b5c6a01b69438e9f2cc0891074,cf88ce6f5d7271b11f721eb63ce3eb4a352204418dbe5e1250aaae1f610c567f,ctls,mobile.kiwi.ki,443,https://mobile.kiwi.ki:443,https,text/html,GET,104.22.14.22,/,-1876360885,2606:4700:10::6816:e16,HSTS,1450,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,True,
new-portal.kiwi.ki,KIWI Portal,200,2735,portal.kiwi.ki,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,kiwi.ki,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",eb3d26b5c6a01b69438e9f2cc0891074,cf88ce6f5d7271b11f721eb63ce3eb4a352204418dbe5e1250aaae1f610c567f,ctls,portal.kiwi.ki,443,https://new-portal.kiwi.ki:443,https,text/html,GET,104.22.14.22,/,-2009722838,2606:4700:10::6816:f16,HSTS,2,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,True,https://portal.kiwi.ki/
portal.kiwi.ki,KIWI Portal,200,2735,portal.kiwi.ki,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,kiwi.ki,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",eb3d26b5c6a01b69438e9f2cc0891074,cf88ce6f5d7271b11f721eb63ce3eb4a352204418dbe5e1250aaae1f610c567f,ctls,portal.kiwi.ki,443,https://portal.kiwi.ki:443,https,text/html,GET,172.67.38.64,/,-2009722838,2606:4700:10::6816:e16,HSTS,2,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,True,
versions.services.kiwi.ki,,404,,versions.services.kiwi.ki,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-29T15:02:08Z,2023-08-27T15:02:07Z,CN=versions.services.kiwi.ki,versions.services.kiwi.ki,versions.services.kiwi.ki,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,18b9c7c5667bd97fdbbdbf193827607c,eb88f67490effa6f8369ed3c5382dff57b276e6f8b84eb852a6aced7b04c021a,ctls,versions.services.kiwi.ki,443,https://versions.services.kiwi.ki:443,https,text/html,GET,3.75.16.87,/,-1840324437,52.29.115.198,HSTS,1,False,,,,,,
www.kiwi.ki,KIWI - das digitale Schließsystem für die Wohnungswirtschaft,200,599894,kiwi.ki,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,kiwi.ki,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",eb3d26b5c6a01b69438e9f2cc0891074,cf88ce6f5d7271b11f721eb63ce3eb4a352204418dbe5e1250aaae1f610c567f,ctls,kiwi.ki,443,https://www.kiwi.ki:443,https,text/html,GET,91.216.248.17,/,769703331,2a00:f48:2000:affe:fe00::19,wpBakery,7340,False,"Cloudflare, Inc.",True,,cloudflare,,https://kiwi.ki/
www.m.kiwi.ki,KIWI,200,14311,m.kiwi.ki,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,kiwi.ki,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",eb3d26b5c6a01b69438e9f2cc0891074,cf88ce6f5d7271b11f721eb63ce3eb4a352204418dbe5e1250aaae1f610c567f,ctls,m.kiwi.ki,80,http://www.m.kiwi.ki:80,http,text/html,GET,172.67.38.64,/,-1489337905,2606:4700:10::6816:f16,HSTS,2,False,"Cloudflare, Inc.",True,cloudflare,cloudflare,True,https://m.kiwi.ki/
