input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,method,host,path,favicon,a_,lines,failed,tls_mismatched,tls_wildcard_certificate,cdn_name,webserver,content_type,tech_,cdn
ab.hwigroup.com,,404,293,ab.hwigroup.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2023-10-06T23:59:59Z,CN=*.adhese.com,*.adhese.com,ab.hwigroup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,e7f4e5f99d91c99b617e5f46768879ac,5df437ce185680d42e15b77995ddd0e654f2ce1df860a9607acf3598fec338e7,ctls,ab.hwigroup.com,443,https://ab.hwigroup.com:443,https,GET,99.86.4.43,/,-1209161279,2600:9000:2057:4600:6:4638:58c0:93a1,2,False,True,True,cloudfront,AmazonS3,application/xml,Amazon Web Services,True
hwigroup.com,404 Not Found,404,195,,,,,,,,,,,,,,,,,,80,http://hwigroup.com:80,http,GET,87.233.92.28,/,-705692344,87.233.92.28,7,False,,,,,text/html,,
t.hwigroup.com,,400,,t.hwigroup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-10-06T23:59:59Z,CN=t.hwigroup.com,t.hwigroup.com,t.hwigroup.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3a54fe59275c94660980c0318368cbd3,5480111b194d06065684b0af1fa5418650f7b2aba6ef835d89368dc6d1f9a01d,ctls,t.hwigroup.com,443,https://t.hwigroup.com:443,https,GET,63.32.196.107,/,-1840324437,54.194.11.100,1,False,,,,,,,
