new,host,a,cname,soa,status_code,aaaa,txt,cdn,cdn-name,ns,mx,caa,has_internal_ips,internal_ips
,spf-a.rabobank.com,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,v=spf1 ip4:194.88.231.16/28 ip4:206.71.18.20/31 ip4:204.239.0.232/30 ip4:198.207.147.224/28 ip4:103.69.164.128/25 ip4:202.4.183.0/29 ip4:216.131.12.33 ip4:103.25.223.0/24 ip4:62.209.53.67 ip4:203.109.136.0/24 ~all,,,,,,,
,spf-a.rabobank.nl,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,v=spf1 ip4:212.159.211.48/28 ip4:54.194.248.80 ip4:134.213.13.112/29 ip4:160.34.64.28 ip4:194.88.231.0/23 ip4:193.138.250.220 ip4:77.245.88.80/28 ip4:198.37.147.0/24 ip4:188.95.97.119 ip4:188.95.97.118 ip4:66.231.88.207 ip4:66.231.89.168 -all,,,,,,,
,spf-b.rabobank.nl,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,v=spf1 ip4:83.137.145.128/25 ip4:89.188.15.0/29 ip4:62.112.224.5 ip4:50.31.33.53 ip4:62.112.224.5 ip4:62.112.236.36 ip4:149.210.208.59 ip4:149.210.202.37 ip4:213.206.251.36 ip4:212.61.137.180 ip4:208.73.7.29 ip4:50.31.62.36 -all,,,,,,,
,spf-c.rabobank.nl,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,v=spf1 ip4:54.229.31.57 ip4:92.42.232.0/21 ip4:185.3.204.0/22 ip4:85.222.130.224/28 ip4:136.146.128.64/28 ip4:136.147.46.192/26 ip4:128.199.34.123/32 ip4:62.204.92.128/26 ip4:62.148.163.44 ip4:87.233.82.27 ip4:89.188.23.59 -all,,,,,,,
,ssm-tls.rabobank.nl,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,"v=spf1 include:rabobank.nl -all, qCDkpTmvZ7vRIM8XKGy1d6Z0sMzNX4S5607DlYb14v40E9w57nUMtZZEk8+PkphGKaUB2UReeTnlIzUIV6nkVA==",,,,ssmtls-rabobank-nl0i.mail.protection.outlook.com,,,
,staging.ruralclientphoto.rabobank.com,20.76.216.115,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,statics-staging.rabobank.com,"2.16.187.32, 2.16.187.11","statics-staging.rabobank.com.edgekey.net, e95558.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:6c00::210:bb0b, 2a02:26f0:6c00::210:bb20",,,,,,,,
,statics.rabobank.com,"23.213.161.220, 23.213.161.223","statics.rabobank.com.edgekey.net, e38296.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:ab00::5c7a:d720, 2a02:26f0:ab00::214:8e5b",,,,,,,,
,stats.rabobank.nl,93.188.252.228,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,status-test.rabobank.nl,"104.110.240.40, 2.19.195.225","status-test.rabobank.nl.edgekey.net, e95558.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:c900:9::5f65:4a9b, 2a02:26f0:c900:9::5f65:4a87",,,,,,,,
,stp-sdc.rabobank.com,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,stp.rabobank.com,85.119.18.40,stp-sdc.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
