input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,tls_self_signed,csp_domains_,final_url
7g5v9w9yv2wz9yq3.www.new.blog.counter-strike.net,Counter-Strike: Global Offensive,200,57654,blog.counter-strike.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-18T16:33:27Z,2023-06-16T16:33:26Z,CN=tls.automattic.com,tls.automattic.com,,www.thisistemporary.blog,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,eaaf56cfaefe20a9d933527d34bb1db7,43a2f010dfef1f21041b79ed31a53e55fd56d043435433c01b5e07e46ff3894b,,ctls,blog.counter-strike.net,443,https://7g5v9w9yv2wz9yq3.www.new.blog.counter-strike.net:443,https,nginx,text/html,GET,192.0.78.24,/,1274734426,192.0.78.25,WordPress.com,1165,False,,,,,https://blog.counter-strike.net/
admin-jayarustpass.telapiwww.new.blog.counter-strike.net,Counter-Strike: Global Offensive,200,57654,blog.counter-strike.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-18T16:33:27Z,2023-06-16T16:33:26Z,CN=tls.automattic.com,tls.automattic.com,,www.thisistemporary.blog,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,eaaf56cfaefe20a9d933527d34bb1db7,43a2f010dfef1f21041b79ed31a53e55fd56d043435433c01b5e07e46ff3894b,,ctls,blog.counter-strike.net,443,https://admin-jayarustpass.telapiwww.new.blog.counter-strike.net:443,https,nginx,text/html,GET,192.0.78.25,/,1274734426,192.0.78.24,WordPress.com,1165,False,,,,,https://blog.counter-strike.net/
api.steampowered.com,404 Not Found,404,548,api.steampowered.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-12-16T00:00:00Z,2023-12-17T23:59:59Z,"CN=store.steampowered.com, O=Valve Corp, L=Bellevue, ST=Washington, C=US, serialNumber=602 290 773, businessCategory=Private Organization, jurisdictionStateOrProvince=Washington, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Washington, jurisdictionCountry=US",store.steampowered.com,Valve Corp,www.valvesoftware.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,eb1bd1ca7308d0bdd28b6c8431003e46,46cba03613a8134d7458dfc5f3600e836e40e9efed15ab12a2a4bc64682ba913,,ctls,api.steampowered.com,443,https://api.steampowered.com:443,https,nginx,text/html,GET,23.212.216.106,/,-754270322,23.212.216.106,Nginx,14,False,,,,,
aplvm7vhbiwc8u3v.beta.mallww.new.blog.counter-strike.net,429 Too Many Requests,429,1168,blog.counter-strike.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-18T16:33:27Z,2023-06-16T16:33:26Z,CN=tls.automattic.com,tls.automattic.com,,www.thisistemporary.blog,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,eaaf56cfaefe20a9d933527d34bb1db7,43a2f010dfef1f21041b79ed31a53e55fd56d043435433c01b5e07e46ff3894b,,ctls,blog.counter-strike.net,443,https://aplvm7vhbiwc8u3v.beta.mallww.new.blog.counter-strike.net:443,https,nginx,text/html,GET,192.0.78.24,/,1274734426,192.0.78.25,Nginx,60,False,,,,,https://blog.counter-strike.net/
blog.counter-strike.net,Counter-Strike: Global Offensive,200,57654,blog.counter-strike.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-18T16:33:27Z,2023-06-16T16:33:26Z,CN=tls.automattic.com,tls.automattic.com,,www.thisistemporary.blog,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,eaaf56cfaefe20a9d933527d34bb1db7,43a2f010dfef1f21041b79ed31a53e55fd56d043435433c01b5e07e46ff3894b,,ctls,blog.counter-strike.net,443,https://blog.counter-strike.net:443,https,nginx,text/html,GET,192.0.78.179,/,1274734426,192.0.78.231,WordPress.com,1165,False,,,,,
blog.dota2.com,Dota News and Updates,200,39817,www.dota2.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-03T00:00:00Z,2024-03-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5beb5ec6a50d2b600cb1426532ca2b0f,85a3a39e507c749d2240caa7b8a3d28a3c9be37f497bfc57b17f0bce0fad97bc,,ctls,www.dota2.com,443,https://blog.dota2.com:443,https,cloudflare,text/html,GET,104.18.37.57,/,1115482966,172.64.150.199,Cloudflare,17,False,cloudflare,True,,,https://www.dota2.com/news
blogs.valvesoftware.com,Access Denied,403,222,blogs.valvesoftware.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-12-16T00:00:00Z,2023-12-17T23:59:59Z,"CN=store.steampowered.com, O=Valve Corp, L=Bellevue, ST=Washington, C=US, serialNumber=602 290 773, businessCategory=Private Organization, jurisdictionStateOrProvince=Washington, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Washington, jurisdictionCountry=US",store.steampowered.com,Valve Corp,www.valvesoftware.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,eb1bd1ca7308d0bdd28b6c8431003e46,46cba03613a8134d7458dfc5f3600e836e40e9efed15ab12a2a4bc64682ba913,,ctls,blogs.valvesoftware.com,443,https://blogs.valvesoftware.com:443,https,AkamaiGHost,text/html,GET,104.102.42.29,/,1810886320,104.102.42.29,,10,False,,,,,
br.blog.dota2.com,Dota News and Updates,200,39815,www.dota2.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-03T00:00:00Z,2024-03-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5beb5ec6a50d2b600cb1426532ca2b0f,85a3a39e507c749d2240caa7b8a3d28a3c9be37f497bfc57b17f0bce0fad97bc,,ctls,www.dota2.com,443,https://br.blog.dota2.com:443,https,cloudflare,text/html,GET,172.64.150.199,/,-1311288043,104.18.37.57,Cloudflare,17,False,cloudflare,True,,,https://www.dota2.com/news
br.dota2.com,Dota News and Updates,200,39815,www.dota2.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-03T00:00:00Z,2024-03-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5beb5ec6a50d2b600cb1426532ca2b0f,85a3a39e507c749d2240caa7b8a3d28a3c9be37f497bfc57b17f0bce0fad97bc,,ctls,www.dota2.com,443,https://br.dota2.com:443,https,cloudflare,text/html,GET,104.18.37.57,/,-699349609,172.64.150.199,Cloudflare,17,False,cloudflare,True,,,https://www.dota2.com/news
bump.steampowered.com,403 Forbidden,403,553,bump.steampowered.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-18T00:00:00Z,2024-04-17T23:59:59Z,"CN=security.cloudflare-dns.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",security.cloudflare-dns.com,"Cloudflare, Inc.",*.security.cloudflare-dns.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,35f3e3de2a43959d6462e21093fb2fb8,3907a9d3c823dad0b7ea2c48805c4126f24473e218d394a9f1eef14ff3d764f4,True,ctls,bump.steampowered.com,443,https://bump.steampowered.com:443,https,cloudflare,text/html,GET,1.1.1.2,/,-861110197,1.1.1.2,Cloudflare,14,False,,,,,
