new,host,a,soa,status_code,aaaa,cname,has_internal_ips,internal_ips,mx,ns,cdn,cdn-name,txt
,abercrombie.com,"62.115.252.26, 62.115.252.33","blox-anf-dns-pr20-v.homeoffice.anfcorp.com, please_set_email.absolutely.nowhere",NOERROR,,,,,"mxb-0026d501.gslb.pphosted.com, mxa-0026d501.gslb.pphosted.com","a4-67.akam.net, a1-58.akam.net, a26-65.akam.net, a9-65.akam.net, a3-66.akam.net, a8-64.akam.net",,,"webexdomainverification.AETD=63d52ca5-9946-4136-a2a6-86ba21eee67e, v=spf1 include:spf-0026d501.pphosted.com include:spf.mandrillapp.com ~all, MS=ms54865508, facebook-domain-verification=bpk2h8jeug5a40963oqqvdaumursnw, spycloud-domain-verification=4cb8a100-94bb-4593-937c-a713e9ed3c54, adobe-idp-site-verification=bf86f7b2ebf99a8d6d35ec0fad455a6f1ff173db29582af57d50e40b15fe99a4, MS=B0CB216C4B76527DB195B76BE3AABBC8C5A8E159, 3600, MS=ms95939409, apple-domain-verification=glOIB0pCxyv6kWGc"
,admin-staging.corporate.abercrombie.com,45.79.180.246,"blox-anf-dns-pr20-v.homeoffice.anfcorp.com, please_set_email.absolutely.nowhere",NOERROR,,origin-staging.corporate.abercrombie.com,,,,,,,
,anf-callpilot.abercrombie.com,208.255.29.250,"blox-anf-dns-pr20-v.homeoffice.anfcorp.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,
,anf-ecwww1.abercrombie.com,208.255.29.221,"blox-anf-dns-pr20-v.homeoffice.anfcorp.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,
,anf-ecwww2.abercrombie.com,208.255.29.222,"blox-anf-dns-pr20-v.homeoffice.anfcorp.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,
,anf-inter.abercrombie.com,,"blox-anf-dns-pr20-v.homeoffice.anfcorp.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,
,anf-notesapps.abercrombie.com,,"blox-anf-dns-pr20-v.homeoffice.anfcorp.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,
,anfcorp.abercrombie.com,208.255.29.189,"blox-anf-dns-pr20-v.homeoffice.anfcorp.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,
,anfmail.abercrombie.com,208.255.29.220,"blox-anf-dns-pr20-v.homeoffice.anfcorp.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,
,applications.abercrombie.com,65.210.129.106,"blox-anf-dns-pr20-v.homeoffice.anfcorp.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,
,areyouin.abercrombie.com,,"blox-anf-dns-pr20-v.homeoffice.anfcorp.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,
,associate.abercrombie.com,23.36.235.8,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"associate.anfcorp.com.edgekey.net, e5120.a.akamaiedge.net",,,,,,,
,autodiscover.hollisterco.com,"40.99.157.56, 40.99.149.152, 40.99.157.8","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,"2603:1026:c0d:c2b::8, 2603:1026:c0d:806::8, 2603:1026:c0d:c06::8, 2603:1026:c0d:c31::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,
,careers-test.hollisterco.com,65.210.129.38,"blox-anf-dns-pr20-v.homeoffice.anfcorp.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,
,careers.abercrombie.com,65.210.129.37,"blox-anf-dns-pr20-v.homeoffice.anfcorp.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,
,careers.hollisterco.com,65.210.129.38,"blox-anf-dns-pr20-v.homeoffice.anfcorp.com, please_set_email.absolutely.nowhere",NOERROR,,,,,,,,,
