input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_subject_org_,cdn_name,webserver,tech_,cdn,tls_wildcard_certificate,csp_domains_,final_url,tls_mismatched
*.analytics.google.com,Redirecting...,200,888,analytics.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:16:17Z,2023-08-21T08:16:16Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5c86a077182cd855f21b8d80b363100f,2aa97ca45c98e14d3cd12af65b396f1a51731b94ec4b5f705a8920116775adc2,ctls,analytics.google.com,443,https://analytics.google.com:443,https,text/html,GET,216.239.38.181,/,302920777,2001:4860:4802:38::181,1,False,,,ESF,HTTP/3,,True,http:,https://analytics.google.com/analytics/web/,
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118545,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:16:17Z,2023-08-21T08:16:16Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5c86a077182cd855f21b8d80b363100f,2aa97ca45c98e14d3cd12af65b396f1a51731b94ec4b5f705a8920116775adc2,ctls,marketingplatform.google.com,443,https://google-analytics.com:443,https,text/html,GET,142.250.181.228,/,302920777,2a00:1450:4001:82f::2004,1833,False,,,sffe,HTTP/3,,True,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/,
*.googleadservices.com,Error 404 (Not Found)!!1,404,1561,googleadservices.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:20:00Z,2023-08-21T08:19:59Z,CN=*.googleadservices.com,*.googleadservices.com,googleadservices.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,a998b7fe49a4321335861c494a3eb404,a0df3c80bb08fe4b26d4fc8920c6bc3cb8172b1a7bbe310663037f4198609b80,ctls,googleadservices.com,443,https://googleadservices.com:443,https,text/html,GET,142.250.184.226,/,302920777,142.250.184.226,12,False,,,sffe,HTTP/3,,True,,,
*.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:16:16Z,2023-08-21T08:16:15Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,e20166dfb9b49e85fa7472762d5f249f,42f0db40ff6122a0b837526586d132cf7bceafb0f608de6f54f132949d87ed0e,ctls,googletagmanager.com,443,https://googletagmanager.com:443,https,text/html,GET,142.250.186.168,/,302920777,2a00:1450:4001:82b::2008,12,False,,,Google Tag Manager,HTTP/3,,True,,,
*.visualwebsiteoptimizer.com,VWO | #1 A/B Testing Tool in the World,200,597135,vwo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-10T19:42:09Z,2023-09-08T19:42:08Z,CN=vwo.com,vwo.com,*.vwo.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,8e3a5e4dea735fee18b024df4e1ee016,43d6b84d20355e22be539529d6d234535160f62fae6233dd06a1eee6db489397,ctls,vwo.com,443,https://visualwebsiteoptimizer.com:443,https,text/html,GET,34.149.221.142,/,-1986818006,34.149.221.142,4236,False,,google,cloudflare,Yoast SEO:20.9,True,True,,https://vwo.com/,
academy.make.com,Make Academy,200,340114,academy.make.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-11T09:28:11Z,2023-09-09T09:28:10Z,CN=academy.make.com,academy.make.com,academy.make.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,39566ef0da638e241146c1316fa1d178,18a1f91499a30786102992f73f04f7fd6451d6d57e6078015961a6c80ed13db7,ctls,academy.make.com,443,https://academy.make.com:443,https,text/html,GET,54.243.250.147,/,-1840324437,35.169.200.225,1297,False,,,openresty,Thinkific,,,,,
admin-oauth.make.com,403 Forbidden,403,146,admin-oauth.make.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-11T00:00:00Z,2023-10-10T23:59:59Z,"CN=make.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",make.com,make.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",68abe8ce771746119e3792ef28deac92,c35dcedcc8dbc2f5e5054c7d51cf9ce2a090901e175e04e86754595527ab2921,ctls,admin-oauth.make.com,443,https://admin-oauth.make.com:443,https,text/html,GET,104.18.19.60,/,-1561873722,104.18.18.60,8,False,"Cloudflare, Inc.",cloudflare,cloudflare,Cloudflare Bot Management,True,True,,,
api.candu.ai,Candu,200,3692,api.candu.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:28:49Z,2023-09-14T00:28:48Z,CN=candu.ai,candu.ai,*.candu.ai,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,df45c0586c2a4198c9c173156bb27d4e,2e110d882163f21b48d0ac60f1b57cb21b4db5ac00e577ceb7ccbf0a991ae1e2,ctls,api.candu.ai,443,https://api.candu.ai:443,https,text/html,GET,104.18.7.221,/,-2034333830,2606:4700::6812:7dd,1,False,,cloudflare,cloudflare,Typekit,True,True,,,
api.rudderlabs.com,,404,9,api.rudderlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-14T00:00:00Z,2024-07-12T23:59:59Z,CN=*.rudderlabs.com,*.rudderlabs.com,*.rudderlabs.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,26c2c5b401e3a23167d057e3cfd63ded,9335991a58dade39d205db2dbb08845262f052c1401dcf19bc0b5b69380c854a,ctls,api.rudderlabs.com,443,https://api.rudderlabs.com:443,https,text/plain,GET,13.32.99.61,/,-738705486,2600:9000:2251:4400:9:fddd:fc40:93a1,1,False,,cloudfront,,HTTP/3,True,True,,,
app-academy.make.com,404 Not Found,404,146,app-academy.make.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-11T00:00:00Z,2023-10-10T23:59:59Z,"CN=make.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",make.com,make.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",68abe8ce771746119e3792ef28deac92,c35dcedcc8dbc2f5e5054c7d51cf9ce2a090901e175e04e86754595527ab2921,ctls,app-academy.make.com,443,https://app-academy.make.com:443,https,text/html,GET,104.18.18.60,/,1494302000,104.18.19.60,8,False,"Cloudflare, Inc.",cloudflare,cloudflare,Cloudflare Bot Management,True,True,,,
