new,host,soa,status_code,a,aaaa,cdn,cdn-name,cname,has_internal_ips,internal_ips,ns,txt,mx,caa
[x],1-okta-network-metrics-ametricc-pass.ctl.guard.test.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"10.66.178.250, 10.66.46.129, 10.66.74.107",,,,internal-k8s-albv2apprproxysde-95fb3b1706-1463892782.eu-west-1.elb.amazonaws.com,True,"10.66.178.250, 10.66.46.129, 10.66.74.107",,"heritage=external-dns,external-dns/owner=external-dns-cloudflare-zidane-dev-eu-west-1,external-dns/resource=ingress/app-uxanalytics-rproxy/nginx-app-uxanalytics-rproxy",,
[x],1-okta-network-metrics-ametricc-pass.dev-guard.test.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"10.66.74.107, 10.66.178.250, 10.66.46.129",,,,internal-k8s-albv2apprproxysde-95fb3b1706-1463892782.eu-west-1.elb.amazonaws.com,True,"10.66.74.107, 10.66.178.250, 10.66.46.129",,,,
[x],1-okta-network-metrics-ametricc-pass.guard-2012.test.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"10.66.178.250, 10.66.46.129, 10.66.74.107",,,,internal-k8s-albv2apprproxysde-95fb3b1706-1463892782.eu-west-1.elb.amazonaws.com,True,"10.66.178.250, 10.66.46.129, 10.66.74.107",,,,
[x],1-okta-network-metrics-ametricc-pass.guard.test.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"10.66.178.250, 10.66.46.129, 10.66.74.107",,,,internal-k8s-albv2apprproxysde-95fb3b1706-1463892782.eu-west-1.elb.amazonaws.com,True,"10.66.178.250, 10.66.46.129, 10.66.74.107",,,,
[x],1-okta-network-metrics-ametricc-pass.guardeuwe.test.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"10.66.46.129, 10.66.74.107, 10.66.178.250",,,,internal-k8s-albv2apprproxysde-95fb3b1706-1463892782.eu-west-1.elb.amazonaws.com,True,"10.66.46.129, 10.66.74.107, 10.66.178.250",,,,
[x],1-okta-network-metrics-ametricc-pass.search-guard.test.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"10.66.74.107, 10.66.46.129, 10.66.178.250",,,,internal-k8s-albv2apprproxysde-95fb3b1706-1463892782.eu-west-1.elb.amazonaws.com,True,"10.66.74.107, 10.66.46.129, 10.66.178.250",,,,
[x],1-okta-network-metrics-ametricc-passbeta.guard.test.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"10.66.46.129, 10.66.74.107, 10.66.178.250",,,,internal-k8s-albv2apprproxysde-95fb3b1706-1463892782.eu-west-1.elb.amazonaws.com,True,"10.66.46.129, 10.66.74.107, 10.66.178.250",,,,
[x],academy.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],academy.test.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"10.66.178.250, 10.66.46.129, 10.66.74.107",,,,internal-k8s-albv2apprproxysde-95fb3b1706-1463892782.eu-west-1.elb.amazonaws.com,True,"10.66.178.250, 10.66.46.129, 10.66.74.107",,,,
[x],alerts.contentsquare.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"52.55.17.150, 34.226.59.28",,,,autorecorder-contentsquare-https-1157673143.us-east-1.elb.amazonaws.com,,,,,,
[x],alphalee-132-159-252-86.test.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"10.66.178.250, 10.66.46.129, 10.66.74.107",,,,internal-k8s-albv2apprproxysde-95fb3b1706-1463892782.eu-west-1.elb.amazonaws.com,True,"10.66.178.250, 10.66.46.129, 10.66.74.107",,"heritage=external-dns,external-dns/owner=external-dns-cloudflare-zidane-dev-eu-west-1,external-dns/resource=ingress/app-uxanalytics-rproxy/nginx-app-uxanalytics-rproxy",,
[x],api-future.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],api-pentest.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],api-proxy.az-us.staging.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],api.aws-eu.production.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"54.72.3.2, 52.16.180.112, 52.214.196.108",,,,k8s-albv2appservicesp-1c41a3fbb7-1739393164.eu-west-1.elb.amazonaws.com,,,,,,
[x],api.az-eu.production.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,20.191.43.109,,True,azure,,,,,"heritage=external-dns,external-dns/owner=external-dns-cloudflare-aks-papin-production-northeurope,external-dns/resource=ingress/app-services/gateway-api-external",,
[x],api.az-us.staging.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,10.138.68.193,,,,,True,10.138.68.193,,"heritage=external-dns,external-dns/owner=external-dns-cloudflare-aks-papin-staging-eastus2,external-dns/resource=ingress/app-services/gateway-api",,
[x],api.beta.contentsquare.com,"ns-578.awsdns-08.net, awsdns-hostmaster.amazon.com",NOERROR,"52.45.237.230, 52.1.73.132, 3.212.141.160, 34.238.130.17, 184.73.185.20, 3.211.126.63, 3.209.52.196, 54.156.223.118",,,,,,,,,,
[x],api.eu-west-1.production.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"52.16.180.112, 54.72.3.2, 52.214.196.108",,,,k8s-albv2appservicesp-1c41a3fbb7-1739393164.eu-west-1.elb.amazonaws.com,,,,"heritage=external-dns,external-dns/owner=external-dns-cloudflare-zidane-production-eu-west-1,external-dns/resource=ingress/app-services/gateway-api-external",,
[x],api.eu-west-1.staging.contentsquare.com,"ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"10.65.119.176, 10.65.155.88, 10.65.50.214",,,,traefik-v3-zidane-staging-dbb6679d5d861fed.elb.eu-west-1.amazonaws.com,True,"10.65.119.176, 10.65.155.88, 10.65.50.214",,"heritage=external-dns,external-dns/owner=external-dns-cloudflare-zidane-staging-eu-west-1,external-dns/resource=ingress/app-services/gateway-api",,
[x],app-session-player-demo.eu-west-1.staging.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"10.65.51.68, 10.65.153.107, 10.65.116.230",,,,internal-k8s-appsessi-appsessi-de176602ab-1032854980.eu-west-1.elb.amazonaws.com,True,"10.65.51.68, 10.65.153.107, 10.65.116.230",,,,
[x],app-session-player.eastus2.staging.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,10.138.68.193,,,,,True,10.138.68.193,,"heritage=external-dns,external-dns/owner=external-dns-cloudflare-aks-papin-staging-eastus2,external-dns/resource=ingress/app-session-player/app-session-player",,
[x],app-session-player.eu-west-1.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"54.229.60.96, 18.203.141.93, 18.203.130.156",,,,4179f5a0-appsessionplayer--2afa-620934848.eu-west-1.elb.amazonaws.com,,,,,,
[x],app-session-player.eu-west-1.dev.contentsquare.com,"ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"10.66.47.102, 10.66.74.182, 10.66.176.203",,,,traefik-v3-zidane-dev-6a2e4161c3989a7e.elb.eu-west-1.amazonaws.com,True,"10.66.47.102, 10.66.74.182, 10.66.176.203",,"heritage=external-dns,external-dns/owner=external-dns-cloudflare-zidane-dev-eu-west-1,external-dns/resource=ingress/app-session-player/app-session-player",,
[x],app-session-player.eu-west-1.staging.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"10.65.48.22, 10.65.116.124, 10.65.152.237",,,,internal-k8s-appsessi-appsessi-ded27aeb4e-462745883.eu-west-1.elb.amazonaws.com,True,"10.65.48.22, 10.65.116.124, 10.65.152.237",,"heritage=external-dns,external-dns/owner=external-dns-cloudflare-zidane-staging-eu-west-1,external-dns/resource=ingress/app-session-player/app-session-player",,
[x],app-snapshot-private-staging.az-us.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],app-snapshot-private.az-us.staging.contentsquare.com,"aiden.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
[x],app-snapshot-public.aws-eu.dev.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"10.66.177.255, 10.66.44.151, 10.66.72.182",,,,internal-k8s-appsnaps-appsnaps-2202936234-2050744422.eu-west-1.elb.amazonaws.com,True,"10.66.177.255, 10.66.44.151, 10.66.72.182",,,,
[x],app-snapshot-public.aws-eu.production.contentsquare.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"52.209.48.79, 52.210.216.73, 52.49.50.188",,,,4179f5a0-appsnapshotpublic-b427-665589860.eu-west-1.elb.amazonaws.com,,,,,,
