input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_mismatched,final_url,tls_subject_org_,location,csp_domains_
*.mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,224160,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,2023-10-29T22:42:12Z,CN=www.mapbox.com,www.mapbox.com,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,73a43d4f038cdb00bd4fa9f650f62444,c5fa624e111e897adc6c5555b352ae5527cca50157f8cb61903eb8fd8aca9ed9,ctls,www.mapbox.com,fastly,443,https://mapbox.com:443,https,,text/html,GET,151.101.64.143,/,1556104729,151.101.192.143,Webflow,2201,False,True,,,https://www.mapbox.com/,,,https://webflow.com
*.mixpanel.com,"Mixpanel: Event Analytics for Mobile, Web & More",200,887442,mixpanel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.mixpanel.com,*.mixpanel.com,mixpanel.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",9de3177e2f0aeca9d197e5cfb99d784a,d0d3af37fb07a2a39f463802f3ef15b06b258c5068a987d54cbd37b5843906f5,ctls,mixpanel.com,google,443,https://mixpanel.com:443,https,nginx,text/html,GET,34.96.97.101,/,-1134128844,34.96.97.101,Nginx,1,False,True,True,,,,,
*.tiles.mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,224160,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,2023-10-29T22:42:12Z,CN=www.mapbox.com,www.mapbox.com,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,73a43d4f038cdb00bd4fa9f650f62444,c5fa624e111e897adc6c5555b352ae5527cca50157f8cb61903eb8fd8aca9ed9,ctls,www.mapbox.com,fastly,443,https://tiles.mapbox.com:443,https,,text/html,GET,199.232.192.143,/,71544021,199.232.196.143,Webflow,2201,False,True,,,https://www.mapbox.com,,,https://*.webflow.com
api.aws-eu.production.contentsquare.com,,404,68,api.aws-eu.production.contentsquare.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-10-04T23:59:59Z,CN=api.aws-eu.production.contentsquare.com,api.aws-eu.production.contentsquare.com,api.aws-eu.production.contentsquare.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f22df72937ff3cd0489639ad59fc2403,e0945f706cffc8c375fc73108dbbeeb15c9508f8e0f4cacb5d64557760366e09,ctls,api.aws-eu.production.contentsquare.com,,80,http://api.aws-eu.production.contentsquare.com:80,http,nginx,application/json,GET,52.16.180.112,/,-368845742,54.72.3.2,Node.js,1,False,,,,https://api.aws-eu.production.contentsquare.com:443/,,,
api.az-eu.production.contentsquare.com,,404,68,api.az-eu.production.contentsquare.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-03T10:24:18Z,2023-07-02T10:24:17Z,CN=api.az-eu.production.contentsquare.com,api.az-eu.production.contentsquare.com,api.northeurope.production.contentsquare.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bd053afe67c1c5d5e7e698f80e14f258,23fcc436afc988dcdadfeaf179240499b929c9390ee1c756e714203ffac409ca,ctls,api.az-eu.production.contentsquare.com,azure,443,https://api.az-eu.production.contentsquare.com:443,https,nginx,application/json,GET,20.191.43.109,/,-368845742,20.191.43.109,Node.js,1,False,True,,,,,,
api.beta.contentsquare.com,,403,23,api.beta.contentsquare.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-19T23:59:59Z,CN=api.beta.contentsquare.com,api.beta.contentsquare.com,api.beta.contentsquare.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c7c98d62f7818244a390544efdcaa530,a814b76c8381c81fdd8776bc5e4d185437f3f9c762976e10fa32e7e4bb7913bd,ctls,api.beta.contentsquare.com,,443,https://api.beta.contentsquare.com:443,https,,application/json,GET,52.7.230.68,/,968070783,3.222.175.65,,1,False,,,,,,,
api.eu-west-1.production.contentsquare.com,,404,68,api.eu-west-1.production.contentsquare.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2023-10-04T23:59:59Z,CN=api.eu-west-1.production.contentsquare.com,api.eu-west-1.production.contentsquare.com,api.eu-west-1.production.contentsquare.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,22da06f4de1098194a35a5d9b36da5d8,b061b281dd06b296979aaff5e94b04ad48b7a704de1020bc7c3d9fbc80a75170,ctls,api.eu-west-1.production.contentsquare.com,,80,http://api.eu-west-1.production.contentsquare.com:80,http,nginx,application/json,GET,54.72.3.2,/,-368845742,52.214.196.108,Node.js,1,False,,,,https://api.eu-west-1.production.contentsquare.com:443/,,,
app-session-player.eu-west-1.contentsquare.com,AppSessionPlayer,200,924,app-session-player.eu-west-1.contentsquare.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-01T00:00:00Z,2024-03-01T23:59:59Z,CN=app-session-player.eu-west-1.contentsquare.com,app-session-player.eu-west-1.contentsquare.com,player.contentsquare.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c5650d0ec7b826febd817084df811ec2,14e63fe50a4e1f8a15c7d0db67363b5ce57b26f3be0193762d7e799c13ee43a2,ctls,app-session-player.eu-west-1.contentsquare.com,,443,https://app-session-player.eu-west-1.contentsquare.com:443,https,,text/html,GET,18.203.141.93,/,-919399652,54.229.60.96,Node.js,17,False,,,,,,,
app-snapshot-public.aws-eu.production.contentsquare.com,App-Snapshot,200,382,app-snapshot-public.aws-eu.production.contentsquare.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-10-19T23:59:59Z,CN=app-snapshot-public.aws-eu.production.contentsquare.com,app-snapshot-public.aws-eu.production.contentsquare.com,app-snapshot-public.aws-eu.production.contentsquare.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1df085df13042de989b9db3e75772d30,927b93e56cdec027fdbc2d884ece1a8987c6f802f00540023ba2ecfe55f13793,ctls,app-snapshot-public.aws-eu.production.contentsquare.com,,443,https://app-snapshot-public.aws-eu.production.contentsquare.com:443,https,,text/html,GET,52.210.216.73,/,-1975644035,52.49.50.188,Node.js,1,False,,,,,,,
app-snapshot-public.eu-west-1.contentsquare.com,App-Snapshot,200,382,app-snapshot-public.eu-west-1.contentsquare.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-21T00:00:00Z,2024-01-19T23:59:59Z,CN=app-snapshot-public.eu-west-1.contentsquare.com,app-snapshot-public.eu-west-1.contentsquare.com,app-snapshot-public.eu-west-1.contentsquare.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d9ef38d1219b038119fd34f62aceb753,44493e07ffb3e2fefe28a07ae821c5774438191878ba26a24d6e6dd78f2ed3ef,ctls,app-snapshot-public.eu-west-1.contentsquare.com,,443,https://app-snapshot-public.eu-west-1.contentsquare.com:443,https,,text/html,GET,52.209.48.79,/,-1975644035,52.49.50.188,Node.js,1,False,,,,,,,
