input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,cdn,final_url
asset.winni.in,403 Forbidden,403,564,,,,,,,,,,,,,,,,,,,,80,http://asset.winni.in:80,http,nginx,text/html,GET,13.233.107.224,/,1506877856,13.233.107.224,Nginx,14,False,,,,
assets.winni.in,Error,503,176,assets.winni.in,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-21T00:00:00Z,2024-03-23T23:59:59Z,"CN=*.winni.in, O=Dhawala Online Solutions Pvt. Ltd, L=Bengaluru, ST=Karnataka, C=IN",*.winni.in,Dhawala Online Solutions Pvt. Ltd,winni.in,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0240920d3e50c965c1c14f2d2c599941,8fb7e6591c69100599b930af93363f78235df0f6326272119376d5e1c1f96c2e,ctls,assets.winni.in,80,http://assets.winni.in:80,http,,text/html,GET,23.213.161.208,/,-1479713784,2a02:26f0:ab00::214:8e58,,5,False,True,,,https://assets.winni.in/
blogassets.winni.in,"#1 online Cake, Flowers and Gifts Delivery in India | Winni",200,247138,blogassets.winni.in,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-02-05T23:59:59Z,CN=*.winni.in,*.winni.in,,*.winni.in,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4675d17a9e6edf685ec39e8119d60a9a,77989234d86e58d3c898ea2002b634fd547a47c1bb84502802bde941de738ef5,ctls,blogassets.winni.in,443,https://blogassets.winni.in:443,https,nginx,text/html,GET,13.32.121.39,/,2138510452,13.32.121.118,Nginx,3136,False,True,cloudfront,True,
cust.winni.in,403 Forbidden,403,162,,,,,,,,,,,,,,,,,,,,80,http://cust.winni.in:80,http,nginx,text/html,GET,13.233.107.224,/,190856733,13.233.107.224,Nginx,8,False,,,,
dmxalb.winni.in,,404,91,dmxalb.winni.in,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-15T00:00:00Z,2023-06-09T23:59:59Z,"CN=ukgfxw.satofull.jp, O=Criteo SA, L=Paris, ST=Île-de-France, C=FR",ukgfxw.satofull.jp,Criteo SA,ukgfxw.satofull.jp,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,8b03c6d92541424f65ca5dba004ef56a,058faf8ebb7996c6a0d3b2fd228fb7ef6bce0edd47432ac27557707ed1286da5,ctls,dmxalb.winni.in,443,https://dmxalb.winni.in:443,https,Kestrel,text/html,GET,178.250.1.11,/,-1947197333,2a02:2638:d::d,Microsoft ASP.NET,1,False,,,,
st.winni.in,403 Forbidden,403,564,,,,,,,,,,,,,,,,,,,,80,http://st.winni.in:80,http,nginx,text/html,GET,13.233.107.224,/,1506877856,13.233.107.224,Nginx,14,False,,,,
staging.winni.in,"#1 online Cake, Flowers and Gifts Delivery in India | Winni",200,243749,staging.winni.in,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-21T00:00:00Z,2024-03-23T23:59:59Z,"CN=*.winni.in, O=Dhawala Online Solutions Pvt. Ltd, L=Bengaluru, ST=Karnataka, C=IN",*.winni.in,Dhawala Online Solutions Pvt. Ltd,winni.in,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0240920d3e50c965c1c14f2d2c599941,8fb7e6591c69100599b930af93363f78235df0f6326272119376d5e1c1f96c2e,ctls,staging.winni.in,443,https://staging.winni.in:443,https,,text/html,GET,95.101.111.146,/,126956033,2a02:26f0:480:d::210:f148,Google Tag Manager,3132,False,True,,,
staging2.winni.in,"#1 online Cake, Flowers and Gifts Delivery in India | Winni",200,260951,staging2.winni.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-07T00:00:00Z,2023-12-20T23:59:59Z,CN=*.winni.in,*.winni.in,,winni.in,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2b77a4cd841bb09e5d5830cc458718c1,86984d07e0cac148f680df511feb762cf6b0b105f776b4fea545726826656bd0,ctls,staging2.winni.in,443,https://staging2.winni.in:443,https,nginx,text/html,GET,35.154.136.49,/,-284117185,15.206.30.46,Nginx,2908,False,True,,,
vendor.winni.in,403 Forbidden,403,520,vendor.winni.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-07T00:00:00Z,2023-12-20T23:59:59Z,CN=*.winni.in,*.winni.in,,winni.in,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2b77a4cd841bb09e5d5830cc458718c1,86984d07e0cac148f680df511feb762cf6b0b105f776b4fea545726826656bd0,ctls,vendor.winni.in,443,https://vendor.winni.in:443,https,awselb/2.0,text/html,GET,3.7.220.191,/,2095155567,13.235.183.95,,13,False,True,,,
winni.in,"#1 online Cake, Flowers and Gifts Delivery in India | Winni",200,248495,www.winni.in,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-21T00:00:00Z,2024-03-23T23:59:59Z,"CN=*.winni.in, O=Dhawala Online Solutions Pvt. Ltd, L=Bengaluru, ST=Karnataka, C=IN",*.winni.in,Dhawala Online Solutions Pvt. Ltd,winni.in,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0240920d3e50c965c1c14f2d2c599941,8fb7e6591c69100599b930af93363f78235df0f6326272119376d5e1c1f96c2e,ctls,www.winni.in,443,https://winni.in:443,https,,text/html,GET,35.154.136.49,/,-256481611,15.206.30.46,Google Tag Manager,3139,False,True,,,https://www.winni.in:443/
zendesk1.winni.in,Origin DNS error | zendesk1.winni.in | Cloudflare,530,6202,,,,,,,,,,,,,,,,,,,,80,http://zendesk1.winni.in:80,http,cloudflare,text/html,GET,162.159.138.6,/,-1744948406,162.159.128.7,Cloudflare,93,False,,cloudflare,True,
zendesk2.winni.in,Origin DNS error | zendesk2.winni.in | Cloudflare,530,6202,,,,,,,,,,,,,,,,,,,,80,http://zendesk2.winni.in:80,http,cloudflare,text/html,GET,162.159.128.7,/,-765444891,162.159.138.6,Cloudflare,93,False,,cloudflare,True,
zendesk3.winni.in,Origin DNS error | zendesk3.winni.in | Cloudflare,530,6202,,,,,,,,,,,,,,,,,,,,80,http://zendesk3.winni.in:80,http,cloudflare,text/html,GET,162.159.138.6,/,1510145329,162.159.128.7,Cloudflare,93,False,,cloudflare,True,
