new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,ns,has_internal_ips,internal_ips,caa
,officient.vlerick.com,52.51.126.129,ssl.selfservice.officient.io,"ns-491.awsdns-61.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1047.awsdns-02.org, ns-1961.awsdns-53.co.uk, ns-491.awsdns-61.com, ns-976.awsdns-58.net",,,
,onlineacademy.uat.vlerick.com,"54.243.250.147, 35.169.200.225","vlerick-testing.thinkific.com, service-ingress-nlb-aa22054cc4e377d0.elb.us-east-1.amazonaws.com","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,pages.email.vlerick.com,"161.71.33.131, 66.231.91.222, 66.231.94.222, 68.232.203.115, 136.147.129.78",pages.virt.s50.exacttarget.com,,NOERROR,,,,"ns1.exacttarget.com, ns3.exacttarget.com, ns2.exacttarget.com, ns4.exacttarget.com",,,
,partnerstoday2.vlerick.com,34.91.151.1,s1.foleon.com,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,
,portal.mylogin.vlerick.com,193.190.150.62,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,portal.vlerick.com,193.190.150.59,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,print.vlerick.com,"193.190.150.59, 10.0.22.48",,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,True,10.0.22.48,
,printers.vlerick.com,193.190.150.53,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,printme.vlerick.com,"193.190.150.59, 10.0.22.48",print.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,True,10.0.22.48,
,profilechecker.vlerick.com,193.190.150.59,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,public.vlerick.com,193.190.150.57,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,redirect.vlerick.com,193.190.150.59,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,redirects.vlerick.com,"18.192.231.252, 34.141.72.9",vlerick-redirects.netlify.app,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,"2a05:d014:275:cb02::c8, 2a05:d014:275:cb00::c8",,,,
,remoteapps.vlerick.com,193.190.150.41,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,repository.vlerick.com,52.208.117.227,vlerick.openrepository.com,"ns.bnamed.eu, hostmaster.bnamed.eu",NOERROR,,,,,,,
,salesclub.vlerick.com,193.190.150.59,"sec.vlerick.com, redirect.vlerick.com","ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,sec.vlerick.com,193.190.150.59,redirect.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,services.vlerick.com,193.190.150.51,web03.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,simulations.vlerick.com,193.190.150.59,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,
,spock.vlerick.com,"104.17.29.241, 104.17.26.241, 104.17.27.241, 104.17.25.241, 104.17.28.241",vlerick.topdesk.net,"coby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6811:1df1, 2606:4700::6811:1cf1, 2606:4700::6811:19f1, 2606:4700::6811:1af1, 2606:4700::6811:1bf1",,,,
