input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_wildcard_certificate,tech_,final_url,csp_domains_,cdn_name,cdn
abm.emaplan.com,403 - Forbidden: Access is denied.,403,1233,abm.emaplan.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-12-20T00:00:00Z,2024-01-20T23:59:59Z,"CN=abm.emaplan.com, O=eMoney Advisor\, LLC, L=Radnor, ST=Pennsylvania, C=US",abm.emaplan.com,"eMoney Advisor, LLC",abm.emaplan.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,776fda7107a4480d228b07c114b6345e,e9c19e3f6128212fdc555eb1e1500fb82666df3f1cb68b66aae644987902620c,ctls,abm.emaplan.com,443,https://abm.emaplan.com:443,https,Microsoft-IIS/10.0,text/html,GET,192.88.0.96,/,1631801191,192.88.0.96,30,False,,Windows Server,,,,
abmuat.emaplan.com,403 - Forbidden: Access is denied.,403,1233,abmuat.emaplan.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-12-20T00:00:00Z,2024-01-20T23:59:59Z,"CN=abmuat.emaplan.com, O=eMoney Advisor\, LLC, L=Radnor, ST=Pennsylvania, C=US",abmuat.emaplan.com,"eMoney Advisor, LLC",abmuat.emaplan.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ca46dda9b03a7e72365b949e739e1a72,045ce2c8deab090ee42ea3501ed26be332b73934d17d70248fdee9fd07a83407,ctls,abmuat.emaplan.com,443,https://abmuat.emaplan.com:443,https,Microsoft-IIS/10.0,text/html,GET,192.88.0.91,/,1631801191,192.88.0.91,30,False,,Windows Server,,,,
advisorfocus.emoneyadvisor.com,Invalid URL,400,208,advisorfocus.emoneyadvisor.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-02-08T00:00:00Z,2024-02-22T23:59:59Z,"CN=emoneyadvisor.com, O=eMoney Advisor\, LLC, L=Radnor, ST=Pennsylvania, C=US",emoneyadvisor.com,"eMoney Advisor, LLC",blog.emoneyadvisor.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a175f14d9e565eb77e08d328a709b901,6ce16e6499a67ef5ba777bf84a0b756f8d2eae2132f56d8257c4b1a4a9e1439c,ctls,advisorfocus.emoneyadvisor.com,443,https://advisorfocus.emoneyadvisor.com:443,https,AkamaiGHost,text/html,GET,23.210.125.71,/,1411873936,23.210.125.71,8,False,,,,,,
analytics.emaplan.com,,404,,analytics.emaplan.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-12-20T00:00:00Z,2024-01-20T23:59:59Z,"CN=analytics.emaplan.com, O=eMoney Advisor\, LLC, L=Radnor, ST=Pennsylvania, C=US",analytics.emaplan.com,"eMoney Advisor, LLC",analytics.emaplan.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,94545c38fe8521a0b855e5355758fc6e,3a80ade96666a248afeadf14bcdab1edf8453a18256b6577bc54e4f7564e8b16,ctls,analytics.emaplan.com,443,https://analytics.emaplan.com:443,https,,application/json,GET,192.88.0.122,/,-1840324437,192.88.0.122,1,False,,,,,,
api-externalbeta2.emaplan.com,,401,146,api-externalbeta2.emaplan.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-12-20T00:00:00Z,2024-01-11T23:59:59Z,"CN=externalbeta2.emaplan.com, O=eMoney Advisor\, LLC, L=Radnor, ST=Pennsylvania, C=US",externalbeta2.emaplan.com,"eMoney Advisor, LLC",api-externalbeta2.emaplan.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,6d68ccf28db1bf44651e2c314b9b18da,ba30e43bb82ee5bb3ab086e9e3dff309341244b1eda70516614b0b8c5a3bad96,ctls,api-externalbeta2.emaplan.com,443,https://api-externalbeta2.emaplan.com:443,https,,application/json,GET,184.31.95.109,/,549831728,184.31.95.109,1,False,,,,,,
api.emoneyadvisor.com,,401,146,api.emoneyadvisor.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-06-16T00:00:00Z,2024-07-01T23:59:59Z,"CN=api.emoneyadvisor.com, O=eMoney Advisor\, LLC, L=Radnor, ST=Pennsylvania, C=US",api.emoneyadvisor.com,"eMoney Advisor, LLC",developer.emoneyadvisor.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,f0290cb44f72f4ed55b36771ddc3f3e4,096a2b7be029b443a211b966d2402a269a12655861947f95167cbf78b51decb0,ctls,api.emoneyadvisor.com,443,https://api.emoneyadvisor.com:443,https,,application/json,GET,104.102.34.23,/,549831728,104.102.34.23,1,False,,HSTS,,,,
app.response.emoneyadvisor.com,404 - Not found or no permission to access,404,1330,app.response.emoneyadvisor.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-28T00:00:00Z,2024-07-23T23:59:59Z,"CN=app.response.emoneyadvisor.com, O=eMoney Advisor\, LLC, L=Radnor, ST=Pennsylvania, C=US",app.response.emoneyadvisor.com,"eMoney Advisor, LLC",app.response.emoneyadvisor.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,4cce152917e8a4ee86c7300754c160a8,45ffbf10d013c24651a0eab1e6a918012ba2d09dc0d067e967e04c3b21b2e666,ctls,app.response.emoneyadvisor.com,443,https://app.response.emoneyadvisor.com:443,https,,text/html,GET,147.154.49.145,/,-1270699277,147.154.49.145,33,False,,Bootstrap,,,oracle,True
ask.emoneyadvisor.com,Invalid URL,400,208,ask.emoneyadvisor.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-02-08T00:00:00Z,2024-02-22T23:59:59Z,"CN=emoneyadvisor.com, O=eMoney Advisor\, LLC, L=Radnor, ST=Pennsylvania, C=US",emoneyadvisor.com,"eMoney Advisor, LLC",blog.emoneyadvisor.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a175f14d9e565eb77e08d328a709b901,6ce16e6499a67ef5ba777bf84a0b756f8d2eae2132f56d8257c4b1a4a9e1439c,ctls,ask.emoneyadvisor.com,443,https://ask.emoneyadvisor.com:443,https,AkamaiGHost,text/html,GET,184.31.92.84,/,-412076371,184.31.92.84,8,False,,,,,,
auth.devint.emadev.emoneyadvisor.com,My Apps Dashboard | eMoney Advisor,200,10728,auth.devint.emadev.emoneyadvisor.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-27T19:46:54Z,2023-10-25T19:46:53Z,CN=auth.devint.emadev.emoneyadvisor.com,auth.devint.emadev.emoneyadvisor.com,,auth.devint.emadev.emoneyadvisor.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e6df8f99dd2ad02e6ed4678b8e16d2e8,a13406aa8e772f8dbb2a26d9e78d7c52868c0311ce73dde8abb9baa2de5f8464,ctls,auth.devint.emadev.emoneyadvisor.com,443,https://auth.devint.emadev.emoneyadvisor.com:443,https,nginx,text/html,GET,76.223.106.8,/,-599803935,13.248.244.122,185,False,,Nginx,https://auth.devint.emadev.emoneyadvisor.com/app/UserHome?iss=https%3A%2F%2Fauth.devint.emadev.emoneyadvisor.com&session_hint=AUTHENTICATED,*.authenticatorlocalprod.com:65131,,
auth.externalbeta2.emaplan.com,My Apps Dashboard | eMoney Advisor app-externalbeta,200,10745,auth.externalbeta2.emaplan.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-25T15:09:44Z,2023-10-23T15:09:43Z,CN=auth.externalbeta2.emaplan.com,auth.externalbeta2.emaplan.com,,auth.externalbeta2.emaplan.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,392e6cb39e8e114729411cdca459b451,d38b35605b84ba76c83ca541a5e5bfc7843341f9426241ac0c2d77fe9f66047d,ctls,auth.externalbeta2.emaplan.com,443,https://auth.externalbeta2.emaplan.com:443,https,nginx,text/html,GET,76.223.106.8,/,-599803935,13.248.244.122,185,False,,Nginx,https://auth.externalbeta2.emaplan.com/app/UserHome?iss=https%3A%2F%2Fauth.externalbeta2.emaplan.com&session_hint=AUTHENTICATED,login.okta.com,,
