new,host,ttl,a,aaaa,soa,status_code,cname,ns,mx,txt,caa
[x],clubhouse.com,259,"188.114.98.229, 188.114.99.229, 108.162.195.151, 162.159.44.151, 172.64.35.151, 108.162.192.57, 172.64.32.57, 173.245.58.57","2606:4700::6812:1545, 2606:4700::6812:1445, 2606:4700:58::a29f:2c97, 2803:f800:50::6ca2:c397, 2a06:98c1:50::ac40:2397, 2606:4700:50::adf5:3a39, 2803:f800:50::6ca2:c039, 2a06:98c1:50::ac40:2039","{'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352051315, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352051315, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"adrian.ns.cloudflare.com, coen.ns.cloudflare.com",,"google-site-verification=5uxxHlKR5waGVgcnjEiWeUSwqexnHyFlXKaWlfVBEaY, google-site-verification=6Se0_fieqoM1jtrAWe4etN4rE0T8dwWPvvMsmvvaEXA, google-site-verification=L7eyKN5BEDjF3B7nyYzXHh-1OT2ivKLuliyxYHBTxl8, v=spf1 include:_spf.google.com include:sendgrid.net include:mail.zendesk.com ~all",
[x],clubhouseapi.com,300,,"2606:4700::6812:68e8, 2606:4700::6812:69e8","{'name': 'clubhouseapi.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350230554, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouseapi.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350230554, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouseapi.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2350230554, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"adrian.ns.cloudflare.com, coen.ns.cloudflare.com",,,
[x],joinclubhouse.com,300,"104.18.30.107, 104.18.31.107","2606:4700::6812:1e6b, 2606:4700::6812:1f6b","{'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351965584, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351965584, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351965584, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"adrian.ns.cloudflare.com, coen.ns.cloudflare.com","aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com",,
,admin-partner.clubhouse.com,300,"104.18.21.69, 104.18.20.69","2606:4700::6812:1545, 2606:4700::6812:1445","{'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352051315, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352051315, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352051315, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352051315, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352051315, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,admin-partner.joinclubhouse.com,300,"104.18.31.107, 104.18.30.107","2606:4700::6812:1f6b, 2606:4700::6812:1e6b","{'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351965584, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351965584, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351965584, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351965584, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351965584, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351965584, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,admin-staging.clubhouse.com,1800,,,"{'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352051315, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352051315, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352051315, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352051315, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352051315, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352051315, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,admin-staging.joinclubhouse.com,300,"104.18.31.107, 104.18.30.107",,"{'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351965584, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351965584, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,admin.clubhouse.com,1800,,,"{'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352051315, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352051315, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352051315, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352051315, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352051315, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,admin.joinclubhouse.com,1800,,,"{'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351965584, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351965584, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351965584, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2351965584, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,announcement.clubhouse.com,300,"76.76.21.123, 76.76.21.98",,"{'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}",NOERROR,"cname.super.so, cname.vercel-dns.com",,,,"globalsign.com, sectigo.com, letsencrypt.org"
