input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,webserver,tls_wildcard_certificate
insecure.repo1.maven.org,Index of /,200,308,,,,,,,,,,,,,,,,,,fastly,80,http://insecure.repo1.maven.org:80,http,text/html,GET,151.101.0.204,/,1274734426,151.101.192.204,Varnish,8,False,True,,
ipv6.repo1.maven.org,Index of /,200,308,ipv6.repo1.maven.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-25T10:04:32Z,2023-09-23T10:04:31Z,CN=ipv6.repo1.maven.org,ipv6.repo1.maven.org,ipv6.repo1.maven.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,31a00c95ef9c5c9219ecb53944865bd8,2fe5cbbaf1737fd95873040344854ac98a4e53e9b535f4e30f655b0c5cbe8c94,ctls,ipv6.repo1.maven.org,fastly,443,https://ipv6.repo1.maven.org:443,https,text/html,GET,199.232.192.209,/,1274734426,2a04:4e42:4d::209,Varnish,8,False,True,,
maven.org,Maven Central Repository Search,200,3816,maven.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-06T00:00:00Z,2024-02-04T23:59:59Z,CN=maven.org,maven.org,*.maven.org,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6aa443ca2c7f4f529d921ea4e4bc9ca1,1b84fa1938ca27097b5f50f0e513af7f0f4562304bb8a7f0b7987798a2688a80,ctls,maven.org,cloudfront,443,https://maven.org:443,https,text/html,GET,99.86.4.110,/,798731786,99.86.4.113,HSTS,90,False,True,AmazonS3,True
repo.apache.maven.org,403 Use https://repo1.maven.org,403,479,repo.apache.maven.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-19T18:23:27Z,2023-09-17T18:23:26Z,CN=repo.apache.maven.org,repo.apache.maven.org,repo.apache.maven.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e16689908b3811ab74a65d6199eb7f44,8a286d6aaa9d1207208133515355128585aefc31bd8e490d9dec008cc0f9a1cf,ctls,repo.apache.maven.org,fastly,443,https://repo.apache.maven.org:443,https,text/html,GET,151.101.0.215,/,183852481,2a04:4e42:600::215,Varnish,18,False,True,Varnish,
repo1.maven.org,Index of /,200,308,repo1.maven.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T14:50:09Z,2024-04-15T14:50:08Z,CN=repo1.maven.org,repo1.maven.org,repo1.maven.org,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,cba23fe3fee64f5ca3359eda76308643,771fe68a9e1a4db8c863e148e715d5c8695e22837feff7a044d8002e416b0d37,ctls,repo1.maven.org,fastly,443,https://repo1.maven.org:443,https,text/html,GET,199.232.192.209,/,1274734426,2a04:4e42:4d::209,Varnish,8,False,True,,
search-aws.maven.org,Maven Central Repository Search,200,3816,search-aws.maven.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-06T00:00:00Z,2024-02-04T23:59:59Z,CN=maven.org,maven.org,*.maven.org,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6aa443ca2c7f4f529d921ea4e4bc9ca1,1b84fa1938ca27097b5f50f0e513af7f0f4562304bb8a7f0b7987798a2688a80,ctls,search-aws.maven.org,,443,https://search-aws.maven.org:443,https,text/html,GET,54.89.119.51,/,798731786,18.214.225.49,Nginx,90,False,,nginx,True
search-stage.maven.org,Maven Central Repository Search,200,3816,search-stage.maven.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-06T00:00:00Z,2024-02-04T23:59:59Z,CN=maven.org,maven.org,*.maven.org,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6aa443ca2c7f4f529d921ea4e4bc9ca1,1b84fa1938ca27097b5f50f0e513af7f0f4562304bb8a7f0b7987798a2688a80,ctls,search-stage.maven.org,cloudfront,443,https://search-stage.maven.org:443,https,text/html,GET,99.86.4.113,/,798731786,99.86.4.110,HSTS,90,False,True,AmazonS3,True
search.maven.org,Maven Central Repository Search,200,3816,search.maven.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-06T00:00:00Z,2024-02-04T23:59:59Z,CN=maven.org,maven.org,*.maven.org,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6aa443ca2c7f4f529d921ea4e4bc9ca1,1b84fa1938ca27097b5f50f0e513af7f0f4562304bb8a7f0b7987798a2688a80,ctls,search.maven.org,,443,https://search.maven.org:443,https,text/html,GET,18.214.225.49,/,798731786,54.89.119.51,Nginx,90,False,,nginx,True
status.maven.org,Maven Central Status,200,188206,status.maven.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-21T02:37:45Z,2023-10-19T02:37:44Z,CN=kvy-eu2-status.kinvey.com,kvy-eu2-status.kinvey.com,www.bottlepay-status.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a990b9ad02ebd45e03997fc63643ba3a,56b5ef18cfc1b6c05cd1394f965c84dfa21681b5f9150930c8896475494c1d8d,ctls,status.maven.org,cloudfront,443,https://status.maven.org:443,https,text/html,GET,18.66.147.93,/,-1840324437,18.66.147.109,HSTS,3003,False,True,AtlassianEdge,
www.maven.org,Maven Central Repository Search,200,3816,www.maven.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-06T00:00:00Z,2024-02-04T23:59:59Z,CN=maven.org,maven.org,*.maven.org,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6aa443ca2c7f4f529d921ea4e4bc9ca1,1b84fa1938ca27097b5f50f0e513af7f0f4562304bb8a7f0b7987798a2688a80,ctls,www.maven.org,cloudfront,443,https://www.maven.org:443,https,text/html,GET,99.86.4.110,/,798731786,99.86.4.70,HSTS,90,False,True,AmazonS3,True
