new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,ns,txt,caa,mx
[x],f3bfe3c.nfura.io,"72.52.178.23, 50.28.32.153, 50.28.104.44, 50.116.34.34, 69.16.230.48, 69.39.238.36, 69.39.238.37, 185.67.45.231, 45.79.197.241, 50.28.32.155, 50.28.102.86, 185.67.45.232, 216.38.8.120, 216.38.8.121","2001:1850:1:5:103:1400::, 2600:3c02::f03c:92ff:fe7f:1f1d, 2607:fad0:3706:3::, 2001:1850:1:5:102:e600::, 2600:3c02::f03c:92ff:fe9c:edd9","ns1.parklogic.com, hostmaster.nfura.io",NOERROR,,,,"ns1.parklogic.com, ns2.parklogic.com",v=spf1 -all,,mx156.hostedmxserver.com
[x],gra1-60af9f1b97b73953a6f34ec9.nfura.io,72.52.178.23,,"ns1.parklogic.com, hostmaster.nfura.io",NOERROR,,,,"ns2.parklogic.com, ns1.parklogic.com",v=spf1 -all,,mx156.hostedmxserver.com
[x],graph1-29.nfura.io,72.52.178.23,,"ns1.parklogic.com, hostmaster.nfura.io",NOERROR,,,,"ns2.parklogic.com, ns1.parklogic.com",v=spf1 -all,,mx156.hostedmxserver.com
[x],map-srv10e.nfura.io,72.52.178.23,,"ns1.parklogic.com, hostmaster.nfura.io",NOERROR,,,,"ns2.parklogic.com, ns1.parklogic.com",v=spf1 -all,,mx156.hostedmxserver.com
[x],nfura.io,72.52.178.23,,"ns1.parklogic.com, hostmaster.nfura.io",NOERROR,,,,"ns2.parklogic.com, ns1.parklogic.com",v=spf1 -all,,mx156.hostedmxserver.com
[x],nickname.nfura.io,72.52.178.23,,"ns1.parklogic.com, hostmaster.nfura.io",NOERROR,,,,"ns1.parklogic.com, ns2.parklogic.com",v=spf1 -all,,mx156.hostedmxserver.com
[x],p162-calendars.nfura.io,72.52.178.23,,"ns1.parklogic.com, hostmaster.nfura.io",NOERROR,,,,"ns2.parklogic.com, ns1.parklogic.com",v=spf1 -all,,mx156.hostedmxserver.com
[x],p1olm1c11.nfura.io,"72.52.178.23, 50.28.32.153, 50.28.104.44, 50.116.34.34, 69.16.230.48, 69.39.238.36, 69.39.238.37, 185.67.45.231, 45.79.197.241, 50.28.32.155, 50.28.102.86, 185.67.45.232, 216.38.8.120, 216.38.8.121","2001:1850:1:5:103:1400::, 2600:3c02::f03c:92ff:fe7f:1f1d, 2607:fad0:3706:3::, 2001:1850:1:5:102:e600::, 2600:3c02::f03c:92ff:fe9c:edd9","ns1.parklogic.com, hostmaster.nfura.io",NOERROR,,,,"ns2.parklogic.com, ns1.parklogic.com",v=spf1 -all,,mx156.hostedmxserver.com
[x],scm-mobile-repository.nfura.io,72.52.178.23,,"ns1.parklogic.com, hostmaster.nfura.io",NOERROR,,,,"ns2.parklogic.com, ns1.parklogic.com",v=spf1 -all,,mx156.hostedmxserver.com
[x],store-31.nfura.io,72.52.178.23,,"ns1.parklogic.com, hostmaster.nfura.io",NOERROR,,,,"ns1.parklogic.com, ns2.parklogic.com",v=spf1 -all,,mx156.hostedmxserver.com
[x],web2-api-eu-dev.villagedao.web3factory.consensys.net,"104.18.6.216, 104.18.7.216",,"micah.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,"heritage=external-dns,external-dns/owner=external-dns-managed,external-dns/resource=ingress/villagedao-dev/web2-backend",,
[x],ww12.nfura.io,"13.248.148.254, 76.223.26.96",,"ns-1403.awsdns-47.org, hostmaster.parkingcrew.com",NOERROR,,,084725.parkingcrew.net,,,,
[x],ww7.nfura.io,199.59.243.223,,"ns1.bodis.com, dnsadmin.bodis.com",NOERROR,,,76899.bodis.com,,,,
[x],zoommen9mra.nfura.io,,,"ns1.parklogic.com, hostmaster.nfura.io",NOERROR,,,,"ns1.parklogic.com, ns2.parklogic.com",v=spf1 -all,,
,158-7-251-84.learn.consensys.net,"34.236.22.110, 3.217.205.239",,"ns-1460.awsdns-54.org, awsdns-hostmaster.amazon.com",NOERROR,,,consensys.talentlms.com,,,,
,academy-server.consensys.net,,,"vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,academy.ethense.consensys.net,44.199.58.102,,"ns-1524.awsdns-62.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/ethense-academy/ethense-frontend-ingress",,
,acceptatiedns.learn.consensys.net,"34.236.22.110, 3.217.205.239",,"ns-1460.awsdns-54.org, awsdns-hostmaster.amazon.com",NOERROR,,,consensys.talentlms.com,,,,
,app-eu.metamedic.web3factory.consensys.net,"104.18.6.216, 104.18.7.216","2606:4700::6812:6d8, 2606:4700::6812:7d8","micah.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,"heritage=external-dns,external-dns/owner=external-dns-managed,external-dns/resource=ingress/metamedic-prod/metamedic",,
,app-us-demo.web3factory.web3factory.consensys.net,"104.18.7.216, 104.18.6.216","2606:4700::6812:6d8, 2606:4700::6812:7d8","micah.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,"heritage=external-dns,external-dns/owner=external-dns-managed,external-dns/resource=ingress/my-ns/w3f-hello-world",,
,argocd.dev.zkevm.consensys.net,"18.219.104.137, 3.128.210.207",,"ns-1926.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=zk-evm-dev-route53,external-dns/resource=ingress/argocd/argocd-server-ingress",,
,argocd.prealpha.zkevm.consensys.net,"13.58.94.82, 3.132.58.9, 18.220.50.173",,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=zk-evm-uat-route53,external-dns/resource=ingress/argocd/argocd-server-ingress",,
,aries.supplychain.consensys.net,,,"vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,authorize.ops.consensys.net,,,"vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,b3i-rfp.consensys.net,,,"vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,beta-id.learn.consensys.net,"34.236.22.110, 3.217.205.239",,"ns-1460.awsdns-54.org, awsdns-hostmaster.amazon.com",NOERROR,,,consensys.talentlms.com,"ns-1460.awsdns-54.org, ns-1876.awsdns-42.co.uk, ns-445.awsdns-55.com, ns-524.awsdns-01.net",,,
,bid473i.learn.consensys.net,"34.236.22.110, 3.217.205.239",,"ns-1460.awsdns-54.org, awsdns-hostmaster.amazon.com",NOERROR,,,consensys.talentlms.com,"ns-1460.awsdns-54.org, ns-1876.awsdns-42.co.uk, ns-445.awsdns-55.com, ns-524.awsdns-01.net",,,
,blockchain.consensys.net,"199.60.103.31, 199.60.103.225","2606:2c40::c73c:671f, 2606:2c40::c73c:67e1","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"4795067.group17.sites.hubspot.net, group17.sites.hscoscdn10.net",,,,
,blockchainexe.ethense.consensys.net,44.199.58.102,,"ns-1524.awsdns-62.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/ethense-blockchainexe/cm-acme-http-solver-tlqqv",,
,blog.consensys.net,"104.18.15.113, 104.18.14.113",,"vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,boorestrictedcampfall2019.learn.consensys.net,"34.236.22.110, 3.217.205.239",,"ns-1460.awsdns-54.org, awsdns-hostmaster.amazon.com",NOERROR,,,consensys.talentlms.com,"ns-1460.awsdns-54.org, ns-1876.awsdns-42.co.uk, ns-445.awsdns-55.com, ns-524.awsdns-01.net",,,
,bootteamampfall2019.learn.consensys.net,"34.236.22.110, 3.217.205.239",,"ns-1460.awsdns-54.org, awsdns-hostmaster.amazon.com",NOERROR,,,consensys.talentlms.com,,,,
,bucket-teamcswwwm.learn.consensys.net,"34.236.22.110, 3.217.205.239",,"ns-1460.awsdns-54.org, awsdns-hostmaster.amazon.com",NOERROR,,,consensys.talentlms.com,,,,
,bundler.goerli.zkevm.consensys.net,"3.131.105.38, 3.13.181.78",,"ns-1205.awsdns-22.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,bvp.consensys.net,,,"ns-477.awsdns-59.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1243.awsdns-27.org, ns-1856.awsdns-40.co.uk, ns-477.awsdns-59.com, ns-689.awsdns-22.net",,amazon.com,
,calendar.consensys.net,"104.18.14.113, 104.18.15.113","2606:4700::6812:f71, 2606:4700::6812:e71","vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,callback.loadtest-siargao.consensys.net,,,"vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,canada.consensys.net,"104.18.14.113, 104.18.15.113","2606:4700::6812:f71, 2606:4700::6812:e71","vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,careers.labs.consensys.net,"104.18.14.113, 104.18.15.113","2606:4700::6812:e71, 2606:4700::6812:f71","vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,cdn-staging.consensys.net,"104.18.15.113, 104.18.14.113","2606:4700::6812:e71, 2606:4700::6812:f71","vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,cdn.consensys.net,"104.18.15.113, 104.18.14.113","2606:4700::6812:f71, 2606:4700::6812:e71","vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,chat.consensys.net,"104.18.14.113, 104.18.15.113","2606:4700::6812:f71, 2606:4700::6812:e71","vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,cm1-ord1.learn.consensys.net,"34.236.22.110, 3.217.205.239",,"ns-1460.awsdns-54.org, awsdns-hostmaster.amazon.com",NOERROR,,,consensys.talentlms.com,,,,
,codefi-support.consensys.net,"162.159.138.6, 162.159.128.7",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,codefi.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,,mail.zendesk.com
,community.consensys.net,35.227.231.167,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,"consensys.bevy.com, production-ingress-5.bevylabs.com",,,,
,content-mythx.consensys.net,"185.199.110.153, 185.199.111.153, 185.199.108.153, 185.199.109.153","2606:50c0:8002::153, 2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8003::153","dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,consensys.github.io,,,"letsencrypt.org, digicert.com",
,content-staging.consensys.net,"104.18.15.113, 104.18.14.113","2606:4700::6812:f71, 2606:4700::6812:e71","vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,content.consensys.net,"104.18.14.113, 104.18.15.113","2606:4700::6812:e71, 2606:4700::6812:f71","vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,content.orion.consensys.net,,,"vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,courses.consensys.net,"104.18.14.113, 104.18.15.113","2606:4700::6812:e71, 2606:4700::6812:f71","vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,demo1.supplychain.consensys.net,,,"vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,demo2.supplychain.consensys.net,,,"vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,dev.zkevm.consensys.net,"18.219.104.137, 3.128.210.207",,"ns-1926.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-549.awsdns-04.net, ns-1161.awsdns-17.org, ns-1926.awsdns-48.co.uk, ns-261.awsdns-32.com","heritage=external-dns,external-dns/owner=zk-evm-dev-route53,external-dns/resource=ingress/zk/frontend-ingress",,
,develop.supplychain.consensys.net,,,"vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,dids.consensys.net,"104.18.15.113, 104.18.14.113","2606:4700::6812:f71, 2606:4700::6812:e71","vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,diligence-cms-staging.consensys.net,"185.199.108.153, 185.199.111.153, 185.199.110.153, 185.199.109.153","2606:50c0:8000::153, 2606:50c0:8002::153, 2606:50c0:8003::153, 2606:50c0:8001::153","ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,consensys.github.io,"dns1.p05.nsone.net, dns2.p05.nsone.net, dns3.p05.nsone.net, dns4.p05.nsone.net, ns-1339.awsdns-39.org, ns-1622.awsdns-10.co.uk, ns-393.awsdns-49.com, ns-692.awsdns-22.net",,"digicert.com, letsencrypt.org",
,diligence.consensys.net,"104.18.14.113, 104.18.15.113","2606:4700::6812:e71, 2606:4700::6812:f71","vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,discord.consensys.net,"104.18.15.113, 104.18.14.113","2606:4700::6812:e71, 2606:4700::6812:f71","vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,discourse.consensys.net,,"2606:4700::6812:f71, 2606:4700::6812:e71","vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,discourse.courses.consensys.net,34.195.185.4,,"vasilii.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
