input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,final_url,csp_domains_
achievement.hakka.finance,Error,404,139,achievement.hakka.finance,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T06:30:20Z,2023-10-02T06:30:19Z,CN=hakka.finance,hakka.finance,*.hakka.finance,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,fe38af18f09b298b6d3954df2077f6e2,b16b9a1325df1c9554e425d70acc4f9ca4a59c324e597e615a1691b09c7912ca,True,ctls,achievement.hakka.finance,cloudflare,443,https://achievement.hakka.finance:443,https,cloudflare,text/html,GET,188.114.97.3,/,555767305,2a06:98c1:3121::3,HTTP/3,11,False,True,,,
api.hakka.finance,,200,28,api.hakka.finance,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-11T20:51:21Z,2023-09-09T21:38:52Z,CN=api.hakka.finance,api.hakka.finance,api.hakka.finance,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,4839a2cd88a85e94961f93de925bbcb6,782b46f8e8cafa356761be805d0ccdc8efdc4f610d75d4d9fccab16bcd0017b2,,ctls,api.hakka.finance,,443,https://api.hakka.finance:443,https,Google Frontend,text/html,GET,142.250.185.179,/,-947182962,2a00:1450:4001:811::2013,HSTS,1,False,,,,
forum.hakka.finance,Hakka Finance,200,98144,forum.hakka.finance,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T06:30:20Z,2023-10-02T06:30:19Z,CN=hakka.finance,hakka.finance,*.hakka.finance,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,fe38af18f09b298b6d3954df2077f6e2,b16b9a1325df1c9554e425d70acc4f9ca4a59c324e597e615a1691b09c7912ca,True,ctls,forum.hakka.finance,cloudflare,443,https://forum.hakka.finance:443,https,cloudflare,text/html,GET,188.114.96.3,/,-1840324437,2a06:98c1:3120::3,Ruby on Rails,201,False,True,,,https://forum.hakka.finance/svg-sprite/
hakka.finance,Hakka Finance,200,129233,hakka.finance,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T06:30:20Z,2023-10-02T06:30:19Z,CN=hakka.finance,hakka.finance,*.hakka.finance,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,fe38af18f09b298b6d3954df2077f6e2,b16b9a1325df1c9554e425d70acc4f9ca4a59c324e597e615a1691b09c7912ca,True,ctls,hakka.finance,cloudflare,443,https://hakka.finance:443,https,cloudflare,text/html,GET,188.114.97.3,/,-788298746,2a06:98c1:3121::3,webpack,8,False,True,,,
harvesters.hakka.finance,Harvesters | HAKKA.FINANCE,200,3560,harvesters.hakka.finance,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T06:30:20Z,2023-10-02T06:30:19Z,CN=hakka.finance,hakka.finance,*.hakka.finance,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,fe38af18f09b298b6d3954df2077f6e2,b16b9a1325df1c9554e425d70acc4f9ca4a59c324e597e615a1691b09c7912ca,True,ctls,harvesters.hakka.finance,cloudflare,443,https://harvesters.hakka.finance:443,https,cloudflare,text/html,GET,188.114.97.3,/,-549204404,2a06:98c1:3120::3,React,1,False,True,,,
https://cdn.ethers.io/lib/ethers-5.1.umd.min.js,,200,724947,cdn.ethers.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-11-28T23:59:59Z,CN=ethers.io,ethers.io,*.ethers.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3f24824ae9d6f4cca211638b88837cbf,f24bbed2779f267106968cf052c0346016ac331cf3cf80e2467e345a5fac0231,True,ctls,cdn.ethers.io,cloudfront,443,https://cdn.ethers.io:443/lib/ethers-5.1.umd.min.js,https,AmazonS3,application/javascript,GET,18.66.147.92,/lib/ethers-5.1.umd.min.js,-538001918,18.66.147.62,Amazon Web Services,1,False,True,,,
https://forum.hakka.finance/assets/,Hakka Finance,404,11467,forum.hakka.finance,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T06:30:20Z,2023-10-02T06:30:19Z,CN=hakka.finance,hakka.finance,*.hakka.finance,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,fe38af18f09b298b6d3954df2077f6e2,b16b9a1325df1c9554e425d70acc4f9ca4a59c324e597e615a1691b09c7912ca,True,ctls,forum.hakka.finance,cloudflare,443,https://forum.hakka.finance:443/assets/,https,cloudflare,text/html,GET,188.114.96.3,/assets/,-1840324437,2a06:98c1:3120::3,Ruby on Rails,157,False,True,,,
https://forum.hakka.finance/brotli_asset/,Hakka Finance,404,11467,forum.hakka.finance,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T06:30:20Z,2023-10-02T06:30:19Z,CN=hakka.finance,hakka.finance,*.hakka.finance,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,fe38af18f09b298b6d3954df2077f6e2,b16b9a1325df1c9554e425d70acc4f9ca4a59c324e597e615a1691b09c7912ca,True,ctls,forum.hakka.finance,cloudflare,443,https://forum.hakka.finance:443/brotli_asset/,https,cloudflare,text/html,GET,188.114.96.3,/brotli_asset/,-1840324437,2a06:98c1:3120::3,Ruby on Rails,157,False,True,,,
https://forum.hakka.finance/extra-locales/,Hakka Finance,404,11467,forum.hakka.finance,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T06:30:20Z,2023-10-02T06:30:19Z,CN=hakka.finance,hakka.finance,*.hakka.finance,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,fe38af18f09b298b6d3954df2077f6e2,b16b9a1325df1c9554e425d70acc4f9ca4a59c324e597e615a1691b09c7912ca,True,ctls,forum.hakka.finance,cloudflare,443,https://forum.hakka.finance:443/extra-locales/,https,cloudflare,text/html,GET,188.114.96.3,/extra-locales/,-1840324437,2a06:98c1:3120::3,Ruby on Rails,157,False,True,,,
https://forum.hakka.finance/highlight-js/,Hakka Finance,404,11467,forum.hakka.finance,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T06:30:20Z,2023-10-02T06:30:19Z,CN=hakka.finance,hakka.finance,*.hakka.finance,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,fe38af18f09b298b6d3954df2077f6e2,b16b9a1325df1c9554e425d70acc4f9ca4a59c324e597e615a1691b09c7912ca,True,ctls,forum.hakka.finance,cloudflare,443,https://forum.hakka.finance:443/highlight-js/,https,cloudflare,text/html,GET,188.114.96.3,/highlight-js/,-1840324437,2a06:98c1:3120::3,Ruby on Rails,157,False,True,,,
