new,host,ttl,a,aaaa,cname,soa,status_code,cdn,cdn-name,mx,ns,txt
[x],hakka.finance,300,"172.67.146.149, 104.21.79.161","2606:4700:3034::6815:4fa1, 2606:4700:3030::ac43:9295",,"{'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,"mxa.mailgun.org, mxb.mailgun.org",,"v=spf1 include:mailgun.org include:spf.mandrillapp.com -all, wallet-connect-dns-verification=72ff7e71713d10198787933283045b669f165b550920c807d9bba175f22bb866, google-site-verification=nLMKCTyFyUyDV3lF3UQTh3euO6oUSfSggt9fLZhhXx4"
[x],igain.finance,300,"172.67.207.241, 104.21.74.244","2a06:98c1:3121::3, 2a06:98c1:3120::3",,"{'name': 'igain.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346250004, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'igain.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346250004, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,"spool.mail.gandi.net, fb.mail.gandi.net","colin.ns.cloudflare.com, audrey.ns.cloudflare.com",v=spf1 include:_mailcust.gandi.net -all
,achievement.hakka.finance,300,"188.114.96.3, 188.114.97.3",,,"{'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,api.hakka.finance,60,216.58.208.115,2a00:1450:4001:82f::2013,ghs.googlehosted.com,"{'name': 'googlehosted.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 657936822, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'googlehosted.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 657936822, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'googlehosted.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 658337085, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}",NOERROR,True,google,,,
,forum.hakka.finance,300,,"2a06:98c1:3121::3, 2a06:98c1:3120::3",,"{'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,grafana.hakka.finance,300,"188.114.97.11, 188.114.96.11","2606:4700:3030::ac43:9295, 2606:4700:3034::6815:4fa1",,"{'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,harvesters.hakka.finance,300,"188.114.96.3, 188.114.97.3","2a06:98c1:3120::3, 2a06:98c1:3121::3",,"{'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,ig-legacy.igain.finance,300,"104.21.74.244, 172.67.207.241",,,"{'name': 'igain.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346250004, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'igain.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346250004, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'igain.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346250004, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'igain.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346250004, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'igain.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346250004, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,igain.hakka.finance,300,"188.114.96.3, 188.114.97.3","2a06:98c1:3121::3, 2a06:98c1:3120::3",,"{'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,intelligence.hakka.finance,300,"188.114.96.3, 188.114.97.3",,,"{'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hakka.finance', 'ns': 'audrey.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344594381, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
