input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_subject_org_
53dk.login.smartsheet.com,Continue to App - Smartsheet,200,3289,app.smartsheet.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-02-04T23:59:59Z,CN=app.smartsheet.com,app.smartsheet.com,app.smartsheet.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,66011afa89c823ae94ed7c0f8217e211,1b462dd88b0fd481c263a294db70656ea5bb6534cc4296622c84c14cf40c0864,,ctls,app.smartsheet.com,,443,https://53dk.login.smartsheet.com:443,https,Apache,text/html,GET,54.83.230.210,/,446401630,3.217.214.151,HSTS,58,False,,,https://app.smartsheet.com/b/home,
admin.smartsheet.com,Continue to App - Smartsheet,200,3321,app.smartsheet.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-02-04T23:59:59Z,CN=app.smartsheet.com,app.smartsheet.com,app.smartsheet.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,66011afa89c823ae94ed7c0f8217e211,1b462dd88b0fd481c263a294db70656ea5bb6534cc4296622c84c14cf40c0864,,ctls,app.smartsheet.com,,443,https://admin.smartsheet.com:443,https,Apache,text/html,GET,3.20.15.0,/,525326460,13.58.65.167,HSTS,58,False,,,https://app.smartsheet.com/b/home?lgt=ac&lrsp=/,
adobe-extension-uxp.smartsheet.com,,403,42,adobe-extension-uxp.smartsheet.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-26T00:00:00Z,2024-08-23T23:59:59Z,CN=*.adobe-extension-uxp.smartsheet.com,*.adobe-extension-uxp.smartsheet.com,adobe-extension-uxp.smartsheet.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1a0ab92b15f43c011d47e266d808687f,b76905ce2ea82ca53ec9ab17cdb52739adeaf30f7392ef6bb171e1b70c3fec93,True,ctls,adobe-extension-uxp.smartsheet.com,,443,https://adobe-extension-uxp.smartsheet.com:443,https,,application/json,GET,3.223.83.10,/,1593207841,35.175.91.198,,1,False,,,,
api.smartsheet.com,403 Forbidden,403,199,api.smartsheet.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-21T00:00:00Z,2024-02-04T23:59:59Z,CN=api.smartsheet.com,api.smartsheet.com,api.smartsheet.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,21a0ae973b06422d6ea7c8b1db2e5a37,345781a7b7b100a9875d4a9e883997f0cfa6146bfabebbe2b9da4d1431c277a0,,ctls,api.smartsheet.com,,80,http://api.smartsheet.com:80,http,Apache,text/html,GET,52.4.118.122,/,446401630,3.213.124.58,HSTS,8,False,,,https://api.smartsheet.com:443/,
api.test.smartsheet.com,403 Forbidden,403,199,api.test.smartsheet.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-07T00:00:00Z,2024-01-26T23:59:59Z,CN=api.test.smartsheet.com,api.test.smartsheet.com,api.test.smartsheet.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,e4230b18b157a73547bb107b321b73f5,d6e491d656e78fcf3e0406b6514d5d26c91265b3bb253ed00ba0e7a6a507e712,,ctls,api.test.smartsheet.com,,443,https://api.test.smartsheet.com:443,https,Apache,text/html,GET,44.240.146.78,/,446401630,52.32.132.106,HSTS,8,False,,,,
assets.bridge.smartsheet.com,,403,243,assets.bridge.smartsheet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=*.bridge.smartsheet.com,*.bridge.smartsheet.com,*.bridge.smartsheet.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b446c12456f991a8deb9b0928a2456a7,1c3d8128d4e84382c7827e5e02dbda831acf321f2d57f197f6698c17f7414941,True,ctls,assets.bridge.smartsheet.com,cloudfront,443,https://assets.bridge.smartsheet.com:443,https,AmazonS3,application/xml,GET,143.204.215.23,/,-499891553,143.204.215.50,Amazon Web Services,2,False,True,,,
assets.rm.smartsheet.com,,403,243,assets.rm.smartsheet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-21T00:00:00Z,2024-03-21T23:59:59Z,CN=rm.smartsheet.com,rm.smartsheet.com,*.rm.smartsheet.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a515addf2c50f38b128dd5cea7207be0,858956e09d0493a5ab2800b52b818618a6f7e931f51edd0c0e219e6687523b63,True,ctls,assets.rm.smartsheet.com,cloudfront,443,https://assets.rm.smartsheet.com:443,https,AmazonS3,application/xml,GET,108.138.17.54,/,-1149140919,108.138.17.69,Amazon Web Services,2,False,True,,,
b2bapi.login.smartsheet.com,Continue to App - Smartsheet,200,3289,app.smartsheet.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-02-04T23:59:59Z,CN=app.smartsheet.com,app.smartsheet.com,app.smartsheet.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,66011afa89c823ae94ed7c0f8217e211,1b462dd88b0fd481c263a294db70656ea5bb6534cc4296622c84c14cf40c0864,,ctls,app.smartsheet.com,,443,https://b2bapi.login.smartsheet.com:443,https,Apache,text/html,GET,52.44.132.11,/,446401630,3.217.214.151,HSTS,58,False,,,https://app.smartsheet.com/b/home,
baiduspider-124-166-232-9.login.smartsheet.com,Continue to App - Smartsheet,200,3289,app.smartsheet.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-02-04T23:59:59Z,CN=app.smartsheet.com,app.smartsheet.com,app.smartsheet.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,66011afa89c823ae94ed7c0f8217e211,1b462dd88b0fd481c263a294db70656ea5bb6534cc4296622c84c14cf40c0864,,ctls,app.smartsheet.com,,443,https://baiduspider-124-166-232-9.login.smartsheet.com:443,https,Apache,text/html,GET,3.217.214.151,/,446401630,52.44.132.11,HSTS,58,False,,,https://app.smartsheet.com/b/home,
bar-beta.bridge.smartsheet.com,Bridge by Smartsheet,200,4566,bar-beta.bridge.smartsheet.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-25T00:00:00Z,2024-05-23T23:59:59Z,CN=*.bridge.smartsheet.com,*.bridge.smartsheet.com,*.bridge.smartsheet.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d2d0d9c5a063b5fcdd9c77fab3ca5ebc,b012a99ce13f3dc1bc18a205f686cde1a5fd09f98b49ffa2b45c6f8567d87c6d,True,ctls,bar-beta.bridge.smartsheet.com,,80,http://bar-beta.bridge.smartsheet.com:80,http,nginx,text/html,GET,52.36.162.55,/,-1380874492,44.237.125.108,Nginx,93,False,,,https://bar-beta.bridge.smartsheet.com:443/,
