new,host,ttl,a,aaaa,soa,status_code,txt,mx,ns,cname,cdn,cdn-name,has_internal_ips,internal_ips,ptr
[x],access-pomerium.insolar.io,263,"45.33.20.235, 173.255.194.134, 45.56.79.23, 72.14.185.43, 45.33.23.183, 45.33.30.197, 45.33.18.44, 72.14.178.174, 198.58.118.167, 45.33.2.79, 45.79.19.196, 96.126.123.244",,"{'name': 'access-pomerium.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'access-pomerium.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'access-pomerium.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'access-pomerium.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'access-pomerium.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,ns2-auction.sav.com,,,,,,
[x],admin-api.demo-saiv.dev.insolar.io,600,"45.79.19.196, 96.126.123.244, 72.14.185.43, 45.33.23.183, 45.33.20.235, 72.14.178.174, 45.33.30.197, 173.255.194.134, 45.56.79.23, 198.58.118.167, 45.33.18.44, 45.33.2.79",,"{'name': 'admin-api.demo-saiv.dev.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'admin-api.demo-saiv.dev.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'admin-api.demo-saiv.dev.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'admin-api.demo-saiv.dev.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'admin-api.demo-saiv.dev.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,,,
[x],alerts.insolar.io,406,"96.126.123.244, 45.33.2.79, 72.14.178.174, 198.58.118.167, 45.33.20.235, 45.33.18.44, 173.255.194.134, 45.33.30.197, 45.33.23.183, 45.79.19.196, 72.14.185.43, 45.56.79.23",,"{'name': 'alerts.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,,,
[x],alerts.k8s-dev.insolar.io,600,"45.33.18.44, 45.33.20.235, 45.33.23.183, 173.255.194.134, 96.126.123.244, 198.58.118.167, 72.14.178.174, 72.14.185.43, 45.33.30.197, 45.33.2.79, 45.56.79.23, 45.79.19.196",,"{'name': 'alerts.k8s-dev.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.k8s-dev.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.k8s-dev.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.k8s-dev.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,,,
[x],alerts.k8s-infra.insolar.io,600,"72.14.185.43, 45.33.2.79, 198.58.118.167, 45.33.23.183, 45.33.18.44, 45.56.79.23, 45.79.19.196, 45.33.30.197, 173.255.194.134, 45.33.20.235, 72.14.178.174, 96.126.123.244",,"{'name': 'alerts.k8s-infra.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.k8s-infra.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.k8s-infra.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.k8s-infra.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.k8s-infra.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,,,
[x],alerts.k8s-mainnet.insolar.io,600,"45.33.23.183, 72.14.178.174, 45.33.2.79, 173.255.194.134, 45.33.20.235, 72.14.185.43, 45.79.19.196, 198.58.118.167, 45.33.18.44, 96.126.123.244, 45.56.79.23, 45.33.30.197",,"{'name': 'alerts.k8s-mainnet.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.k8s-mainnet.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.k8s-mainnet.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.k8s-mainnet.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,,,
[x],alerts.k8s-stage.insolar.io,3600,,,"{'name': 'alerts.k8s-stage.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.k8s-stage.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.k8s-stage.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.k8s-stage.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,ns2-auction.sav.com,,,,,,
[x],alerts.mainnet.insolar.io,600,"45.33.20.235, 45.33.23.183, 45.33.30.197, 45.56.79.23, 45.79.19.196, 72.14.178.174, 72.14.185.43, 96.126.123.244, 173.255.194.134, 198.58.118.167, 45.33.2.79, 45.33.18.44",,"{'name': 'alerts.mainnet.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.mainnet.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.mainnet.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.mainnet.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.mainnet.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,,,
[x],alerts.sadako.insolar.io,600,"45.33.20.235, 72.14.178.174, 45.79.19.196, 45.33.23.183, 45.33.2.79, 72.14.185.43, 198.58.118.167, 173.255.194.134, 45.33.18.44, 45.56.79.23, 45.33.30.197, 96.126.123.244",,"{'name': 'alerts.sadako.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.sadako.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.sadako.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,,,
[x],alerts.saiv-stage.insolar.io,600,"45.33.23.183, 45.33.2.79, 45.33.20.235, 45.33.30.197, 45.33.18.44, 198.58.118.167, 173.255.194.134, 72.14.185.43, 72.14.178.174, 96.126.123.244, 45.56.79.23, 45.79.19.196",,"{'name': 'alerts.saiv-stage.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.saiv-stage.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.saiv-stage.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.saiv-stage.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}, {'name': 'alerts.saiv-stage.insolar.io', 'ns': 'ns1-auction.sav.com', 'mailbox': 'admin.giantpanda.com', 'serial': 2013020401, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 3600}",NOERROR,,,,,,,,,
