input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,favicon_path,a_,lines,failed,knowledgebase_PageType,knowledgebase_pHash
pay.eobot.com,Account is Closed,200,1051,pay.eobot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-28T19:48:20Z,2026-02-27T19:09:48Z,CN=pay.eobot.com,pay.eobot.com,www.pay.eobot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",bc01827aeb84f368b149176b1f711ee1,a83bbea9f079f5173c858c8c87c82c2d0fd04ab2cb631239a4992f739f033ee2,ctls,pay.eobot.com,443,https://pay.eobot.com,https,text/html,GET,44.222.29.108,/,758654946,/favicon.ico,34.234.126.233,1,False,nonerror,0
www.eobot.com,,200,114,www.eobot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-09-23T18:03:20Z,2025-09-23T18:03:20Z,CN=www.eobot.com,www.eobot.com,www.eobot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",7b31394ab0e24658e739ad6b0acd4309,532d55a99319b97d52aea73849a9562821a0f5c8735d70a36983a417669353be,ctls,www.eobot.com,443,https://www.eobot.com,https,text/html,GET,3.33.130.190,/,,/favicon.ico,15.197.148.33,1,False,other,0
