new,host,ttl,aaaa,soa,status_code,a,cname,mx,txt,caa
[x],allbridge.io,300,"2a06:98c1:3121::3, 2a06:98c1:3120::3","{'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"188.114.97.3, 188.114.96.3",,"aspmx3.googlemail.com, alt1.aspmx.l.google.com, aspmx2.googlemail.com, aspmx.l.google.com, alt2.aspmx.l.google.com","wallet-connect-dns-verification=64e8e7b414c7fe0f5711e4a670d17db01b1ab10d8cd04583afe90ff011c1abfe, google-site-verification=627BUj6dOqxhKgkc-mz9Sun_I0aJ2jcQiQJGCg85UDc, v=spf1 include:_spf.google.com ~all, google-site-verification=XXXGku49So9RJDHZiS9U79aQ25961YPv1pc-VL_XqP4, google-site-verification=kXik7msoiRdhEub5ihWx06r8UXqEClr5ehaLOkCxqko, google-site-verification=wIR9oqloqyRZuRHYQsSfaBO05D7MmrMAF8dL3CqJ2h0",
,app.allbridge.io,300,,"{'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"188.114.96.3, 188.114.97.3",,,,
,baas.allbridge.io,300,"2a06:98c1:3120::4, 2a06:98c1:3121::4","{'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"188.114.96.0, 188.114.97.0",,,,
,claim.allbridge.io,300,"2606:4700:3033::ac43:96e3, 2606:4700:3030::6815:bfd","{'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,core.allbridge.io,300,"2606:4700:3033::ac43:96e3, 2606:4700:3030::6815:bfd","{'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"188.114.97.3, 188.114.96.3",,,,
,corewidget.allbridge.io,300,"2a06:98c1:3120::3, 2a06:98c1:3121::3","{'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"188.114.96.11, 188.114.97.11",,,,
,dao.allbridge.io,300,"2606:4700:3030::6815:bfd, 2606:4700:3033::ac43:96e3","{'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,docs-core-sdk.allbridge.io,300,2620:0:890::100,"{'name': 'web.app', 'ns': 'ns1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'web.app', 'ns': 'ns1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'web.app', 'ns': 'ns1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'web.app', 'ns': 'ns1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'web.app', 'ns': 'ns1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}",NOERROR,,bridge-core-sdk.web.app,,,
,docs.allbridge.io,300,"2606:4700:3033::ac43:96e3, 2606:4700:3030::6815:bfd","{'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'allbridge.io', 'ns': 'natasha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347822831, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.21.11.253, 172.67.150.227",,,,
,home.core.allbridge.io,300,,"{'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}",NOERROR,"76.76.21.98, 76.76.21.164",cname.vercel-dns.com,,,"letsencrypt.org, globalsign.com, sectigo.com"
