new,host,mx,soa,status_code,a,aaaa,cname,txt,ns,caa
[x],autodiscover.republik.ch,,"ns.hostpoint.ch, hostmaster.hostpoint.ch",NOERROR,217.26.48.186,2a00:d70:0:a::173,autoconfig-nonssl.mail.hostpoint.ch,,,
[x],cdn.republik.ch,,"ns-572.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,185.172.149.132,2a0b:4d07:201::1,"rassetsserver2-6699.kxcdn.com, p-nlam00.kxcdn.com",,,
[x],lists.republik.ch,"mx2.mail.hostpoint.ch, mx1.mail.hostpoint.ch","ns.hostpoint.ch, hostmaster.hostpoint.ch",NOERROR,217.26.48.142,,lists.admin.hostpoint.ch,,,
[x],mail.republik.ch,,"ns.hostpoint.ch, hostmaster.hostpoint.ch",NOERROR,,2a00:d70:0:10::1,asmtp.mail.hostpoint.ch,v=spf1 redirect=spf.mail.hostpoint.ch,,
[x],mail2.republik.ch,,"ns.hostpoint.ch, hostmaster.hostpoint.ch",NOERROR,217.26.49.199,2a00:d70:0:e::100,imap.mail.hostpoint.ch,,,
[x],mandrill.republik.ch,,"aron.ns.cloudflare.com, dns.cloudflare.com",NOERROR,198.2.179.251,,,,,
[x],matomo.republik.ch,"mx2.mail.hostpoint.ch, mx1.mail.hostpoint.ch","aron.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],publikator.republik.ch,,"ns-3.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,,,serene-atoll-1940.shrouded-fortress-5750.herokuspace.com,,,
[x],republik.ch,"mx2.mail.hostpoint.ch, mx1.mail.hostpoint.ch","aron.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"3.69.81.160, 52.28.28.63",,,"facebook-domain-verification=46kh4modrzunubw0au4tmzk68vauf3, google-site-verification=t-xup-JIve5pz2Zk5j3habpxtkN-pItAs3SrrDCBqYU, google-site-verification=-Wa5-oDgnbbJwWW4t7120FL2A1f7Al-R8DeNchYAIwM, v=spf1 include:mail.zendesk.com include:servers.mcsv.net include:spf.mandrillapp.com include:spf.mail.hostpoint.ch ip4:198.2.179.251 ~all, google-site-verification=-1kS0Ue0ujAoJIB4vN7zwR539iZS55aBa1ch5VCTTC4, google-site-verification=kMv7YhWz3bix96-dfgWvfXrButFw3R_i-hyv6eo9AxE","aron.ns.cloudflare.com, major.ns.cloudflare.com",
[x],sandstorm.republik.ch,"mx2.mail.hostpoint.ch, mx1.mail.hostpoint.ch","aron.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],smtp.republik.ch,,"ns.hostpoint.ch, hostmaster.hostpoint.ch",NOERROR,217.26.49.65,2a00:d70:0:10::1,asmtp.mail.hostpoint.ch,v=spf1 redirect=spf.mail.hostpoint.ch,,
[x],styleguide.republik.ch,,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,"54.247.69.169, 63.32.161.232, 52.212.52.84",,styleguide.republik.ch.herokudns.com,,,
[x],ultradashboard.republik.ch,,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,"52.212.52.84, 54.247.69.169, 63.32.161.232",,ultradashboard.republik.ch.herokudns.com,,,
[x],urne.republik.ch,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,"76.76.21.9, 76.76.21.142",,cname.vercel-dns.com,,,"letsencrypt.org, globalsign.com, sectigo.com"
[x],ux.republik.ch,,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,"52.212.52.84, 54.247.69.169, 63.32.161.232",,rigid-falls-mgxluvwtdpk0fdjellcx2n4v.herokudns.com,,,
[x],vorlesen.republik.ch,,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,"76.76.21.9, 76.76.21.123",,cname.vercel-dns.com,,,"letsencrypt.org, globalsign.com, sectigo.com"
[x],wiki.republik.ch,"mx1.mail.hostpoint.ch, mx2.mail.hostpoint.ch","aron.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],www.republik.ch,,"ns-3.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,,,aqueous-fjord-7783.shrouded-fortress-5750.herokuspace.com,,,
[x],wwww.republik.ch,,"ns-3.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,"3.69.81.160, 52.28.28.63",,aqueous-fjord-7783.shrouded-fortress-5750.herokuspace.com,,"ns-1138.awsdns-14.org, ns-1974.awsdns-54.co.uk, ns-3.awsdns-00.com, ns-878.awsdns-45.net",
