input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_wildcard_certificate,final_url,tls_mismatched,cdn_name,cdn,csp_domains_,tls_expired,tls_self_signed
abc.htc.com,403 Forbidden,403,153,abc.htc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-05T00:00:00Z,2023-11-05T23:59:59Z,CN=abc.htc.com,abc.htc.com,abc.htc.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",7f1366e5dd7e60e34301d5386e095b08,d192f8b22732020ef759c6ca1bdef89f6447a0ac69acedd72acbea5d41b50667,ctls,abc.htc.com,443,https://abc.htc.com:443,https,nginx/1.22.1,text/html,GET,20.119.0.29,/,-253321811,20.119.0.29,Nginx:1.22.1,8,False,,,,,,,,,
agency.htc.com,403 - Forbidden: Access is denied.,403,1233,agency.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2023-07-21T00:00:00Z,2024-07-30T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,18e6340b92517b1bcb3ba149387fbc03,ab20958e933a291caba5a1b57578641c0a7ba50468b7b42469b78375d7aabca5,ctls,agency.htc.com,443,https://agency.htc.com:443,https,Microsoft-IIS/10.0,text/html,GET,122.147.173.100,/,1631801191,122.147.173.100,Windows Server,30,False,HTC Corporation,True,,,,,,,
apmaintenance.htc.com,"System Announcemen
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />
<meta http-equiv=""X-UA-Compatible"" content=""IE=Edge;chrome=1"">
<title>System Announcement",200,5393,apmaintenance.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,apmaintenance.htc.com,443,https://apmaintenance.htc.com:443,https,istio-envoy,text/html,GET,23.201.250.189,/,-1145431672,23.201.250.189,Envoy,128,False,HTC Corporation,,,,,,,,
apu-msg.htc.com,Error,403,74,apu-msg.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2023-07-21T00:00:00Z,2024-07-30T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,18e6340b92517b1bcb3ba149387fbc03,ab20958e933a291caba5a1b57578641c0a7ba50468b7b42469b78375d7aabca5,ctls,apu-msg.htc.com,443,https://apu-msg.htc.com:443,https,,text/html,GET,114.30.34.33,/,-1463124301,114.30.34.33,,1,False,HTC Corporation,True,,,,,,,
apus-liveimage.htc.com,403 Forbidden,403,409,apus-liveimage.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,apus-liveimage.htc.com,443,https://apus-liveimage.htc.com:443,https,Apache/2.2.15 (CentOS),text/html,GET,2.19.75.182,/,317876807,2.19.75.182,CentOS,13,False,HTC Corporation,,,,,,,,
asiaapi.htc.com,403 - Forbidden: Access is denied.,403,1233,asiaapi.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c81ac27f95da3e42cc3422f4f87236a7,5afe13ff6a7d8e6ef1c34188cbb69d77d540a20a4a2711f9baca1d1324daf37b,ctls,asiaapi.htc.com,443,https://asiaapi.htc.com:443,https,Microsoft-IIS/7.5,text/html,GET,95.101.111.139,/,1631801191,95.101.111.155,Windows Server,30,False,HTC Corporation,True,,,,,,,
asiachannel.htc.com,Runtime Error,500,3490,asiachannel.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,asiachannel.htc.com,443,https://asiachannel.htc.com:443,https,istio-envoy,text/html,GET,23.37.37.162,/,1631801191,23.37.37.162,Microsoft ASP.NET,83,False,HTC Corporation,,https://asiachannel.htc.com/Login.aspx?ReturnUrl=%2f,,,,,,
asiaws.htc.com,IIS7,200,689,asiaws.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,asiaws.htc.com,443,https://asiaws.htc.com:443,https,istio-envoy,text/html,GET,23.201.250.189,/,1631801191,23.201.250.189,Microsoft ASP.NET,32,False,HTC Corporation,,,,,,,,
autodiscover.htc.com,Outlook,200,58842,autodiscover.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2023-06-30T00:00:00Z,2024-07-30T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,4a5ba14baec79301423f99f3cf4f7d9e,00d023a6ff0a596ded7fcb7fe2915a159cc3df99b5cd9018b3a5dec4459fded4,ctls,autodiscover.htc.com,443,https://autodiscover.htc.com:443,https,,text/html,GET,122.147.173.173,/,1039186096,122.147.173.173,Outlook Web App:15.1.2375,1411,False,HTC Corporation,True,https://autodiscover.htc.com/owa/auth/logon.aspx?url=https%3a%2f%2fautodiscover.htc.com%2fowa%2f&reason=0,,,,,,
bi.htc.com,Bad Request (400),400,143,bi.htc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-08T12:37:54Z,2023-09-06T12:37:53Z,CN=crime-index.pinkerton.com,crime-index.pinkerton.com,crime-index.pinkerton.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,91ac1827d821eacdc71e91df0f73ebf8,9ed305eeda6b021d23a66aed6d71866960cd25c5d8faa457529c37a10865f9bc,ctls,bi.htc.com,443,https://bi.htc.com:443,https,nginx/1.14.0 (Ubuntu),text/html,GET,146.148.38.7,/,1514968008,146.148.38.7,Ubuntu,11,False,,,,True,google,True,,,
