new,host,soa,status_code,cdn,cdn-name,a,ns,cname,aaaa,mx,txt,has_internal_ips,internal_ips
,exchange.staging.cryptology.com,"ns-520.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"18.66.248.102, 18.66.248.60, 18.66.248.13, 18.66.248.61",,,,,,,
,futures.cryptology.com,"ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"18.65.39.13, 18.65.39.55, 18.65.39.112, 18.65.39.120",,,,,,,
,futures.staging.cryptology.com,"ns-520.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"143.204.98.118, 143.204.98.75, 143.204.98.109, 143.204.98.7",,,,,,,
,git.cryptology.com,"ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,,,94.130.140.227,,,,,,,
,go.cryptology.com,"ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,,,52.72.49.79,,,,,,,
,grafana.dev.cryptology.com,"ns-340.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,"18.195.0.254, 52.59.34.10, 3.74.208.146",,,,,,,
,karma.dev.cryptology.com,"ns-340.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,"18.195.0.254, 52.59.34.10, 3.74.208.146",,,,,,,
,karma.prod.cryptology.com,"ns-446.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,"52.58.59.153, 52.58.215.173, 52.29.218.135",,,,,,,
,localhost.blog.cryptology.com,"ns1.siteground.net, root.gnldm1002.siteground.biz",NOERROR,,,127.0.0.1,,,,,,True,127.0.0.1
,mail.blog.cryptology.com,"ns1.siteground.net, root.gnldm1002.siteground.biz",NOERROR,True,google,34.90.77.219,,,,,,,
,mail.cryptology.com,"ns-778.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, aspmx2.googlemail.com",v=spf1 include:_spf.google.com  ~all,,
,marketdata-sandbox.cryptology.com,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,marketdata-sandbox.cryptology.com.cdn.cloudflare.net,,,,,
