input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_wildcard_certificate,cdn_name,webserver,tech_,cdn,tls_mismatched,final_url,tls_subject_org_
npl.pubgesports.com,Site Not Configured | 404 Not Found,404,5891,npl.pubgesports.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-01T00:00:00Z,2023-09-01T23:59:59Z,CN=*.wpengine.com,*.wpengine.com,wpengine.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",9f6e180110183a1ea3146942926b0763,06a8d0764f1578615e732006cb7a087bab7084c80046a573cf1471dfe6bcbc3f,ctls,npl.pubgesports.com,443,https://npl.pubgesports.com:443,https,text/html,GET,18.216.43.185,/,965054014,3.128.164.200,98,False,True,,nginx,Nginx,,True,,
pass-stg.pubg.com,ERROR: The request could not be satisfied,403,919,pass-stg.pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-25T23:59:59Z,CN=*.pubg.com,*.pubg.com,pubg.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ae68fe2b04cebd728b5d0c611e15d594,336a89d59f3d9383ddb42d8a8e1c350cc2a0b990d86c7958879ab18f9962db6d,ctls,pass-stg.pubg.com,443,https://pass-stg.pubg.com:443,https,text/html,GET,13.224.189.33,/,-293074172,13.224.189.3,20,False,True,cloudfront,CloudFront,Amazon Web Services,True,,,
pcpis2.pubg.com,绝地求生中国职业邀请赛第二季,200,152283,pcpis2.pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-27T00:00:00Z,2024-02-25T23:59:59Z,CN=pubg.com,pubg.com,playbattlegrounds.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2a01bb299aff326edbf425485793c293,18afc8cbd50972dd295ffea579341ac99986e74958b77a878b7d95b99e45be08,ctls,pcpis2.pubg.com,443,https://pcpis2.pubg.com:443,https,text/html,GET,108.138.7.62,/,494670890,108.138.7.25,2235,False,True,cloudfront,nginx,Nginx,True,True,,
pec.pubgesports.com,PUBG EMEA CHAMPIONSHIP,200,52072,pec.pubgesports.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-16T22:23:55Z,2023-08-14T22:23:54Z,CN=pec.pubgesports.com,pec.pubgesports.com,pec.pubgesports.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,88d52b03a57d3ad8faf533dce0ec8910,d995825ecf2fceec5ba5ff0a274429ab732114b739a4aa57c8d766d85c7e688e,ctls,pec.pubgesports.com,443,https://pec.pubgesports.com:443,https,text/html,GET,104.16.243.78,/,1475009155,2606:4700::6810:f34e,23,False,,cloudflare,cloudflare,Vue.js,True,,,
pgi.pubg.com,PUBG Global Invitational Berlin 2018 - PGI18 - 25-29 July 2018,200,45678,pgi.pubg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-24T00:00:00Z,2024-02-22T23:59:59Z,CN=*.playbattlegrounds.com,*.playbattlegrounds.com,*.pubg.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a1a9b56f41db76bd08fe42191f331c44,aaec985f5aa4b99d982a1775c0f4d8478403c4728b11cbb76c128c83c5228509,ctls,pgi.pubg.com,443,https://pgi.pubg.com:443,https,text/html,GET,18.66.97.61,/,441895647,2600:9000:223c:1600:a:8de2:a880:93a1,93,False,True,cloudfront,AmazonS3,Google Tag Manager,True,True,,
pickem.pubgesports.com,PGC PICK ‘EM,200,3413,pickem.pubgesports.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-28T15:30:07Z,2023-08-26T15:30:06Z,CN=pickem.pubgesports.com,pickem.pubgesports.com,pickem.pubgesports.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2c32098e1302931c97e0dec70813b56b,a53e67613c455404ed08de890a16a9bbbb4d3ba53d3f38a11c8c5ddad5ca0f04,ctls,pickem.pubgesports.com,443,https://pickem.pubgesports.com:443,https,text/html,GET,34.141.28.239,/,-1255226097,2a05:d014:275:cb02::c8,2,False,,google,Netlify,Netlify,True,,,
play.pubg.com,PUBG: BATTLEGROUNDS - The original battle royale is now free-to-play for all. Download now.,200,127326,play.pubg.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-25T23:59:59Z,CN=*.pubg.com,*.pubg.com,pubg.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ae68fe2b04cebd728b5d0c611e15d594,336a89d59f3d9383ddb42d8a8e1c350cc2a0b990d86c7958879ab18f9962db6d,ctls,play.pubg.com,443,https://play.pubg.com:443,https,text/html,GET,3.215.187.165,/,102855332,44.196.85.91,133,False,True,,,YouTube,,,https://play.pubg.com/en,
playfree.pubg.com,PUBG: BATTLEGROUNDS - The original battle royale is now free-to-play for all. Download now.,200,127326,guide.pubg.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-25T23:59:59Z,CN=*.pubg.com,*.pubg.com,pubg.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ae68fe2b04cebd728b5d0c611e15d594,336a89d59f3d9383ddb42d8a8e1c350cc2a0b990d86c7958879ab18f9962db6d,ctls,guide.pubg.com,443,https://playfree.pubg.com:443,https,text/html,GET,3.37.2.155,/,682776662,15.164.253.169,133,False,True,,,YouTube,,,https://guide.pubg.com:443/en,
playnow.pubg.com,PUBG: BATTLEGROUNDS,200,186897,playnow.pubg.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-11T14:30:16Z,2023-08-09T14:30:15Z,CN=playnow.pubg.com,playnow.pubg.com,playnow.pubg.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e0a17ee7148d527bb14b6425137b23b4,bcc2e2c05ed54b04001cc4a6e7e6071f4988e459e081422ae814a1f84459ccfd,ctls,playnow.pubg.com,443,https://playnow.pubg.com:443,https,text/html,GET,37.143.12.125,/,-1023740657,37.143.12.125,3,False,,,nginx/1.18.0,webpack,,,,
pre-reg.pubg.com,PUBG: BATTLEGROUNDS - The original battle royale is now free-to-play for all. Download now.,200,127326,guide.pubg.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-25T23:59:59Z,CN=*.pubg.com,*.pubg.com,pubg.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ae68fe2b04cebd728b5d0c611e15d594,336a89d59f3d9383ddb42d8a8e1c350cc2a0b990d86c7958879ab18f9962db6d,ctls,guide.pubg.com,443,https://pre-reg.pubg.com:443,https,text/html,GET,15.164.253.169,/,682776662,3.37.2.155,133,False,True,,,YouTube,,,https://guide.pubg.com:443/en,
