input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_wildcard_certificate,cdn_name,webserver,cdn,final_url
bitrue.com,Crypto Exchange | XRP Exchange | XRP Trade | Bitrue,200,108953,www.bitrue.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-17T08:11:33Z,2023-09-18T08:11:32Z,"CN=*.bitrue.com, O=Birdie Corporation, L=Eden Island, ST=Roche Caiman, C=SC",*.bitrue.com,bitrue.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,453289352a1335b670fa119c76b53aa2,8a722805201088d556e6e857f1771d470fc062f5716403905c5cec0629f710f3,ctls,www.bitrue.com,443,https://bitrue.com:443,https,text/html,GET,13.229.1.221,/,838680801,18.136.27.68,React,67,False,Birdie Corporation,True,,,,https://www.bitrue.com/home/
cdn.bitrue.com,,403,255,cdn.bitrue.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-17T08:11:33Z,2023-09-18T08:11:32Z,"CN=*.bitrue.com, O=Birdie Corporation, L=Eden Island, ST=Roche Caiman, C=SC",*.bitrue.com,bitrue.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,453289352a1335b670fa119c76b53aa2,8a722805201088d556e6e857f1771d470fc062f5716403905c5cec0629f710f3,ctls,cdn.bitrue.com,443,https://cdn.bitrue.com:443,https,application/xml,GET,13.32.27.80,/,-2097787856,2600:9000:211e:9600:13:6e5e:ae40:93a1,Amazon Web Services,2,False,Birdie Corporation,True,cloudfront,AmazonS3,True,
d.bitrue.com,Welcome to OpenResty!,200,1097,d.bitrue.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-17T08:11:33Z,2023-09-18T08:11:32Z,"CN=*.bitrue.com, O=Birdie Corporation, L=Eden Island, ST=Roche Caiman, C=SC",*.bitrue.com,bitrue.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,453289352a1335b670fa119c76b53aa2,8a722805201088d556e6e857f1771d470fc062f5716403905c5cec0629f710f3,ctls,d.bitrue.com,443,https://d.bitrue.com:443,https,text/html,GET,54.255.45.237,/,838680801,18.136.27.68,,29,False,Birdie Corporation,True,,,,
fapi.bitrue.com,,200,189,fapi.bitrue.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-17T08:11:33Z,2023-09-18T08:11:32Z,"CN=*.bitrue.com, O=Birdie Corporation, L=Eden Island, ST=Roche Caiman, C=SC",*.bitrue.com,bitrue.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,453289352a1335b670fa119c76b53aa2,8a722805201088d556e6e857f1771d470fc062f5716403905c5cec0629f710f3,ctls,fapi.bitrue.com,443,https://fapi.bitrue.com:443,https,application/json,GET,52.222.214.117,/,-968334240,2600:9000:223d:200:a:f843:5b00:93a1,Amazon Web Services,1,False,Birdie Corporation,True,cloudfront,,True,
fm.bitrue.com,,200,75,fm.bitrue.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-17T08:11:33Z,2023-09-18T08:11:32Z,"CN=*.bitrue.com, O=Birdie Corporation, L=Eden Island, ST=Roche Caiman, C=SC",*.bitrue.com,bitrue.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,453289352a1335b670fa119c76b53aa2,8a722805201088d556e6e857f1771d470fc062f5716403905c5cec0629f710f3,ctls,fm.bitrue.com,443,https://fm.bitrue.com:443,https,application/json,GET,13.225.78.20,/,-1122201745,2600:9000:21f3:c000:1b:25f7:44c0:93a1,Amazon Web Services,1,False,Birdie Corporation,True,cloudfront,,True,
future.bitrue.com,Welcome to nginx!,200,612,future.bitrue.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-17T08:11:33Z,2023-09-18T08:11:32Z,"CN=*.bitrue.com, O=Birdie Corporation, L=Eden Island, ST=Roche Caiman, C=SC",*.bitrue.com,bitrue.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,453289352a1335b670fa119c76b53aa2,8a722805201088d556e6e857f1771d470fc062f5716403905c5cec0629f710f3,ctls,future.bitrue.com,443,https://future.bitrue.com:443,https,text/html,GET,3.1.193.142,/,190856733,52.77.134.81,Nginx,26,False,Birdie Corporation,True,,nginx,,
futures.bitrue.com,,404,104,futures.bitrue.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-17T08:11:33Z,2023-09-18T08:11:32Z,"CN=*.bitrue.com, O=Birdie Corporation, L=Eden Island, ST=Roche Caiman, C=SC",*.bitrue.com,bitrue.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,453289352a1335b670fa119c76b53aa2,8a722805201088d556e6e857f1771d470fc062f5716403905c5cec0629f710f3,ctls,futures.bitrue.com,443,https://futures.bitrue.com:443,https,application/json,GET,99.86.4.102,/,1566652163,2600:9000:2057:6c00:f:7103:8700:93a1,Amazon Web Services,1,False,Birdie Corporation,True,cloudfront,,True,
link.bitrue.com,Invalid Dynamic Link,400,9233,link.bitrue.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-19T19:24:25Z,2023-08-17T20:22:40Z,CN=www.mystudentlife.ie,www.mystudentlife.ie,www.hadirumjahn.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,618d1395f154a55d308ff4501dfd7262,530f66467ef8fa300e0e90fe1f29b1952adb18fb7ae20bb532c8c44a89e9bdef,ctls,link.bitrue.com,443,https://link.bitrue.com:443,https,text/html,GET,199.36.158.100,/,1905170354,199.36.158.100,HTTP/3,1,False,,,,,,
m.bitrue.com,,404,,m.bitrue.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-17T08:11:33Z,2023-09-18T08:11:32Z,"CN=*.bitrue.com, O=Birdie Corporation, L=Eden Island, ST=Roche Caiman, C=SC",*.bitrue.com,bitrue.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,453289352a1335b670fa119c76b53aa2,8a722805201088d556e6e857f1771d470fc062f5716403905c5cec0629f710f3,ctls,m.bitrue.com,443,https://m.bitrue.com:443,https,text/plain,GET,143.204.215.88,/,-1840324437,2600:9000:214f:8600:17:fb03:eb80:93a1,Amazon Web Services,1,False,Birdie Corporation,True,cloudfront,awselb/2.0,True,
open.bitrue.com,,503,9,open.bitrue.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-17T08:11:33Z,2023-09-18T08:11:32Z,"CN=*.bitrue.com, O=Birdie Corporation, L=Eden Island, ST=Roche Caiman, C=SC",*.bitrue.com,bitrue.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,453289352a1335b670fa119c76b53aa2,8a722805201088d556e6e857f1771d470fc062f5716403905c5cec0629f710f3,ctls,open.bitrue.com,443,https://open.bitrue.com:443,https,text/plain,GET,52.77.202.12,/,21729127,52.77.166.197,,1,False,Birdie Corporation,True,,awselb/2.0,,
