new,host,ttl,a,soa,ns,status_code,cdn,cdn-name,aaaa,cname,has_internal_ips,internal_ips,txt,mx,caa
[x],acceptance-default.svs.nike.com,37,"44.237.111.66, 44.239.140.174, 52.33.204.185","{'name': 'lams.svs.nike.com', 'ns': 'ns-513.awsdns-00.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lams.svs.nike.com', 'ns': 'ns-513.awsdns-00.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lams.svs.nike.com', 'ns': 'ns-513.awsdns-00.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lams.svs.nike.com', 'ns': 'ns-513.awsdns-00.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lams.svs.nike.com', 'ns': 'ns-513.awsdns-00.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-120.awsdns-15.com, ns-1400.awsdns-47.org, ns-1670.awsdns-16.co.uk, ns-923.awsdns-51.net",NOERROR,,,,acceptance-global.lams.svs.nike.com,,,,,
[x],acceptance-global.test.lams.svs.nike.com,34,"44.240.126.205, 52.26.81.29, 44.232.230.72","{'name': 'test.lams.svs.nike.com', 'ns': 'ns-67.awsdns-08.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'test.lams.svs.nike.com', 'ns': 'ns-67.awsdns-08.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'test.lams.svs.nike.com', 'ns': 'ns-67.awsdns-08.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'test.lams.svs.nike.com', 'ns': 'ns-67.awsdns-08.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'test.lams.svs.nike.com', 'ns': 'ns-67.awsdns-08.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'test.lams.svs.nike.com', 'ns': 'ns-67.awsdns-08.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'test.lams.svs.nike.com', 'ns': 'ns-67.awsdns-08.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,,,,,,,,,
[x],acceptance-to-0.test.svs.nike.com,300,0.0.0.0,"{'name': 'test.svs.nike.com', 'ns': 'ns-1624.awsdns-11.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'test.svs.nike.com', 'ns': 'ns-1624.awsdns-11.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'test.svs.nike.com', 'ns': 'ns-1624.awsdns-11.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'test.svs.nike.com', 'ns': 'ns-1624.awsdns-11.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'test.svs.nike.com', 'ns': 'ns-1624.awsdns-11.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'test.svs.nike.com', 'ns': 'ns-1624.awsdns-11.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,,,,,True,0.0.0.0,,,
[x],acceptance-weighted.test.svs.nike.com,60,,"{'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-west-2.elb.amazonaws.com', 'ns': 'ns-332.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'test.lams.svs.nike.com', 'ns': 'ns-67.awsdns-08.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'test.lams.svs.nike.com', 'ns': 'ns-67.awsdns-08.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,,,,"acceptancei-appelb-14usyjfb77ws1-930788073.us-east-1.elb.amazonaws.com, acceptances-appelb-49bryv62pocr-2128131692.us-west-2.elb.amazonaws.com, acceptance-global.test.lams.svs.nike.com",,,,,
[x],acceptance.svs.nike.com,300,"44.237.111.66, 44.239.140.174, 52.33.204.185","{'name': 'lams.svs.nike.com', 'ns': 'ns-513.awsdns-00.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lams.svs.nike.com', 'ns': 'ns-513.awsdns-00.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'lams.svs.nike.com', 'ns': 'ns-513.awsdns-00.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1237.awsdns-26.org, ns-1634.awsdns-12.co.uk, ns-439.awsdns-54.com, ns-513.awsdns-00.net",NOERROR,,,,"acceptance-default.svs.nike.com, acceptance-global.lams.svs.nike.com",,,,,
[x],acceptance.test.svs.nike.com,300,,"{'name': 'test.lams.svs.nike.com', 'ns': 'ns-67.awsdns-08.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'us-west-2.elb.amazonaws.com', 'ns': 'ns-332.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-west-2.elb.amazonaws.com', 'ns': 'ns-332.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'test.lams.svs.nike.com', 'ns': 'ns-67.awsdns-08.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'us-west-2.elb.amazonaws.com', 'ns': 'ns-332.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",,NOERROR,,,,"acceptance-weighted.test.svs.nike.com, acceptance-global.test.lams.svs.nike.com, acceptances-appelb-49bryv62pocr-2128131692.us-west-2.elb.amazonaws.com",,,,,
[x],accessibility.nike.com,60,"108.156.22.28, 108.156.22.58, 108.156.22.51, 108.156.22.89","{'name': 'accessibility.nike.com', 'ns': 'ns-1430.awsdns-50.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'accessibility.nike.com', 'ns': 'ns-1430.awsdns-50.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'accessibility.nike.com', 'ns': 'ns-1430.awsdns-50.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'accessibility.nike.com', 'ns': 'ns-1430.awsdns-50.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1430.awsdns-50.org, ns-1631.awsdns-11.co.uk, ns-421.awsdns-52.com, ns-843.awsdns-41.net",NOERROR,True,cloudfront,,,,,,,
[x],accounts.nike.com,3322,2.23.196.69,"{'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1719332870, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1719332870, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1719332870, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscx.akamaiedge.net', 'ns': 'n0dscx.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1719332870, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",,NOERROR,,,,"accounts.nike.com.edgekey.net, accounts.nike.com.edgekey.net.globalredir.akadns.net, e2698.dscx.akamaiedge.net",,,,,
[x],activate.nike.com,43200,"13.35.58.29, 13.35.58.78, 13.35.58.54, 13.35.58.15","{'name': 'jifiti.com', 'ns': 'ns-1255.awsdns-28.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'jifiti.com', 'ns': 'ns-1255.awsdns-28.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'jifiti.com', 'ns': 'ns-1255.awsdns-28.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'jifiti.com', 'ns': 'ns-1255.awsdns-28.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'jifiti.com', 'ns': 'ns-1255.awsdns-28.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,True,cloudfront,,nike.activate.jifiti.com,,,,,
[x],ad-user-info.dbt.svs.nike.com,900,,"{'name': 'dbt.svs.nike.com', 'ns': 'ns-279.awsdns-34.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dbt.svs.nike.com', 'ns': 'ns-279.awsdns-34.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dbt.svs.nike.com', 'ns': 'ns-279.awsdns-34.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dbt.svs.nike.com', 'ns': 'ns-279.awsdns-34.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dbt.svs.nike.com', 'ns': 'ns-279.awsdns-34.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,,,,,,,,,
