new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,txt,mx,caa,ns
[x],acc-api.hm.com,23.197.13.187,"2a02:26f0:1700:186::716, 2a02:26f0:1700:1b0::716","acc-api.hm.com.edgekey.net, e1814.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],acc-career.cos.com,104.87.191.245,,"acc-career.cos.com.edgekey.net, e1814.dsca.akamaiedge.net",,NOERROR,,,,,,
[x],acc-m.hm.com,104.102.19.185,"2a02:26f0:1700:186::716, 2a02:26f0:1700:1b0::716","acc-m.hm.com.edgekey.net, e1814.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],acc-press.arket.com,23.222.32.241,,"acc-press.arket.com.edgekey.net, e1814.b.akamaiedge.net",,NOERROR,,,,,,
[x],acc-press.cos.com,2.17.180.204,"2a02:26f0:b80:29e::716, 2a02:26f0:b80:291::716","acc-press.cos.com.edgekey.net, e1814.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],acc-press.stories.com,23.222.32.241,,"acc-press.stories.com.edgekey.net, e1814.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],acc-staging-tablet.hm.com,104.103.166.156,"2a02:26f0:3100:681::716, 2a02:26f0:3100:682::716","acc-tablet.hm.com.edgekey-staging.net, e1814.dscb.akamaiedge-staging.net","n0dscb.akamaiedge-staging.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],acc-staging-www.hm.com,104.103.165.149,"2a02:26f0:3100:680::6ae, 2a02:26f0:3100:684::6ae","acc-www.hm.com.edgekey-staging.net, e1710.dscb.akamaiedge-staging.net","n0dscb.akamaiedge-staging.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],acc-tablet.hm.com,104.102.19.185,"2a02:26f0:480:b8e::716, 2a02:26f0:480:b85::716","acc-tablet.hm.com.edgekey.net, e1814.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],acc-www.cos.com,"96.16.54.112, 96.16.54.146","2a02:26f0:d8::685e:64b0, 2a02:26f0:d8::685e:64a9","acc-www.cos.com.edgekey.net, e93166.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],acc.aemcomm.hm.com,"2.16.107.136, 2.16.107.170",2a02:26f0:3500:12::1730:17a5,"int-aemcomm.hm.com, int-aemcomm.hm.com.edgesuite.net, a1106.dscr.akamai.net","n0dscr.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],acc.social.afound.com,23.206.108.73,"2a02:26f0:c900:297::3db, 2a02:26f0:c900:29e::3db","acc.social.hm.com.edgekey.net, e987.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],acc.social.arket.com,23.218.130.226,"2600:1408:7400:188::3db, 2600:1408:7400:1a2::3db","acc.social.hm.com.edgekey.net, e987.dscb.akamaiedge.net",,NOERROR,,,,,,
[x],acc.social.hm.com,23.208.149.244,"2a02:26f0:1700:1a7::3db, 2a02:26f0:1700:1b5::3db","acc.social.hm.com.edgekey.net, e987.dscb.akamaiedge.net",,NOERROR,,,,,,
[x],acc.social.stories.com,23.216.205.240,"2a02:26f0:b80:288::3db, 2a02:26f0:b80:297::3db","acc.social.hm.com.edgekey.net, e987.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accc-asm.arket.com,23.222.37.176,,"accc-www.arket.com, accc-www.arket.com.edgekey.net, e4511.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accc-asm.monki.com,23.53.61.124,,"accc-www.monki.com, accc-www.monki.com.edgekey.net, e4511.b.akamaiedge.net",,NOERROR,,,,,,
