input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,tls_mismatched,tls_expired,tls_self_signed,cdn_name,cdn,csp_domains_,final_url
abcosacom-my.sharepoint.com,Sign in to your account,200,200821,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,443,https://abcosacom-my.sharepoint.com:443,https,,text/html,GET,13.107.136.8,/,-1840324437,2620:1ec:8fa::8,HSTS,173,False,,,,,,,,https://login.microsoftonline.com:443/4fd5f55a-5d7f-462e-9b7c-10cc0e075395/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=68D56165E2AA01EEEB9F2166CEBA10C2E85A7AA1FF094299%2D61427E41194422577118AC2693CB36DDBEA0538698734BFC06832CE911D78B03&redirect%5Furi=https%3A%2F%2Fabcosacom%2Dmy%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=1e64b3a0%2D20e6%2Dd000%2Df7fb%2D729f4042f6cb&popupui=1
acc-api.hm.com,Error,403,176,acc-api.hm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-31T00:00:00Z,2024-02-24T23:59:59Z,"CN=hm-akamai-san1.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",hm-akamai-san1.hm.com,H & M Hennes & Mauritz AB,www.th.hm.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,79f58bf4300a829c909243437827e93f,cd39d0b83d67ecf77d7d6ff3849e0c5f4786c43644a5ab06dbfb0f437708e462,ctls,acc-api.hm.com,443,https://acc-api.hm.com:443,https,AkamaiGHost,text/html,GET,104.102.19.185,/,1390448130,2a02:26f0:1700:186::716,,5,False,,,,,,,,
acc-career.cos.com,Access Denied,403,271,acc-career.cos.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-31T00:00:00Z,2024-02-24T23:59:59Z,"CN=hm-akamai-san1.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",hm-akamai-san1.hm.com,H & M Hennes & Mauritz AB,www.th.hm.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,79f58bf4300a829c909243437827e93f,cd39d0b83d67ecf77d7d6ff3849e0c5f4786c43644a5ab06dbfb0f437708e462,ctls,acc-career.cos.com,443,https://acc-career.cos.com:443,https,AkamaiGHost,text/html,GET,2.17.180.204,/,-84282163,2a02:26f0:3500:881::716,,10,False,,,,,,,,
acc-m.hm.com,Error,403,176,acc-m.hm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-31T00:00:00Z,2024-02-24T23:59:59Z,"CN=hm-akamai-san1.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",hm-akamai-san1.hm.com,H & M Hennes & Mauritz AB,www.th.hm.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,79f58bf4300a829c909243437827e93f,cd39d0b83d67ecf77d7d6ff3849e0c5f4786c43644a5ab06dbfb0f437708e462,ctls,acc-m.hm.com,443,https://acc-m.hm.com:443,https,AkamaiGHost,text/html,GET,104.102.19.185,/,-45990614,2a02:26f0:1700:186::716,HSTS,5,False,,,,,,,,
acc-press.arket.com,Access Denied,403,272,acc-press.arket.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-31T00:00:00Z,2024-02-24T23:59:59Z,"CN=hm-akamai-san1.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",hm-akamai-san1.hm.com,H & M Hennes & Mauritz AB,www.th.hm.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,79f58bf4300a829c909243437827e93f,cd39d0b83d67ecf77d7d6ff3849e0c5f4786c43644a5ab06dbfb0f437708e462,ctls,acc-press.arket.com,443,https://acc-press.arket.com:443,https,AkamaiGHost,text/html,GET,104.102.19.185,/,-985770112,104.102.19.185,,10,False,,,,,,,,
acc-press.cos.com,Access Denied,403,270,acc-press.cos.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-31T00:00:00Z,2024-02-24T23:59:59Z,"CN=hm-akamai-san1.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",hm-akamai-san1.hm.com,H & M Hennes & Mauritz AB,www.th.hm.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,79f58bf4300a829c909243437827e93f,cd39d0b83d67ecf77d7d6ff3849e0c5f4786c43644a5ab06dbfb0f437708e462,ctls,acc-press.cos.com,443,https://acc-press.cos.com:443,https,AkamaiGHost,text/html,GET,104.102.19.185,/,1208304772,2a02:26f0:1700:680::716,,10,False,,,,,,,,
acc-press.stories.com,Access Denied,403,274,acc-press.stories.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-31T00:00:00Z,2024-02-24T23:59:59Z,"CN=hm-akamai-san1.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",hm-akamai-san1.hm.com,H & M Hennes & Mauritz AB,www.th.hm.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,79f58bf4300a829c909243437827e93f,cd39d0b83d67ecf77d7d6ff3849e0c5f4786c43644a5ab06dbfb0f437708e462,ctls,acc-press.stories.com,443,https://acc-press.stories.com:443,https,AkamaiGHost,text/html,GET,104.102.19.185,/,571105434,104.102.19.185,,10,False,,,,,,,,
acc-staging-tablet.hm.com,Error,403,176,acc-staging-tablet.hm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-31T00:00:00Z,2024-02-24T23:59:59Z,"CN=hm-akamai-san1.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",hm-akamai-san1.hm.com,H & M Hennes & Mauritz AB,www.th.hm.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,79f58bf4300a829c909243437827e93f,cd39d0b83d67ecf77d7d6ff3849e0c5f4786c43644a5ab06dbfb0f437708e462,ctls,acc-staging-tablet.hm.com,443,https://acc-staging-tablet.hm.com:443,https,AkamaiGHost,text/html,GET,104.103.166.156,/,-169560924,2a02:26f0:3100:682::716,HSTS,5,False,,,,,,,,
acc-staging-www.hm.com,Error,403,174,acc-staging-www.hm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-17T00:00:00Z,2024-02-16T23:59:59Z,"CN=*.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",*.hm.com,H & M Hennes & Mauritz AB,hm.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,690a70242adce7a45c412c9eee507d7c,5f5c6896729958b1d00ae8336fcc66a033b980393625ea48efd82003282a9033,ctls,acc-staging-www.hm.com,443,https://acc-staging-www.hm.com:443,https,AkamaiGHost,text/html,GET,104.103.165.149,/,-1766442942,2a02:26f0:3100:684::6ae,HSTS,5,False,True,,,,,,,
acc-tablet.hm.com,Error,403,176,acc-tablet.hm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-31T00:00:00Z,2024-02-24T23:59:59Z,"CN=hm-akamai-san1.hm.com, O=H & M Hennes & Mauritz AB, L=Stockholm, C=SE",hm-akamai-san1.hm.com,H & M Hennes & Mauritz AB,www.th.hm.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,79f58bf4300a829c909243437827e93f,cd39d0b83d67ecf77d7d6ff3849e0c5f4786c43644a5ab06dbfb0f437708e462,ctls,acc-tablet.hm.com,443,https://acc-tablet.hm.com:443,https,AkamaiGHost,text/html,GET,104.102.19.185,/,43197620,2a02:26f0:3400:294::716,HSTS,5,False,,,,,,,,
