input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,csp_domains_,tls_wildcard_certificate,final_url
backup.reveantivirus.com,REVE EPS Data Backup | Login,200,17800,backup.reveantivirus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-01T00:00:00Z,2024-01-01T23:59:59Z,CN=*.reveantivirus.com,*.reveantivirus.com,reveantivirus.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,c6ea63da423b286c3f9281e9724e5b00,eac56718b472964cc01c2ee9a0513853867be8871034493edc7cb053978df17b,ctls,backup.reveantivirus.com,443,https://backup.reveantivirus.com:443,https,,text/html,GET,217.172.189.154,/,-764209267,217.172.189.154,Java,344,False,,,True,https://backup.reveantivirus.com/login/login.jsp
connect.reveantivirus.com,403 Forbidden,403,153,,,,,,,,,,,,,,,,,,80,http://connect.reveantivirus.com:80,http,nginx/1.12.2,text/html,GET,188.138.75.208,/,-1298480087,188.138.75.208,Nginx:1.12.2,8,False,,,,
cpcalendars.endpointcloud.reveantivirus.com,503 Service Unavailable,503,428,,,,,,,,,,,,,,,,,,80,http://cpcalendars.endpointcloud.reveantivirus.com:80,http,Apache,text/html,GET,72.21.26.168,/,-991427891,72.21.26.168,Apache,12,False,,,,
cpcontacts.info.reveantivirus.com,503 Service Unavailable,503,428,cpcontacts.info.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T00:00:00Z,2023-08-13T23:59:59Z,CN=info.reveantivirus.com,info.reveantivirus.com,www.info.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",462eeb80d87ccc58bfa2fc25eb42fff3,a4a8d9fddcbeccff0db860f0cc916250ac22da7479329ce9c160f16d6f87b4e2,ctls,cpcontacts.info.reveantivirus.com,443,https://cpcontacts.info.reveantivirus.com:443,https,Apache,text/html,GET,72.21.26.167,/,-991427891,72.21.26.167,Apache,12,False,,,,
ftp.reveantivirus.com,Welcome to CentOS,200,4833,,,,,,,,,,,,,,,,,,80,http://ftp.reveantivirus.com:80,http,nginx/1.20.1,text/html,GET,185.106.241.55,/,-1909816147,185.106.241.55,Nginx:1.20.1,157,False,,,,
info.reveantivirus.com,,200,166,info.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T00:00:00Z,2023-08-13T23:59:59Z,CN=info.reveantivirus.com,info.reveantivirus.com,www.info.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",462eeb80d87ccc58bfa2fc25eb42fff3,a4a8d9fddcbeccff0db860f0cc916250ac22da7479329ce9c160f16d6f87b4e2,ctls,info.reveantivirus.com,443,https://info.reveantivirus.com:443,https,Apache,text/html,GET,72.21.26.167,/,146231931,72.21.26.167,Apache,7,False,,url=https://www.ic-rmm1.eu/ic-cmtp/?setevent=6,,
mail.info.reveantivirus.com,,200,166,mail.info.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T00:00:00Z,2023-08-13T23:59:59Z,CN=info.reveantivirus.com,info.reveantivirus.com,www.info.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",462eeb80d87ccc58bfa2fc25eb42fff3,a4a8d9fddcbeccff0db860f0cc916250ac22da7479329ce9c160f16d6f87b4e2,ctls,mail.info.reveantivirus.com,443,https://mail.info.reveantivirus.com:443,https,Apache,text/html,GET,72.21.26.167,/,146231931,72.21.26.167,Apache,7,False,,url=https://www.ic-rmm1.eu/ic-cmtp/?setevent=6,,
mail.reveantivirus.com,403 Forbidden,403,318,,,,,,,,,,,,,,,,,,80,http://mail.reveantivirus.com:80,http,Apache,text/html,GET,72.21.26.166,/,-1812417198,72.21.26.166,Apache,10,False,,,,
myaccount.reveantivirus.com,Welcome to REVE Antivirus Dashboard,200,11565,,,,,,,,,,,,,,,,,,80,http://myaccount.reveantivirus.com:80,http,,text/html,GET,149.20.185.2,/,-1383134146,149.20.185.2,Java,289,False,,,,http://myaccount.reveantivirus.com/login/index.htm
update.reveantivirus.com,403 Forbidden,403,153,,,,,,,,,,,,,,,,,,80,http://update.reveantivirus.com:80,http,nginx/1.12.2,text/html,GET,188.138.75.208,/,-1298480087,188.138.75.208,Nginx:1.12.2,8,False,,,,
