input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,favicon_path,a_,tech_,lines,failed,knowledgebase_PageType,knowledgebase_pHash,webserver,tls_expired,cdn_name,cdn,tls_mismatched,tls_wildcard_certificate,final_url
1.fdp.api.flipkart.com,,404,87,,1.fdp.api.flipkart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-27T06:12:21Z,2025-09-28T06:12:20Z,"CN=www.1.fdp.api.flipkart.com, O=FLIPKART INTERNET PRIVATE LIMITED, L=Bengaluru, ST=Karnataka, C=IN",www.1.fdp.api.flipkart.com,FLIPKART INTERNET PRIVATE LIMITED,1.fdp.api.flipkart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f465ba50769d48a057f8f786cc6e0e97,16fb22fa692711a4fb92f8acb5f1b003d5ae46a44b30a7993d4de1ad00af1e7d,ctls,1.fdp.api.flipkart.com,443,https://1.fdp.api.flipkart.com,https,application/json,GET,103.243.32.9,/,,/favicon.ico,103.243.32.9,,1,False,error,0,,,,,,,
1.finapi.flipkart.com,,404,87,,1.finapi.flipkart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-27T06:15:41Z,2025-09-28T06:15:40Z,"CN=www.finapi.flipkart.net, O=FLIPKART INTERNET PRIVATE LIMITED, L=Bengaluru, ST=Karnataka, C=IN",www.finapi.flipkart.net,FLIPKART INTERNET PRIVATE LIMITED,finapi.flipkart.net,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,63152710973759b23f7d689554dfadfa,01584cfb4b980ac5811a900271aa2958fe23297fb369c3d0e8c43d8f48de3360,ctls,1.finapi.flipkart.com,443,https://1.finapi.flipkart.com,https,application/octet-stream,GET,103.243.32.82,/,,/favicon.ico,103.243.32.82,Nginx,1,False,error,0,nginx,,,,,,
1.fpay.flipkart.com,Error 404 Not Found,404,352,,1.fpay.flipkart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-12-29T04:04:29Z,2026-01-30T04:04:28Z,"CN=www.fpay.flipkart.com, O=FLIPKART INTERNET PRIVATE LIMITED, L=Bengaluru, ST=Karnataka, C=IN",www.fpay.flipkart.com,FLIPKART INTERNET PRIVATE LIMITED,fpay.flipkart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,922fc030a39bfabd9e8f522f82eba09a,dd35bca7f0e1995aaa2215aad12384943db395230bf093bf7a079e16037629e2,ctls,1.fpay.flipkart.com,443,https://1.fpay.flipkart.com,https,text/html,GET,103.243.33.36,/,,/favicon.ico,103.243.33.36,,16,False,error,0,,,,,,,
1.payments.flipkart.com,Error 404 Not Found,404,232,,1.payments.flipkart.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2024-08-17T03:51:14Z,2025-09-18T03:51:13Z,"CN=www.payments.flipkart.com, O=FLIPKART INTERNET PRIVATE LIMITED, L=Bengaluru, ST=Karnataka, C=IN",www.payments.flipkart.com,FLIPKART INTERNET PRIVATE LIMITED,payments.flipkart.com,"CN=GlobalSign ECC OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign ECC OV SSL CA 2018,GlobalSign nv-sa,d35a04a300d1b39ee0ea083066213fd5,ff6ec5413a84e6f87378dfc7f95e2fd51d20abc4611212032d06c53d6ec89925,ctls,1.payments.flipkart.com,443,https://1.payments.flipkart.com,https,text/html,GET,103.243.32.15,/,,/favicon.ico,103.243.32.15,,11,False,error,0,,,,,,,
1.rome.api.flipkart.com,410 Gone,410,136,,,,,,,,,,,,,,,,,,,,80,http://1.rome.api.flipkart.com,http,text/html,GET,103.243.33.5,/,,/favicon.ico,103.243.33.5,Nginx,8,False,nonerror,0,nginx,,,,,,
1.sonic.fdp.api.flipkart.com,,404,87,,1.sonic.fdp.api.flipkart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-08-27T06:11:24Z,2025-09-28T06:11:23Z,"CN=www.sonic.fdp.api.flipkart.com, O=FLIPKART INTERNET PRIVATE LIMITED, L=Bengaluru, ST=Karnataka, C=IN",www.sonic.fdp.api.flipkart.com,FLIPKART INTERNET PRIVATE LIMITED,sonic.fdp.api.flipkart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f3e44bc7287b8c55c55d701487d4651a,7571fec84acba82121d49c34888afb41d6b8d742d67945443862496c790dbef4,ctls,1.sonic.fdp.api.flipkart.com,443,https://1.sonic.fdp.api.flipkart.com,https,application/json,GET,34.36.209.50,/,,/favicon.ico,34.36.209.50,HTTP/3,1,False,error,0,,,google,True,,,
1.upi-gateway-pg.flipkart.com,Error 404 Not Found,404,352,,1.upi-gateway-pg.flipkart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-08-27T06:12:01Z,2025-09-28T06:12:00Z,"CN=www.upi-gateway-pg.flipkart.com, O=FLIPKART INTERNET PRIVATE LIMITED, L=Bengaluru, ST=Karnataka, C=IN",www.upi-gateway-pg.flipkart.com,FLIPKART INTERNET PRIVATE LIMITED,upi-gateway-pg.flipkart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,bcde3747114e9e620836b875e147cf35,8348314d67ec597cb5851d6d81e5394357a83a3bbbae3154b288a467bade9841,ctls,1.upi-gateway-pg.flipkart.com,443,https://1.upi-gateway-pg.flipkart.com,https,text/html,GET,103.243.33.29,/,,/favicon.ico,103.243.33.29,Envoy,16,False,error,0,istio-envoy,,,,,,
1.upi-gateway-prod.flipkart.com,Error 404 Not Found,404,352,,1.upi-gateway-prod.flipkart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-12-29T04:04:41Z,2026-01-30T04:04:40Z,"CN=www.upi-gateway-prod.flipkart.com, O=FLIPKART INTERNET PRIVATE LIMITED, L=Bengaluru, ST=Karnataka, C=IN",www.upi-gateway-prod.flipkart.com,FLIPKART INTERNET PRIVATE LIMITED,upi-gateway-prod.flipkart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,5a59203a1d807dfbc9799d1cbfc17a55,8d29ae34b6dd1be9acc76363b433ca37d3a17fcdead8d6af7d009e281b40da71,ctls,1.upi-gateway-prod.flipkart.com,443,https://1.upi-gateway-prod.flipkart.com,https,text/html,GET,103.243.33.35,/,,/favicon.ico,103.243.33.35,,16,False,error,0,,,,,,,
1.upi-pg.flipkart.com,Error 404 Not Found,404,352,,1.upi-pg.flipkart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-02-08T06:02:00Z,2025-03-11T06:01:59Z,"CN=www.upi-pg.flipkart.com, O=FLIPKART HEALTH LIMITED, L=Kolkata, ST=West Bengal, C=IN",www.upi-pg.flipkart.com,FLIPKART HEALTH LIMITED,upi-pg.flipkart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,4f0a05289943b9551d1ba14461344476,ac4eb6771c04cfdc1160582a935f45f11d701aae242a8ce50a5402977bde9fe9,ctls,1.upi-pg.flipkart.com,443,https://1.upi-pg.flipkart.com,https,text/html,GET,103.243.33.24,/,,/favicon.ico,103.243.33.24,Envoy,16,False,error,0,istio-envoy,,,,,,
1.upi.rome.api.flipkart.com,410 Gone,410,136,,1.upi.rome.api.flipkart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-13T04:07:42Z,2026-02-14T04:07:41Z,"CN=www.1.upi.rome.api.flipkart.com, O=FLIPKART INTERNET PRIVATE LIMITED, L=Bengaluru, ST=Karnataka, C=IN",www.1.upi.rome.api.flipkart.com,FLIPKART INTERNET PRIVATE LIMITED,1.upi.rome.api.flipkart.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,5642688b4620a3b7ff44566bc4008c84,1aaaaf3eaf68198f63ec1a6fcf4890aa90f9568b67cb317f4215815de31d6fb0,ctls,1.upi.rome.api.flipkart.com,443,https://1.upi.rome.api.flipkart.com,https,text/html,GET,103.243.33.38,/,,/favicon.ico,103.243.33.38,Nginx,8,False,nonerror,0,nginx,,,,,,
