new,host,a,aaaa,cname,soa,ns,status_code,has_internal_ips,internal_ips,cdn,cdn-name
[x],amex-checkout.qa.xfinityhome.com,"69.252.250.103, 68.87.85.132, 68.87.76.228, 68.87.68.244, 68.87.72.244","2001:558:fe23:8:69:252:250:103, 2001:558:1004:7:68:87:85:132, 2001:558:1014:c:68:87:76:228, 2001:558:100a:5:68:87:68:244, 2001:558:100e:5:68:87:72:244",qa.xfinityhome.com,"ns.qa.xfinityhome.com, dnsmaster.comcastonline.com","dns102.comcast.net, dns104.comcast.net, dns105.comcast.net, dns101.comcast.net, dns103.comcast.net",NOERROR,,,,
[x],amex-checkout.tps.xfinityhome.com,,,tps.xfinityhome.com,"ns.tps.xfinityhome.com, dnsmaster.comcastonline.com","dns101.comcast.net, dns102.comcast.net, dns103.comcast.net, dns104.comcast.net, dns105.comcast.net",NOERROR,,,,
[x],api07.qa.xfinityhome.com,69.252.80.230,,,"ns.qa.xfinityhome.com, dnsmaster.comcastonline.com",,NOERROR,,,,
[x],assets.qa.xfinityhome.com,,,qa.xfinityhome.com,"ns.qa.xfinityhome.com, dnsmaster.comcastonline.com","dns101.comcast.net, dns102.comcast.net, dns103.comcast.net, dns105.comcast.net, dns104.comcast.net",NOERROR,,,,
[x],bid471e.qa.xfinityhome.com,,,qa.xfinityhome.com,"ns.qa.xfinityhome.com, dnsmaster.comcastonline.com","dns103.comcast.net, dns105.comcast.net, dns104.comcast.net, dns101.comcast.net, dns102.comcast.net",NOERROR,,,,
[x],blogs.tps.xfinityhome.com,,,tps.xfinityhome.com,"ns.tps.xfinityhome.com, dnsmaster.comcastonline.com","dns104.comcast.net, dns101.comcast.net, dns102.comcast.net, dns103.comcast.net, dns105.comcast.net",NOERROR,,,,
[x],configpreferenceslbalpha-intranetpostgresmx.tps.xfinityhome.com,,,tps.xfinityhome.com,"ns.tps.xfinityhome.com, dnsmaster.comcastonline.com","dns104.comcast.net, dns101.comcast.net, dns103.comcast.net, dns102.comcast.net, dns105.comcast.net",NOERROR,,,,
[x],dashboard.qa.xfinityhome.com,,,qa.xfinityhome.com,"ns.qa.xfinityhome.com, dnsmaster.comcastonline.com","dns105.comcast.net, dns104.comcast.net, dns101.comcast.net, dns102.comcast.net, dns103.comcast.net",NOERROR,,,,
[x],error-assets-remote-acc-db2-corp.tps.xfinityhome.com,,,tps.xfinityhome.com,"ns.tps.xfinityhome.com, dnsmaster.comcastonline.com","dns101.comcast.net, dns102.comcast.net, dns103.comcast.net, dns104.comcast.net, dns105.comcast.net",NOERROR,,,,
[x],internal.tps.xfinityhome.com,,,tps.xfinityhome.com,"ns.tps.xfinityhome.com, dnsmaster.comcastonline.com",,NOERROR,,,,
[x],labs-myaws.qa.xfinityhome.com,,,qa.xfinityhome.com,,,NOERROR,,,,
[x],labs-myaws.tps.xfinityhome.com,,,tps.xfinityhome.com,"ns.tps.xfinityhome.com, dnsmaster.comcastonline.com",,NOERROR,,,,
[x],mysql.qa.xfinityhome.com,,,qa.xfinityhome.com,"ns.qa.xfinityhome.com, dnsmaster.comcastonline.com","dns105.comcast.net, dns101.comcast.net, dns103.comcast.net, dns104.comcast.net, dns102.comcast.net",NOERROR,,,,
[x],rdsacsr-wc-b39p.tps.xfinityhome.com,,,tps.xfinityhome.com,"ns.tps.xfinityhome.com, dnsmaster.comcastonline.com","dns101.comcast.net, dns102.comcast.net, dns103.comcast.net, dns105.comcast.net, dns104.comcast.net",NOERROR,,,,
[x],requestinfo.tps.xfinityhome.com,,,tps.xfinityhome.com,"ns.tps.xfinityhome.com, dnsmaster.comcastonline.com","dns105.comcast.net, dns104.comcast.net, dns101.comcast.net, dns102.comcast.net, dns103.comcast.net",NOERROR,,,,
[x],st-ihs.tps.xfinityhome.com,,,tps.xfinityhome.com,"ns.tps.xfinityhome.com, dnsmaster.comcastonline.com","dns105.comcast.net, dns101.comcast.net, dns104.comcast.net, dns102.comcast.net, dns103.comcast.net",NOERROR,,,,
[x],update-usersinternal-sqlserverslaveconfig.tps.xfinityhome.com,,,tps.xfinityhome.com,"ns.tps.xfinityhome.com, dnsmaster.comcastonline.com",,NOERROR,,,,
[x],uploadconfluence-s3-euwmediaconfig-helpdesk.qa.xfinityhome.com,"69.252.250.103, 68.87.85.132, 68.87.76.228, 68.87.68.244, 68.87.72.244","2001:558:fe23:8:69:252:250:103, 2001:558:1004:7:68:87:85:132, 2001:558:1014:c:68:87:76:228, 2001:558:100a:5:68:87:68:244, 2001:558:100e:5:68:87:72:244",qa.xfinityhome.com,"ns.qa.xfinityhome.com, dnsmaster.comcastonline.com","dns103.comcast.net, dns101.comcast.net, dns104.comcast.net, dns105.comcast.net, dns102.comcast.net",NOERROR,,,,
[x],wearebottoms.qa.xfinityhome.com,,,qa.xfinityhome.com,"ns.qa.xfinityhome.com, dnsmaster.comcastonline.com","dns105.comcast.net, dns104.comcast.net, dns101.comcast.net, dns102.comcast.net, dns103.comcast.net",NOERROR,,,,
[x],wp.qa.xfinityhome.com,,,qa.xfinityhome.com,"ns.qa.xfinityhome.com, dnsmaster.comcastonline.com","dns104.comcast.net, dns101.comcast.net, dns102.comcast.net, dns103.comcast.net, dns105.comcast.net",NOERROR,,,,
[x],xh01-stream10-ho.qa.xfinityhome.com,,,qa.xfinityhome.com,"ns.qa.xfinityhome.com, dnsmaster.comcastonline.com","dns101.comcast.net, dns102.comcast.net, dns103.comcast.net, dns105.comcast.net, dns104.comcast.net",NOERROR,,,,
[x],xh01-stream10-ho.tps.xfinityhome.com,,,tps.xfinityhome.com,"ns.tps.xfinityhome.com, dnsmaster.comcastonline.com","dns104.comcast.net, dns101.comcast.net, dns102.comcast.net, dns103.comcast.net, dns105.comcast.net",NOERROR,,,,
[x],xhqenv02cls-fxbo-01.xfinityhome.com,96.119.0.225,,xhqenv02cls-fxbo-01.sys.comcast.net,"dns101.comcast.net, dnsadmin.comcast.net",,NOERROR,,,,
,0-7-8-4.qa.xfinityhome.com,,,qa.xfinityhome.com,"ns.qa.xfinityhome.com, dnsmaster.comcastonline.com","dns101.comcast.net, dns102.comcast.net, dns103.comcast.net, dns105.comcast.net, dns104.comcast.net",NOERROR,,,,
,0-7-8-4.tps.xfinityhome.com,,,tps.xfinityhome.com,"ns.tps.xfinityhome.com, dnsmaster.comcastonline.com",,NOERROR,,,,
,062e.tps.xfinityhome.com,,,tps.xfinityhome.com,"ns.tps.xfinityhome.com, dnsmaster.comcastonline.com","dns102.comcast.net, dns103.comcast.net, dns104.comcast.net, dns105.comcast.net, dns101.comcast.net",NOERROR,,,,
,1-day.qa.xfinityhome.com,,,qa.xfinityhome.com,"ns.qa.xfinityhome.com, dnsmaster.comcastonline.com",,NOERROR,,,,
