new,host,ttl,a,soa,status_code,mx,txt,has_internal_ips,internal_ips,cname,aaaa,caa,ns
[x],admin.glassdoor.com,300,"10.3.53.48, 10.3.43.138","{'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,True,"10.3.53.48, 10.3.43.138",internal-k8s-retool-retool-1ec98118ef-271697465.us-east-1.elb.amazonaws.com,,,
[x],glassdoor.com,300,"104.17.64.70, 104.16.25.46","{'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"aspmx2.googlemail.com, aspmx3.googlemail.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com",,,,,,"digicert.com; cansignhttpexchanges=yes, geotrust.com, letsencrypt.org, pki.goog; cansignhttpexchanges=yes, ssl.com, amazonaws.com, comodoca.com","jill.ns.cloudflare.com, noah.ns.cloudflare.com"
,about-content.glassdoor.com,1800,,"{'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,about-us-qa.glassdoor.com,300,"104.17.64.70, 104.16.25.46","{'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,about-us.glassdoor.com,300,"104.17.64.70, 104.16.25.46","{'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,admin-qa.glassdoor.com,300,"172.25.0.162, 172.25.1.12, 172.25.5.71, 172.25.10.63","{'name': 'us-west-2.elb.amazonaws.com', 'ns': 'ns-332.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-west-2.elb.amazonaws.com', 'ns': 'ns-332.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-west-2.elb.amazonaws.com', 'ns': 'ns-332.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,True,"172.25.0.162, 172.25.1.12, 172.25.5.71, 172.25.10.63",internal-k8s-retool-retool-6adae7c66d-2071390097.us-west-2.elb.amazonaws.com,,,
,admin-stage.glassdoor.com,300,"10.4.47.176, 10.4.50.65","{'name': 'us-west-1.elb.amazonaws.com', 'ns': 'ns-699.awsdns-23.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-west-1.elb.amazonaws.com', 'ns': 'ns-699.awsdns-23.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-west-1.elb.amazonaws.com', 'ns': 'ns-699.awsdns-23.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-west-1.elb.amazonaws.com', 'ns': 'ns-699.awsdns-23.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-west-1.elb.amazonaws.com', 'ns': 'ns-699.awsdns-23.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-west-1.elb.amazonaws.com', 'ns': 'ns-699.awsdns-23.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,True,"10.4.47.176, 10.4.50.65",internal-k8s-retool-retool-f24aa0ae37-1380085765.us-west-1.elb.amazonaws.com,,,
,ads.glassdoor.com,300,"104.16.25.46, 104.17.64.70","{'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,agencies.glassdoor.com,143,,"{'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","google-site-verification=5FMKbeeQbsPN_D4x7xIcd-3w83U9Y6xi41AOmLCaQOY, v=spf1 include:_spf.google.com include:sendgrid.net -all",,,,,,
,ajuda.glassdoor.com,300,,"{'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'glassdoor.com', 'ns': 'jill.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211469, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
