input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,csp_domains_,tls_self_signed,tls_mismatched,tls_subject_org_
*.instamojo.com,eCommerce Website Builder for D2C Businesses - Create a Free Website on Instamojo,200,241004,www.instamojo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-04-29T23:59:59Z,CN=*.instamojo.com,*.instamojo.com,instamojo.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,09cf20cb6576b429c3f0fa2e3555bd36,8dcbcbef93bf1f4eb6a1c6a68aeaedf1a9570441831cc2ff03854411db5b117f,True,ctls,www.instamojo.com,,443,https://instamojo.com:443,https,cloudflare,text/html,GET,43.204.254.117,/,1545200286,13.235.101.218,Yoast SEO:18.9,3563,False,,https://www.instamojo.com:443/,,,,
24x7.stores.instamojo.com,24x7,200,194936,24x7.myinstamojo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-11-08T23:59:59Z,CN=*.myinstamojo.com,*.myinstamojo.com,*.myinstamojo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9d1ea3af745eb3a1f9cd04f3d8cb027,6947772e60d85c6324ce0e7a042a32be23a1ed367d23f1efd06277d096909565,True,ctls,24x7.myinstamojo.com,,443,https://24x7.stores.instamojo.com:443,https,nginx,text/html,GET,13.235.195.253,/,-269232423,13.126.69.125,React,49,False,,https://24x7.myinstamojo.com/,*.instamojo.com,,,
3wud.stores.instamojo.com,Oops!,200,114479,3wud.stores.instamojo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-07T00:00:00Z,2024-01-06T23:59:59Z,CN=manage.instamojo.com,manage.instamojo.com,subscription.instamojo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,be6f48bbd3a36ea0a621e3740c9efb70,d2d9b970abffe857ce4a0f581c0ec2088849a83e6d2e4c83a087ab5ff3363166,True,ctls,3wud.stores.instamojo.com,,443,https://3wud.stores.instamojo.com:443,https,nginx,text/html,GET,13.126.69.125,/,-269232423,13.235.195.253,Nginx,29,False,,,,,,
7eov.stores.instamojo.com,Oops!,200,114479,7eov.stores.instamojo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-07T00:00:00Z,2024-01-06T23:59:59Z,CN=manage.instamojo.com,manage.instamojo.com,subscription.instamojo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,be6f48bbd3a36ea0a621e3740c9efb70,d2d9b970abffe857ce4a0f581c0ec2088849a83e6d2e4c83a087ab5ff3363166,True,ctls,7eov.stores.instamojo.com,,443,https://7eov.stores.instamojo.com:443,https,nginx,text/html,GET,13.126.69.125,/,-269232423,13.235.195.253,Nginx,29,False,,,,,,
aadoodles07.stores.instamojo.com,aadoodles07,200,191753,aadoodles07.myinstamojo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-11-08T23:59:59Z,CN=*.myinstamojo.com,*.myinstamojo.com,*.myinstamojo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9d1ea3af745eb3a1f9cd04f3d8cb027,6947772e60d85c6324ce0e7a042a32be23a1ed367d23f1efd06277d096909565,True,ctls,aadoodles07.myinstamojo.com,,443,https://aadoodles07.stores.instamojo.com:443,https,nginx,text/html,GET,13.126.69.125,/,-269232423,13.235.195.253,React,39,False,,https://aadoodles07.myinstamojo.com/,*.instamojo.com,,,
abhishekanand592.stores.instamojo.com,Educational E-BOOK,200,178080,abhishekanand592.myinstamojo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-11-08T23:59:59Z,CN=*.myinstamojo.com,*.myinstamojo.com,*.myinstamojo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9d1ea3af745eb3a1f9cd04f3d8cb027,6947772e60d85c6324ce0e7a042a32be23a1ed367d23f1efd06277d096909565,True,ctls,abhishekanand592.myinstamojo.com,,443,https://abhishekanand592.stores.instamojo.com:443,https,nginx,text/html,GET,13.126.69.125,/,-269232423,13.235.195.253,React,39,False,,https://abhishekanand592.myinstamojo.com/,*.instamojo.com,,,
acae.stores.instamojo.com,acae,200,196073,acae.myinstamojo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-11-08T23:59:59Z,CN=*.myinstamojo.com,*.myinstamojo.com,*.myinstamojo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9d1ea3af745eb3a1f9cd04f3d8cb027,6947772e60d85c6324ce0e7a042a32be23a1ed367d23f1efd06277d096909565,True,ctls,acae.myinstamojo.com,,443,https://acae.stores.instamojo.com:443,https,nginx,text/html,GET,13.235.195.253,/,-269232423,13.126.69.125,React,49,False,,https://acae.myinstamojo.com/,*.instamojo.com,,,
achieversrule.stores.instamojo.com,Oops!,200,113056,achieversrule.stores.instamojo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-07T00:00:00Z,2024-01-06T23:59:59Z,CN=manage.instamojo.com,manage.instamojo.com,subscription.instamojo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,be6f48bbd3a36ea0a621e3740c9efb70,d2d9b970abffe857ce4a0f581c0ec2088849a83e6d2e4c83a087ab5ff3363166,True,ctls,achieversrule.stores.instamojo.com,,443,https://achieversrule.stores.instamojo.com:443,https,nginx,text/html,GET,13.126.69.125,/,-269232423,13.235.195.253,Nginx,28,False,,,,,,
acube.stores.instamojo.com,acube,200,177452,acube.myinstamojo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-11-08T23:59:59Z,CN=*.myinstamojo.com,*.myinstamojo.com,*.myinstamojo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9d1ea3af745eb3a1f9cd04f3d8cb027,6947772e60d85c6324ce0e7a042a32be23a1ed367d23f1efd06277d096909565,True,ctls,acube.myinstamojo.com,,443,https://acube.stores.instamojo.com:443,https,nginx,text/html,GET,13.235.195.253,/,-269232423,13.126.69.125,React,39,False,,https://acube.myinstamojo.com/,*.instamojo.com,,,
admin-integrations.instamojo.com,Sign In,403,2417,admin-integrations.instamojo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-11-27T23:59:59Z,CN=instamojo.com,instamojo.com,*.instamojo.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,59c51039dd04de94e6dfd72d8a039c04,9cb745845abf2d88ade0122301c79bd4517c84a1377acc2ddee86397f90aa280,True,ctls,admin-integrations.instamojo.com,,443,https://admin-integrations.instamojo.com:443,https,,text/html,GET,43.204.254.117,/,-1919257834,13.235.101.218,,118,False,,,,,,
