input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,favicon,tls_expired,final_url
api.rupiahtoken.com,,502,15,api.rupiahtoken.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-18T11:31:41Z,2025-04-18T12:29:59Z,CN=rupiahtoken.com,rupiahtoken.com,*.rupiahtoken.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,17f5f78bcdd8b76dd671b1caf568d68e,84911c6e75f89a0a746bab33546538a6d061ee0321b81658cf48043ec76f4554,True,ctls,api.rupiahtoken.com,cloudflare,443,https://api.rupiahtoken.com,https,cloudflare,text/plain,GET,104.21.53.156,/,/favicon.ico,2606:4700:3034::ac43:d6a0,HTTP/3,1,False,True,error,0,,,
config.rupiahtoken.com,,530,16,config.rupiahtoken.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-18T11:31:41Z,2025-04-18T12:29:59Z,CN=rupiahtoken.com,rupiahtoken.com,*.rupiahtoken.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,17f5f78bcdd8b76dd671b1caf568d68e,84911c6e75f89a0a746bab33546538a6d061ee0321b81658cf48043ec76f4554,True,ctls,config.rupiahtoken.com,cloudflare,443,https://config.rupiahtoken.com,https,cloudflare,text/plain,GET,172.67.214.160,/,/favicon.ico,2606:4700:3034::ac43:d6a0,HTTP/3,1,False,True,error,0,,,
content.rupiahtoken.com,Application Error,503,506,content.rupiahtoken.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-18T11:31:41Z,2025-04-18T12:29:59Z,CN=rupiahtoken.com,rupiahtoken.com,*.rupiahtoken.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,17f5f78bcdd8b76dd671b1caf568d68e,84911c6e75f89a0a746bab33546538a6d061ee0321b81658cf48043ec76f4554,True,ctls,content.rupiahtoken.com,cloudflare,443,https://content.rupiahtoken.com,https,cloudflare,text/html,GET,172.67.214.160,/,/favicon.ico,2606:4700:3034::ac43:d6a0,HTTP/3,26,False,True,other,0,,,
dashboard1.rupiahtoken.com,,404,107,,,,,,,,,,,,,,,,,,,,80,http://dashboard1.rupiahtoken.com,http,Vercel,text/plain,GET,66.33.60.35,/,/favicon.ico,66.33.60.67,Vercel,6,False,,error,0,,,
dev--frontend.rupiahtoken.com,RupiahToken - The Most Adopted Indonesian Rupiah Stablecoin,200,138502,dev--frontend.rupiahtoken.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-18T11:31:41Z,2025-04-18T12:29:59Z,CN=rupiahtoken.com,rupiahtoken.com,*.rupiahtoken.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,17f5f78bcdd8b76dd671b1caf568d68e,84911c6e75f89a0a746bab33546538a6d061ee0321b81658cf48043ec76f4554,True,ctls,dev--frontend.rupiahtoken.com,cloudflare,443,https://dev--frontend.rupiahtoken.com,https,cloudflare,text/html,GET,172.67.214.160,/,/static/favicons/apple-touch-icon.png,2606:4700:3034::ac43:d6a0,Webpack,365,False,True,other,0,-6462053,,
localization.rupiahtoken.com,,530,16,localization.rupiahtoken.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-18T11:31:41Z,2025-04-18T12:29:59Z,CN=rupiahtoken.com,rupiahtoken.com,*.rupiahtoken.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,17f5f78bcdd8b76dd671b1caf568d68e,84911c6e75f89a0a746bab33546538a6d061ee0321b81658cf48043ec76f4554,True,ctls,localization.rupiahtoken.com,cloudflare,443,https://localization.rupiahtoken.com,https,cloudflare,text/plain,GET,172.67.214.160,/,/favicon.ico,2606:4700:3034::ac43:d6a0,HTTP/3,1,False,True,error,0,,,
mail.rupiahtoken.com,Heroku | Application Error,404,563,,,,,,,,,,,,,,,,,,,,80,http://mail.rupiahtoken.com,http,heroku-router,text/html,GET,13.248.244.96,/,/favicon.ico,99.83.220.108,,27,False,,other,0,,,
metabase.rupiahtoken.com,,530,16,metabase.rupiahtoken.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-18T11:31:41Z,2025-04-18T12:29:59Z,CN=rupiahtoken.com,rupiahtoken.com,*.rupiahtoken.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,17f5f78bcdd8b76dd671b1caf568d68e,84911c6e75f89a0a746bab33546538a6d061ee0321b81658cf48043ec76f4554,True,ctls,metabase.rupiahtoken.com,cloudflare,443,https://metabase.rupiahtoken.com,https,cloudflare,text/plain,GET,172.67.214.160,/,/favicon.ico,2606:4700:3030::6815:359c,HTTP/3,1,False,True,error,0,,,
rupiahtoken.com,RupiahToken - The Most Adopted Indonesian Rupiah Stablecoin,200,138501,rupiahtoken.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-18T11:31:41Z,2025-04-18T12:29:59Z,CN=rupiahtoken.com,rupiahtoken.com,*.rupiahtoken.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,17f5f78bcdd8b76dd671b1caf568d68e,84911c6e75f89a0a746bab33546538a6d061ee0321b81658cf48043ec76f4554,True,ctls,rupiahtoken.com,cloudflare,443,https://rupiahtoken.com,https,cloudflare,text/html,GET,104.21.53.156,/,/static/favicons/apple-touch-icon.png,2606:4700:3030::6815:359c,Webpack,365,False,True,other,0,-6462053,,
sandbox.dashboard.rupiahtoken.com,,404,107,sandbox.dashboard.rupiahtoken.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-28T07:03:48Z,2025-04-28T07:03:47Z,CN=sandbox.dashboard.rupiahtoken.com,sandbox.dashboard.rupiahtoken.com,sandbox.dashboard.rupiahtoken.com,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,5bd764cc0ac1e47ffeae8e90cad6181a,858ec87baa5ff96603ec4cb0e30f4f95f531a6b660e362f4a0ed18557486cc3c,,ctls,sandbox.dashboard.rupiahtoken.com,,443,https://sandbox.dashboard.rupiahtoken.com,https,Vercel,text/plain,GET,66.33.60.194,/,/favicon.ico,76.76.21.123,Vercel,6,False,,error,0,,,
sandbox.rupiahtoken.com,,404,107,sandbox.rupiahtoken.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-18T11:31:41Z,2025-04-18T12:29:59Z,CN=rupiahtoken.com,rupiahtoken.com,*.rupiahtoken.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,17f5f78bcdd8b76dd671b1caf568d68e,84911c6e75f89a0a746bab33546538a6d061ee0321b81658cf48043ec76f4554,True,ctls,sandbox.rupiahtoken.com,cloudflare,443,https://sandbox.rupiahtoken.com,https,cloudflare,text/plain,GET,172.67.214.160,/,/favicon.ico,2606:4700:3034::ac43:d6a0,Vercel,6,False,True,error,0,,,
staging.dashboard.rupiahtoken.com,,404,107,staging.dashboard.rupiahtoken.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-05-13T08:01:08Z,2024-08-11T08:01:07Z,CN=staging.dashboard.rupiahtoken.com,staging.dashboard.rupiahtoken.com,staging.dashboard.rupiahtoken.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,03417ada37ae531a23772be564bb313c,a4db7226f3dbccd501f0cc6f5ead135627d8603154f3840d04c9194a6627be93,,ctls,staging.dashboard.rupiahtoken.com,,443,https://staging.dashboard.rupiahtoken.com,https,Vercel,text/plain,GET,76.76.21.93,/,/favicon.ico,66.33.60.193,Vercel,6,False,,error,0,,True,
