new,host,a,cname,soa,status_code,aaaa,cdn,cdn-name,mx,ns,txt,has_internal_ips,internal_ips,caa
,av.dev.bbc.com,132.185.162.223,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,bag.api.bbc.com,"63.35.154.58, 54.77.156.78, 54.228.208.51","bbc-activity-gateway.live.d918634911cdcd24.xhst.bbci.co.uk, live-bag-alb-1454353449.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,bag.int.api.bbc.com,"54.154.97.77, 52.17.80.228","bbc-activity-gateway.int.3665e16f12cd9093.xhst.bbci.co.uk, int-bag-alb-869052425.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,bag.stage.api.bbc.com,"54.74.28.19, 52.18.118.198","bbc-activity-gateway.stage.3665e16f12cd9093.xhst.bbci.co.uk, stage-bag-alb-996068635.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,bag.test.api.bbc.com,"52.19.132.164, 63.33.26.229","bbc-activity-gateway.test.3665e16f12cd9093.xhst.bbci.co.uk, test-bag-alb-977010650.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,bbc.com.pri.bbc.com,,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
,bbcafricachannels.bbc.com,,,"eu.ns04-bbcstudios.com, bbcstudios-hostmaster.bbcstudios.com",NOERROR,,,,,"asia.ns04-bbcstudios.com, eu.ns04-bbcstudios.com, us.ns04-bbcstudios.com, aus.ns04-bbcstudios.com",v=spf1 include:cust-spf.exacttarget.com -all,,,
,bluey.bbc.com,198.245.82.46,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,inbound-reply.s6.exacttarget.com,"ns0.bbcdns.net, ns0.bbcdns.net.uk, ns1.bbcdns.net, ns1.bbcdns.net.uk",v=spf1 ip4:132.185.144.0/24 ip4:132.185.160.0/24 ip4:132.185.161.0/24 include:cust-spf.exacttarget.com include:spf.messagelabs.com ~all,,,
,ca.shop.bbc.com,23.227.38.74,"bbc-shop-ca.myshopify.com, shops.myshopify.com","dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,"letsencrypt.org, globalsign.com, digicert.com"
,campaign-attribution-gateway.api.bbc.com,"34.249.52.226, 79.125.90.214, 54.171.20.179","campaign-attribution-gateway.live.d918634911cdcd24.xhst.bbci.co.uk, live-cag-alb-783852240.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,campaign-attribution-gateway.int.api.bbc.com,"54.195.253.55, 54.195.181.87","campaign-attribution-gateway.int.3665e16f12cd9093.xhst.bbci.co.uk, int-cag-alb-826382600.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,campaign-attribution-gateway.stage.api.bbc.com,"52.18.171.0, 52.213.51.75","campaign-attribution-gateway.stage.3665e16f12cd9093.xhst.bbci.co.uk, stage-cag-alb-928693762.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,campaign-attribution-gateway.test.api.bbc.com,"34.249.19.60, 52.208.135.200","campaign-attribution-gateway.test.3665e16f12cd9093.xhst.bbci.co.uk, test-cag-alb-977518140.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,cec.api.bbc.com,"52.51.13.184, 34.255.75.220, 52.18.30.5","cec.89be300a5a3d9154.xhst.bbci.co.uk, live-cec-elasticl-3qnfbedbosva-2052963081.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,cf.specialfeatures.external.bbc.com,,,,NOERROR,,,,,,,,,
,chefgcp.email.bbc.com,,,,NOERROR,,,,,,,,,
,click.bbcafricachannels.bbc.com,68.232.203.70,click.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,click.bbcamerica.bbc.com,68.232.203.70,click.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,click.bbcgoodfood.bbc.com,68.232.203.70,click.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,click.bbciplayer.bbc.com,68.232.203.70,click.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,"ns2.exacttarget.com, ns4.exacttarget.com, ns3.exacttarget.com, ns1.exacttarget.com",,,,
,click.bluey.bbc.com,68.232.203.70,click.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,click.crmdev.bbc.com,68.232.203.70,click.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,click.email.bbc.com,128.17.96.19,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,click.emails.bbc.com,68.232.203.70,click.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,click.events.bbc.com,68.232.203.70,click.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,click.storeuk.bbc.com,68.232.203.70,click.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,click.topgear.bbc.com,68.232.203.70,click.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,click.uktv.bbc.com,68.232.203.70,click.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,cloud.bbcafricachannels.bbc.com,198.245.82.44,pub.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,cloud.bluey.bbc.com,198.245.82.44,pub.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,cloud.email.bbc.com,128.17.80.43,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,"ns3.exacttarget.com, ns2.exacttarget.com, ns1.exacttarget.com",,,,
