new,host,a,cname,soa,status_code,aaaa,cdn,cdn-name,mx,ns,txt,has_internal_ips,internal_ips,caa
,image.bbcearth.bbc.com,"2.23.209.171, 2.23.209.135","tlsprovisioning-san-s6-5.edgekey.net, e80032.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3500:1b::1724:a399, 2a02:26f0:3500:1b::1724:a39a",,,,,,,,
,image.bbcgames.bbc.com,"185.225.250.56, 185.225.250.32","images.s6.exacttarget.com.edgesuite.net, a1051.g.akamai.net","n0g.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,image.bbcgoodfood.bbc.com,"2.23.209.162, 2.23.209.174","tlsprovisioning-san-s6-2.edgekey.net, e90836.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:22::1726:62fa, 2a02:26f0:480:22::1726:62dc",,,,,,,,
,image.bbciplayer.bbc.com,"23.221.227.29, 23.221.227.43","images.s6.exacttarget.com.edgesuite.net, a1051.g.akamai.net","n0g.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,image.bluey.bbc.com,"104.126.37.128, 104.126.37.162","tlghczc94tjtl3ctxjlwdvc4zk-0.image-sap.sfmc-content.com, tlsprovisioning-san-s6-6.edgekey.net, e132357.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3100::1735:2ba2, 2a02:26f0:3100::1725:e271",,,,,,,,
,image.crmdev.bbc.com,,"images.s6.exacttarget.com.edgesuite.net, a1051.g.akamai.net","n0g.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,image.email.bbc.com,"104.126.37.130, 104.126.37.162","tlsprovisioning-san-s6-2.edgekey.net, e90836.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3100::1725:e250, 2a02:26f0:3100::1735:2bb3",,,,,,,,
,image.events.bbc.com,"88.221.24.104, 88.221.24.33","tlsprovisioning-san-s6-6.edgekey.net, e132357.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:b200::58dd:18a2, 2a02:26f0:b200::58dd:18a8",,,,,,,,
,image.storeuk.bbc.com,"2.18.121.142, 2.18.121.138","images.s6.exacttarget.com.edgesuite.net, a1051.g.akamai.net","n0g.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,image.topgear.bbc.com,"2.23.209.138, 2.23.209.184","tlsprovisioning-san-s6-6.edgekey.net, e132357.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3500:1b::1724:a39c, 2a02:26f0:3500:1b::1724:a388",,,,,,,,
,image.uktv.bbc.com,"23.55.110.196, 23.55.110.182","images.s6.exacttarget.com.edgesuite.net, a1051.g.akamai.net","n0g.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,imageresizer-preprod.player.bbc.com,2.16.30.8,"imageresizer-preprod.player.bbc.com.edgekey.net, e19.e12.akamaiedge.net","n0e12.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,imageresizer.player.bbc.com,184.51.132.32,"imageresizer.player.bbc.com.edgekey.net, e19.e12.akamaiedge.net","n0e12.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,information-syndication.api.bbc.com,"52.214.212.41, 52.214.214.125, 54.154.124.37",information-syndication.710a83ed2724cb9f.xhst.bbci.co.uk,"ns-1756.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,int.bbc.com,"151.101.64.82, 151.101.128.82, 151.101.192.82, 151.101.0.82",int.bbc.co.uk,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,"2a04:4e42:600::82, 2a04:4e42::82, 2a04:4e42:200::82, 2a04:4e42:400::82",True,fastly,,"ns0.bbcdns.net, ns0.bbcdns.net.uk, ns1.bbcdns.net, ns1.bbcdns.net.uk",,,,
,int.staff.bbc.com,"18.160.46.39, 18.160.46.124, 18.160.46.5, 18.160.46.78",,"ns-529.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:24f3:7a00:13:ed6d:6d40:93a1, 2600:9000:24f3:6600:13:ed6d:6d40:93a1, 2600:9000:24f3:ba00:13:ed6d:6d40:93a1, 2600:9000:24f3:b400:13:ed6d:6d40:93a1, 2600:9000:24f3:4a00:13:ed6d:6d40:93a1, 2600:9000:24f3:5c00:13:ed6d:6d40:93a1, 2600:9000:24f3:7000:13:ed6d:6d40:93a1, 2600:9000:24f3:4c00:13:ed6d:6d40:93a1",True,cloudfront,,,,,,
,iplayer.bbc.com,,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,labsusers.emails.bbc.com,54.144.128.85,,,NOERROR,,,,,,,,,
,li.bbc.com,"23.55.161.57, 23.55.161.48","650d7d375b2ba413ad89566c5327e0b6.edgesuite.net, a1826.g1.akamai.net","n0g1.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,live.bbc.com,,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,localhost.bbcamerica.bbc.com,127.0.0.1,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,"ns3.exacttarget.com, ns2.exacttarget.com, ns1.exacttarget.com",,True,127.0.0.1,
,localhost.bbcgoodfood.bbc.com,127.0.0.1,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,True,127.0.0.1,
,localhost.crmdev.bbc.com,127.0.0.1,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,True,127.0.0.1,
,localhost.email.bbc.com,127.0.0.1,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,True,127.0.0.1,
,localhost.emails.bbc.com,127.0.0.1,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,"ns1.exacttarget.com, ns2.exacttarget.com, ns3.exacttarget.com",,True,127.0.0.1,
,localhost.events.bbc.com,,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,localhost.topgear.bbc.com,127.0.0.1,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,"ns1.exacttarget.com, ns2.exacttarget.com, ns3.exacttarget.com",,True,127.0.0.1,
,localhost.uktv.bbc.com,127.0.0.1,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,True,127.0.0.1,
,lyncdiscover.bbc.com,52.112.192.14,webdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,2603:1027:0:48::21,,,,,,,,
,lyncdiscover.dev.bbc.com,212.58.230.167,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,m.bbc.com,"212.58.244.162, 212.58.249.150",m.bbc.com.pri.bbc.com,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
,m.bbc.com.pri.bbc.com,"212.58.249.150, 212.58.244.162",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
,m.int.bbc.com,212.58.228.113,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,m.stage.bbc.com,,m.stage.bbc.com.pri.bbc.com,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
,m.stage.bbc.com.pri.bbc.com,"212.58.249.75, 212.58.244.159",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
,m.test.bbc.com,212.58.228.114,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,main.dc.tps.bbc.com.pri.bbc.com,"212.58.244.71, 212.58.249.213",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
,meet.dev.bbc.com,212.58.230.167,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,moderateduser.api.bbc.com,"52.48.218.57, 52.208.77.14, 52.18.168.171","moderateduser.e5f3e20bd9808636.xhst.bbci.co.uk, live-mode-componen-1jqj1g18xzy5s-999677840.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,moderateduser.int.api.bbc.com,,"moderateduser.int.8a6c003eea4a00ec.xhst.bbci.co.uk, int-moder-componen-pr2hpvmdaq1b-514308162.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,moderateduser.test.api.bbc.com,52.16.240.121,"moderateduser.test.8a6c003eea4a00ec.xhst.bbci.co.uk, test-mode-componen-k9t8oesdof8e-909446160.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,moderation.int.api.bbc.com,52.17.166.49,"moderation-service.int.8a6c003eea4a00ec.xhst.bbci.co.uk, int-moder-componen-124t36xa13l2c-153958337.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,moderation.test.api.bbc.com,54.220.215.184,"moderation-service.test.8a6c003eea4a00ec.xhst.bbci.co.uk, test-mode-componen-1h2r2y2m2hko9-1664915812.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,mta.bbcafricachannels.bbc.com,68.232.203.232,,"eu.ns04-bbcstudios.com, bbcstudios-hostmaster.bbcstudios.com",NOERROR,,,,,,,,,
,mta.bbcamerica.bbc.com,,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,mta.bbcgoodfood.bbc.com,68.232.203.232,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,mta.bbciplayer.bbc.com,68.232.203.234,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,mta.bbcshop.bbc.com,68.232.203.237,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,mta.crmdev.bbc.com,136.147.184.6,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,mta.email.bbc.com,198.245.84.99,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,"ns2.exacttarget.com, ns1.exacttarget.com, ns3.exacttarget.com",,,,
,mta.storeuk.bbc.com,,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,mta.topgear.bbc.com,68.232.203.235,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,mta.uktv.bbc.com,68.232.203.238,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,mta2.emails.bbc.com,136.147.184.5,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,mta2.storeuk.bbc.com,136.147.184.12,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,mta3.emails.bbc.com,136.147.184.13,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,mta4.emails.bbc.com,136.147.184.14,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,mvt.api.bbc.com,54.144.128.85,,,NOERROR,,,,,,,,,
,news-switcher-proxy-uk.api.bbc.com,"3.10.251.233, 3.11.10.120",news-switcher-proxy-uk.ee74d3541ebec4a3.xhst.bbci.co.uk,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,newton.api.bbc.com,"52.48.176.96, 54.76.14.132",newton.a9193e8608fd0153.xhst.bbci.co.uk,"ns-14.awsdns-01.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,newton.test.api.bbc.com,34.255.230.255,newton.test.a86f587b6ef86000.xhst.bbci.co.uk,"ns-579.awsdns-08.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,nordic.bbc.com,198.245.82.46,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,inbound-reply.s6.exacttarget.com,"ns2.exacttarget.com, ns1.exacttarget.com, ns3.exacttarget.com, ns4.exacttarget.com","spf2.0/pra include:cust-senderid.exacttarget.com -all, v=spf1 include:cust-spf.exacttarget.com -all",,,
,nsi.activity.api.bbc.com,"34.250.50.95, 63.32.203.106, 34.250.225.36","activity-writer-nsi.live.24ca1eb415514906.xhst.bbci.co.uk, live-activity-writer-nsi-alb-1138072612.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,nsi.activity.int.api.bbc.com,,"activity-writer-nsi.int.fdca55c56af24a70.xhst.bbci.co.uk, int-activity-writer-nsi-alb-872571506.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,nsi.activity.stage.api.bbc.com,"34.240.179.242, 34.252.20.60, 34.249.106.132","activity-writer-nsi.stage.fdca55c56af24a70.xhst.bbci.co.uk, stage-activity-writer-nsi-alb-916490638.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1053.awsdns-03.org, ns-2023.awsdns-60.co.uk, ns-341.awsdns-42.com, ns-739.awsdns-28.net",,,,
,nsi.activity.test.api.bbc.com,,"activity-writer-nsi.test.fdca55c56af24a70.xhst.bbci.co.uk, test-activity-writer-nsi-alb-1980485183.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,origin-shop.bbc.com,212.25.236.67,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,pages.bbcafricachannels.bbc.com,68.232.203.80,pages.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,pages.bbcamerica.bbc.com,68.232.203.80,pages.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,pages.bbcgoodfood.bbc.com,128.17.80.32,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,pages.bbciplayer.bbc.com,68.232.203.80,pages.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,pages.bluey.bbc.com,68.232.203.80,pages.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,pages.email.bbc.com,13.111.140.167,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,"ns1.exacttarget.com, ns3.exacttarget.com, ns2.exacttarget.com",,,,
,pages.emails.bbc.com,13.111.140.168,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,pages.events.bbc.com,68.232.203.80,pages.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,pages.storeuk.bbc.com,68.232.203.80,pages.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,pages.topgear.bbc.com,,pages.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,pages.uktv.bbc.com,68.232.203.80,pages.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
,pal.int.bbc.com,212.58.228.76,pal.int.bbc.co.uk,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,"2001:41c1:4008:d::bbc:63, 2001:41c1:4008:d::bbc:62",,,,,,,,
,pal.live.bbc.com,"212.58.249.177, 212.58.244.178","pal.live.bbc.co.uk, pal.live.bbc.co.uk.pri.bbc.co.uk","dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
,pal.stage.bbc.com,"212.58.249.80, 212.58.249.81, 212.58.244.182, 212.58.244.183",pal.stage.bbc.co.uk,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,"2001:41c1:4007::bbc:112, 2001:41c1:4007::bbc:111, 2001:41c1:4008::bbc:114, 2001:41c1:4008::bbc:115",,,,,,,,
,pal.test.bbc.com,212.58.228.77,pal.test.bbc.co.uk,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,"2001:41c1:4008:d::bbc:64, 2001:41c1:4008:d::bbc:65",,,,,,,,
,player.bbc.com,"62.115.252.59, 62.115.252.74","player.bbc.com.edgekey.net, e71911.e12.akamaiedge.net","n0e12.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,posters-preprod.store.bbc.com,54.144.128.85,,,NOERROR,,,,,,,,,
,preferences.notifications.api.bbc.com,"52.50.19.51, 52.211.48.57, 34.241.10.108","notifications-a127-dev.live.75223174a8eb987a.xhst.bbci.co.uk, live-noti-componen-1a05swxr040vl-398360725.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,preferences.notifications.int.api.bbc.com,"52.31.20.63, 34.252.234.163","notifications-a127-dev.int.d33b6bf046809c92.xhst.bbci.co.uk, int-notif-componen-3pt220h0jdlx-1740335465.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1053.awsdns-03.org, ns-2023.awsdns-60.co.uk, ns-341.awsdns-42.com, ns-739.awsdns-28.net, ns-1006.awsdns-61.net, ns-111.awsdns-13.com, ns-1266.awsdns-30.org, ns-1812.awsdns-34.co.uk",,,,
,preferences.notifications.test.api.bbc.com,"52.210.2.24, 34.254.118.251","notifications-a127-dev.test.d33b6bf046809c92.xhst.bbci.co.uk, test-noti-componen-12e8q6p9zrp15-1232672064.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,preprod.player.bbc.com,"2.16.1.81, 2.16.1.105","preprod.player.bbc.com.edgekey.net, e71911.e12.akamaiedge.net","n0e12.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,preview.api.bbc.com,"63.34.236.47, 99.80.239.142, 63.34.108.55","cps-preview.b7a6e05f47d53d29.xhst.bbci.co.uk, live-cps-componen-onhyniqifgui-1800467202.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,preview.int.api.bbc.com,52.209.132.153,"cps-preview.int.e06c103ce59d1694.xhst.bbci.co.uk, int-cps-p-componen-c7323aiba8y1-2085228047.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,preview.stage.api.bbc.com,"63.34.115.246, 52.48.21.196","cps-preview.stage.e06c103ce59d1694.xhst.bbci.co.uk, stage-cps-componen-3em2o85os1kc-781482063.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1053.awsdns-03.org, ns-2023.awsdns-60.co.uk, ns-341.awsdns-42.com, ns-739.awsdns-28.net",,,,
,preview.test.api.bbc.com,"52.213.180.235, 52.30.97.49","cps-preview.test.e06c103ce59d1694.xhst.bbci.co.uk, test-cps-componen-143l07sineydw-1519360021.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,profile.id.api.bbc.com,"52.17.89.55, 52.51.255.137, 99.80.165.62",profile.id.c121be2a55e13acd.xhst.bbci.co.uk,"ns-195.awsdns-24.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,profile.id.int.api.bbc.com,52.16.101.181,profile.id.int.b77ff526efa260da.xhst.bbci.co.uk,"ns-1564.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,profile.id.stage.api.bbc.com,,profile.id.stage.b77ff526efa260da.xhst.bbci.co.uk,"ns-1564.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,profile.id.test.api.bbc.com,"46.137.156.122, 52.212.20.41",profile.id.test.b77ff526efa260da.xhst.bbci.co.uk,"ns-1564.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,programmes.api.bbc.com,"54.194.147.4, 52.210.147.247, 63.34.233.95","pm-gateway.bf7ec4ef6829c416.xhst.bbci.co.uk, live-pm-app-loadbalancer-834487915.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,prospect.api.bbc.com,"34.242.209.22, 34.245.244.40, 52.215.98.191",d-6f641c1tib.execute-api.eu-west-1.amazonaws.com,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,prospect.int.api.bbc.com,"52.48.197.133, 34.241.98.55, 52.18.64.174",d-u0w2guxujd.execute-api.eu-west-1.amazonaws.com,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,prospect.test.api.bbc.com,"176.34.73.128, 54.220.179.126, 52.213.5.51",d-1kwyufinjl.execute-api.eu-west-1.amazonaws.com,"ns-1028.awsdns-00.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,r2.dev.bbc.com,212.58.230.167,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,r3.dev.bbc.com,212.58.230.167,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,ratings.api.bbc.com,"34.247.226.161, 34.248.203.239, 52.213.72.215","ratings.e5f3e20bd9808636.xhst.bbci.co.uk, live-rati-componen-1dnkoyklhr9br-908698881.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,ratings.int.api.bbc.com,52.215.197.51,"ratings.int.8a6c003eea4a00ec.xhst.bbci.co.uk, int-ratin-componen-bboa89oq6j2b-249120499.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,ratings.test.api.bbc.com,185.48.120.150,"ratings.test.8a6c003eea4a00ec.xhst.bbci.co.uk, test-rati-componen-1j9phzt659whc-236621851.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1053.awsdns-03.org, ns-2023.awsdns-60.co.uk, ns-341.awsdns-42.com, ns-739.awsdns-28.net",,,,
,reply.bbc.com,74.121.50.42,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,reply.bbc.com,,v=spf1 a ip4:74.112.66.33 -all,,,
,reportugc.api.bbc.com,"34.253.134.60, 52.31.38.30, 52.212.195.72","reportugc.e5f3e20bd9808636.xhst.bbci.co.uk, live-repo-componen-iuthkp6wqc80-356164818.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,sandbox.bbc.com,192.168.193.10,,"ns-568.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-568.awsdns-07.net, ns-1158.awsdns-16.org, ns-181.awsdns-22.com, ns-1830.awsdns-36.co.uk",,True,192.168.193.10,
,sandbox.staff.bbc.com,,,"ns-529.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,segmentation.api.bbc.com,"3.248.174.185, 52.17.23.49, 52.215.74.141","segmentation.live.24ca1eb415514906.xhst.bbci.co.uk, live-seg-server-alb-182024687.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1053.awsdns-03.org, ns-2023.awsdns-60.co.uk, ns-341.awsdns-42.com, ns-739.awsdns-28.net",,,,
,segmentation.int.api.bbc.com,"34.250.204.132, 54.77.249.148","segmentation.int.fdca55c56af24a70.xhst.bbci.co.uk, int-seg-server-alb-1858847142.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,segmentation.stage.api.bbc.com,"63.32.21.188, 99.80.175.179","segmentation.stage.fdca55c56af24a70.xhst.bbci.co.uk, stage-seg-server-alb-958952660.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,segmentation.test.api.bbc.com,,"segmentation.test.fdca55c56af24a70.xhst.bbci.co.uk, test-seg-server-alb-1373229796.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,session.bbc.com,,session.bbc.com.pri.bbc.com,,NOERROR,,,,,,,,,
,session.bbc.com.pri.bbc.com,"212.58.244.93, 212.58.249.135",,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
,session.id.api.bbc.com,"63.34.246.146, 34.249.194.2, 34.252.116.211, 63.34.129.107, 34.252.184.63, 54.217.229.190",session.id.c121be2a55e13acd.xhst.bbci.co.uk,"ns-195.awsdns-24.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,session.id.int.api.bbc.com,52.210.134.209,session.id.int.b77ff526efa260da.xhst.bbci.co.uk,"ns-1564.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,session.id.stage.api.bbc.com,54.229.58.222,session.id.stage.b77ff526efa260da.xhst.bbci.co.uk,"ns-1564.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,session.id.test.api.bbc.com,"54.77.188.225, 54.74.246.46",session.id.test.b77ff526efa260da.xhst.bbci.co.uk,"ns-1564.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,session.int.bbc.com,212.58.228.41,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,session.stage.bbc.com,"212.58.249.67, 212.58.244.175",session.stage.bbc.com.pri.bbc.com,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
,session.stage.bbc.com.pri.bbc.com,,,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
,session.test.bbc.com,212.58.228.10,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,shop.bbc.com,23.227.38.74,"bbc-shop-us.myshopify.com, shops.myshopify.com","ns1.dnsimple.com, admin.dnsimple.com, dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,"digicert.com, globalsign.com, letsencrypt.org"
,sip.bbc.com,52.112.192.11,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,2603:1027:0:48::20,,,,,,,,
,sip.dev.bbc.com,132.185.162.233,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,sla.api.bbc.com,"52.210.169.152, 52.16.59.151","sla.adb91cb9dbb80cbf.xhst.bbci.co.uk, live-sla-componen-4uvfnn5u121h-156556597.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
