input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,tls_wildcard_certificate,content_type,tls_mismatched,tls_subject_org_,favicon,csp_domains_,final_url
a.api.mapbox.com,,200,16,a.api.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-05T00:00:00Z,2025-11-02T23:59:59Z,CN=api.mapbox.com,api.mapbox.com,d.api.mapbox.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,707dacb0911df5ef678dd59e06805829,53f06bc4db64c2e20bcd3c653530763246fe28355c20a849055a7c054c48b342,ctls,a.api.mapbox.com,cloudfront,443,https://a.api.mapbox.com,https,CloudFront,GET,99.86.4.72,/,/favicon.ico,99.86.4.81,HTTP/3,1,False,True,nonerror,0,,,,,,,
a.tiles.mapbox.com,,200,16,a.tiles.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-05T00:00:00Z,2025-11-02T23:59:59Z,CN=api.mapbox.com,api.mapbox.com,d.api.mapbox.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,707dacb0911df5ef678dd59e06805829,53f06bc4db64c2e20bcd3c653530763246fe28355c20a849055a7c054c48b342,ctls,a.tiles.mapbox.com,cloudfront,443,https://a.tiles.mapbox.com,https,CloudFront,GET,99.86.4.95,/,/favicon.ico,99.86.4.111,HTTP/3,1,False,True,nonerror,0,,,,,,,
account.mapbox.com,Console | Mapbox,200,2518,console.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-04T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e738cf7dceb4e4d09b840773b619eae,743b0cc0de39440d601fe15e0849838c50c415cb3fc2ebcc111f389ef5c45028,ctls,console.mapbox.com,cloudfront,443,https://account.mapbox.com,https,AmazonS3,GET,18.244.18.48,/,/branding/favicon/v1/apple-touch-icon.png,18.244.18.41,HTTP/3,103,False,True,other,0,True,text/html,,,-1403963346,"https://*.sentry.io
",https://console.mapbox.com/
ads.mapbox.com,Mapbox Ads,200,2657,ads.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-04T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e738cf7dceb4e4d09b840773b619eae,743b0cc0de39440d601fe15e0849838c50c415cb3fc2ebcc111f389ef5c45028,ctls,ads.mapbox.com,cloudfront,443,https://ads.mapbox.com,https,AmazonS3,GET,18.245.46.44,/,/favicon.ico,18.245.46.101,HTTP/3,1,False,True,nonerror,0,True,text/html,,,1556104729,,
api-3dtiles-production.mapbox.com,,401,75,api-3dtiles-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-3dtiles-production.mapbox.com,,443,https://api-3dtiles-production.mapbox.com,https,awselb/2.0,GET,54.228.113.59,/,/favicon.ico,34.249.176.13,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-accounts-production.mapbox.com,,401,75,api-accounts-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-accounts-production.mapbox.com,,443,https://api-accounts-production.mapbox.com,https,awselb/2.0,GET,52.209.56.31,/,/favicon.ico,52.209.96.63,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-analytics-production.mapbox.com,,401,75,api-analytics-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-analytics-production.mapbox.com,,443,https://api-analytics-production.mapbox.com,https,awselb/2.0,GET,54.194.30.136,/,/favicon.ico,54.229.222.47,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-assets-production.mapbox.com,,401,75,api-assets-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-assets-production.mapbox.com,,443,https://api-assets-production.mapbox.com,https,awselb/2.0,GET,54.228.60.26,/,/favicon.ico,54.77.132.2,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-billing-production.mapbox.com,,401,75,api-billing-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-billing-production.mapbox.com,,443,https://api-billing-production.mapbox.com,https,awselb/2.0,GET,54.229.199.51,/,/favicon.ico,54.229.106.192,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
api-core-production.mapbox.com,,401,75,api-core-production.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-10-07T00:00:00Z,2025-11-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4e9a216709b3f059b87f427797475075,7f35afa397d3310e4cc0e11ca130d6f0c1c8cc24e68fe8c101353d20811fdda3,ctls,api-core-production.mapbox.com,,443,https://api-core-production.mapbox.com,https,awselb/2.0,GET,52.214.83.18,/,/favicon.ico,34.255.82.203,Amazon Web Services,1,False,,nonerror,0,True,application/json,,,,,
