new,host,a,soa,status_code,txt,cname,cdn,cdn-name,mx,ns,aaaa,caa,has_internal_ips,internal_ips
[x],sites.mapbox.com,"54.242.63.178, 34.193.209.183, 54.80.43.14, 54.145.199.194","ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-47.awsdns-05.com, ns-591.awsdns-09.net, ns-1371.awsdns-43.org, ns-1964.awsdns-53.co.uk",,,,
[x],snap.api.mapbox.com,"108.157.177.35, 108.157.177.33, 108.157.177.5, 108.157.177.96","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",NOERROR,,d1vrt33i2pfivz.cloudfront.net,True,cloudfront,,"ns-1439.awsdns-51.org, ns-1567.awsdns-03.co.uk, ns-325.awsdns-40.com, ns-866.awsdns-44.net",,,,
[x],snap.events.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],static-assets.mapbox.com,"52.222.236.18, 52.222.236.129, 52.222.236.128, 52.222.236.37","ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,
[x],status.mapbox.com,18.246.31.131,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,l363gv8nm9gc.stspg-customer.com,,,,,,"globalsign.com;, letsencrypt.org",,
[x],stripe-etl-recon-test-dns.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,"ns-1401.awsdns-47.org, ns-1742.awsdns-25.co.uk, ns-447.awsdns-55.com, ns-553.awsdns-05.net",,,,
[x],studio.mapbox.com,,"ns-1901.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,"ns-1367.awsdns-42.org, ns-185.awsdns-23.com, ns-1901.awsdns-45.co.uk, ns-902.awsdns-48.net",,,,
[x],substandard-example.mapbox.com,"13.32.27.82, 13.32.27.125, 13.32.27.17, 13.32.27.18","ns-661.awsdns-18.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,"ns-1267.awsdns-30.org, ns-1679.awsdns-17.co.uk, ns-306.awsdns-38.com, ns-661.awsdns-18.net",,,,
[x],support.mapbox.com,"104.16.51.111, 104.16.53.111","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,"pod=20, v=spf1 include:mail.zendesk.com ~all",mapbox.zendesk.com,True,cloudflare,mail-pod-20.int.zendesk.com,,,,,
[x],teamchef-vpn-new-oceania.events.mapbox.com,,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 -all,,,,,,,,,
