input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url,tls_wildcard_certificate,cdn_name,cdn,tls_subject_org_,tls_mismatched
benjamin.weblate.org,Appointments - Weblate Nextcloud,200,21549,https://user-images.githubusercontent.com,nextcloud.weblate.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-24T04:51:18Z,2023-09-22T04:51:17Z,CN=nextcloud.weblate.org,nextcloud.weblate.org,nextcloud.weblate.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f41d9639c8059f3c98bfdd300945324c,7af46ef9c23ab2bb083bf66d091148cd991a9b039187c82ab571baedfe60b6fe,ctls,nextcloud.weblate.org,443,https://benjamin.weblate.org:443,https,nginx/1.18.0,text/html,GET,77.78.107.252,/,-266368916,2001:1528:136:dead:beef:4242:0:30,PHP:8.1.19,99,False,https://nextcloud.weblate.org/index.php/apps/appointments/pub/7SKELdomkPdB5ejhc%2B2Y/form,,,,,
care.weblate.org,Weblate care,200,2866,player.vimeo.com,care.weblate.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-23T12:29:35Z,2023-09-21T12:29:34Z,CN=care.weblate.org,care.weblate.org,care.weblate.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4b8a984df14ba2660ec0bc7bc9158990,900006d9b6d12c1da69a398c474725bba6f2de280c0e8d534f04850dc3e2d0cc,ctls,care.weblate.org,443,https://care.weblate.org:443,https,nginx,text/html,GET,157.90.23.52,/,-1687285536,2a01:4f8:c2c:9a9a::1,Ruby on Rails,78,False,,,,,,
debian.weblate.org,Hosted Weblate,200,62815,s.weblate.org,hosted.weblate.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-07T15:57:18Z,2023-10-05T15:57:17Z,CN=hosted.weblate.org,hosted.weblate.org,hosted.weblate.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,df05f80d67a0fe24cf2ba53d0d37268a,e341d9971a46c73ec2c2002c0692e988bd9e8b806bd0372b8d85254ad2a82417,ctls,hosted.weblate.org,443,https://debian.weblate.org:443,https,nginx,text/html,GET,77.78.107.252,/,1257755997,2001:1528:136:dead:beef:4242:0:30,Python,2890,False,https://hosted.weblate.org/,,,,,
demo.weblate.org,Weblate Pricing,200,54096,https://sentry.weblate.org/api/3/security/?sentry_key=f4089b47246947759114d23fc884d56e,weblate.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:18:03Z,2023-09-23T00:18:02Z,CN=weblate.org,weblate.org,www.weblate.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,43f3a9c92a528d64828efcb76ceca9b3,c0b4d08c7ff07f001ffdd7ebbadbb1a29304132191fc9ab2a03f19373693c2b7,ctls,weblate.org,443,https://demo.weblate.org:443,https,nginx,text/html,GET,77.78.107.252,/,-201521421,2001:1528:136:dead:beef:4242:0:30,Nginx,1214,False,https://weblate.org/en/hosting/,,,,,
docs.weblate.org,Weblate 5.0 documentation,200,53909,,docs.weblate.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-03-05T23:59:59Z,"CN=docs.weblate.org, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",docs.weblate.org,docs.weblate.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",d09558fc306287bed4723193abf05b4a,f3ce96732b5efc62110fdcc3f4b6a2881caf30f946715d63b932e4beb1e767e2,ctls,docs.weblate.org,443,https://docs.weblate.org:443,https,cloudflare,text/html,GET,104.17.32.82,/,-605716192,2606:4700::6811:2052,HTTP/3,856,False,https://docs.weblate.org/en/latest/,,cloudflare,True,"Cloudflare, Inc.",
dyson.weblate.org,Sign in @ Dyson Weblate,200,11814,,dyson.weblate.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-15T03:57:08Z,2023-09-13T03:57:07Z,CN=dyson.weblate.org,dyson.weblate.org,dyson.weblate.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,51602acd18b905747acebc057345e3de,e3ec496aeeeccc214b0f2a57c7c9e5ba3a404c08a9410ba1dd7b36c9f635c406,ctls,dyson.weblate.org,443,https://dyson.weblate.org:443,https,nginx,text/html,GET,78.47.78.238,/,1257755997,2a01:4f8:c2c:91e2::1,Python,322,False,https://dyson.weblate.org/accounts/login/?next=/,,,,,
helm.weblate.org,Page not found · GitHub Pages,404,9379,,helm.weblate.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-27T04:10:12Z,2023-09-25T04:10:11Z,CN=helm.weblate.org,helm.weblate.org,helm.weblate.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fab7d2f1235410793a7a244a163e738b,508263dd0c3ad19e261b7435d6184978f43e057210b626f526436b3fdfa9a9e5,ctls,helm.weblate.org,443,https://helm.weblate.org:443,https,GitHub.com,text/html,GET,185.199.108.153,/,1181440715,2606:50c0:8003::153,Varnish,90,False,,,,,,
hg.weblate.org,Mercurial repositories index,200,2875,,hg.weblate.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-22T12:35:15Z,2023-09-20T12:35:14Z,CN=hg.weblate.org,hg.weblate.org,hg.weblate.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,195ce247162f1a5603e5f398f8af22f8,87c62493bff57ade4479786a1a66baf88766f595445f4b11687bab96d5bf3794,ctls,hg.weblate.org,443,https://hg.weblate.org:443,https,nginx,text/html,GET,116.203.108.97,/,-451475312,2a01:4f8:c0c:a84b::1,Nginx,82,False,,,,,,
https://care.weblate.org,Weblate care,200,2866,player.vimeo.com,care.weblate.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-23T12:29:35Z,2023-09-21T12:29:34Z,CN=care.weblate.org,care.weblate.org,care.weblate.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4b8a984df14ba2660ec0bc7bc9158990,900006d9b6d12c1da69a398c474725bba6f2de280c0e8d534f04850dc3e2d0cc,ctls,care.weblate.org,443,https://care.weblate.org:443,https,nginx,text/html,GET,157.90.23.52,/,-1687285536,2a01:4f8:c2c:9a9a::1,Ruby on Rails,78,False,,,,,,
https://images.zammad.com,The page you were looking for doesn't exist (404),404,1564,,images.zammad.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-13T00:00:00Z,2024-06-13T23:59:59Z,CN=*.zammad.com,*.zammad.com,zammad.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,b0726bfb9511c62619f3d9e183b40bc3,d0ad8f986c7f8bc92e675603a7748f2af83f30e11a9d12492a05fd8c326b2765,ctls,images.zammad.com,443,https://images.zammad.com:443,https,nginx,text/html,GET,157.90.33.239,/,-1840324437,157.90.33.239,Nginx,68,False,,True,,,,
