new,host,ttl,a,soa,status_code,cdn,cdn-name,cname,caa,aaaa,mx,ns,txt
[x],ai-platform.engelvoelkers.com,1796,,"{'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
[x],autogen-property-prices.engelvoelkers.com,300,"104.22.22.187, 104.22.23.187, 172.67.23.104","{'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,"2606:4700:10::ac43:1768, 2606:4700:10::6816:16bb, 2606:4700:10::6816:17bb",,,
[x],engelvoelkers.com,300,35.190.46.123,"{'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,True,google,,,,"aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com","troy.ns.cloudflare.com, emma.ns.cloudflare.com","MS=2351AD78C13A31E9EC0EFF61EB3195E210DB25F1, MS=ms59857307, ZOOM_verify_0nIVGIg9SGmP9ME-v7nUwA, apple-domain-verification=G1B0PzmOLGCvr9VS, atlassian-domain-verification=3oJ/PIKLUY7eMgd3E44NjgmV3CoacQz+br0S8OLSZ69qbEPAIfnoc0mbxYmxo1y7, canva-site-verification=zQQxzWynoAZZ7IVSJ042_g, facebook-domain-verification=098lmy5pgwdlm5asrip4tipredgjpz, h1-domain-verification=wUp3kFzRwSxkv8mR16AsXTKEEA1NNWQUSJDzszq9aKFd4wt5, i9jEwgbEkFAJjXSM7sTStKbEfugmH2mB, v=spf1 include:_spf.google.com include:_spf.salesforce.com include:sendgrid.net include:_spf.engelvoelkers.com include:spf.mailjet.com -all"
[x],enterpriseenrollment.engelvoelkers.com,300,20.91.147.72,"{'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}",NOERROR,,,"enterpriseenrollment-s.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu03.swedencentral.cloudapp.azure.com, pexsucpeu02.westeurope.cloudapp.azure.com",,,,,
[x],new-search-sitemap.engelvoelkers.com,300,130.211.11.110,"{'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,True,google,,,,,,
[x],shop-finder-publisher.engelvoelkers.com,300,"104.22.22.187, 104.22.23.187, 172.67.23.104","{'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,"2606:4700:10::6816:16bb, 2606:4700:10::6816:17bb, 2606:4700:10::ac43:1768",,,
,_spf.engelvoelkers.com,1800,,"{'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,v=spf1 ip4:83.125.115.150 ip4:212.1.60.26 ip4:213.95.13.133 ip4:213.95.13.132 ip4:213.198.99.210 ip4:213.198.99.211 ip4:81.25.202.82 -all
,academy.engelvoelkers.com,300,"104.22.22.187, 104.22.23.187, 172.67.23.104","{'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,"2606:4700:10::6816:17bb, 2606:4700:10::ac43:1768, 2606:4700:10::6816:16bb",,,
,admin-service.engelvoelkers.com,178,35.195.148.34,"{'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,True,google,,,,,,
,agenteimmobiliare.engelvoelkers.com,300,35.186.199.237,"{'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'engelvoelkers.com', 'ns': 'emma.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349191545, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,True,google,,,,,,
