input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_expired,final_url,tls_mismatched,tls_wildcard_certificate,tls_self_signed
adressed.gapinc.com,Microsoft Azure Web App - Error 404,404,2667,adressed.gapinc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-21T05:09:05Z,2024-05-15T05:09:05Z,"CN=*.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azurewebsites.net,Microsoft Corporation,*.sso.azurewebsites.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,be4f197bf7af8dcd1550e05f30ee268d,5f51bfbc6474cd76458811a7c58629c51da65f2fad722c9a8ea0e3aa18d4f208,ctls,adressed.gapinc.com,azure,443,https://adressed.gapinc.com:443,https,,text/html,GET,13.93.158.16,/,387302845,13.93.158.16,,87,False,True,,,,True,True,
apps.mstr.gapinc.com,,200,121,apps.mstr.gapinc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-11T00:00:00Z,2023-08-11T23:59:59Z,"CN=apps.mstr.gapinc.com, O=The Gap\, Inc., ST=California, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, serialNumber=2157877, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",apps.mstr.gapinc.com,"The Gap, Inc.",apps.mstr.gapinc.com,"CN=COMODO RSA Extended Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Extended Validation Secure Server CA,COMODO CA Limited,f823016ad0a340be3886dc4b3be50423,6c31ecb4f3729c031422497c472759238bea644d30a2145a69e578f254e3fcd6,ctls,apps.mstr.gapinc.com,azure,443,https://apps.mstr.gapinc.com:443,https,MicroStrategy,text/html,GET,40.112.53.137,/,-230353730,40.112.53.137,HSTS,7,False,True,URL=../MicroStrategy/servlet/mstrWeb,,,,,
apps.vpn.gapinc.com,,200,170,apps.vpn.gapinc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-28T00:00:00Z,2024-06-27T23:59:59Z,"CN=gp.gapinc.com, O=The Gap\, Inc., ST=California, C=US",gp.gapinc.com,"The Gap, Inc.",gp02rcc.gapinc.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,8dd7948e3610779bf986bf8af85e4d56,4d8249e61be325efe74403cea019c4816d54c008afb12001cfd13ec14b56309f,ctls,apps.vpn.gapinc.com,,443,https://apps.vpn.gapinc.com:443,https,,text/html,GET,8.18.111.52,/,593259606,8.18.111.52,HSTS,4,False,,,,,True,,
appsstage.mstr.gapinc.com,,200,121,appsstage.mstr.gapinc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-19T00:00:00Z,2024-07-18T23:59:59Z,"CN=appsstage.mstr.gapinc.com, O=The Gap\, Inc., ST=California, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, serialNumber=2157877, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",appsstage.mstr.gapinc.com,"The Gap, Inc.",appsstage.mstr.gapinc.com,"CN=COMODO RSA Extended Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Extended Validation Secure Server CA,COMODO CA Limited,1ebc34337f64a18bbffb59900f0c146b,5aee226e244204424c64dd6bef66e1dd1e12061aba0da143b152aefe961f5e68,ctls,appsstage.mstr.gapinc.com,azure,443,https://appsstage.mstr.gapinc.com:443,https,MicroStrategy,text/html,GET,168.62.161.137,/,-230353730,168.62.161.137,HSTS,7,False,True,URL=../MicroStrategy/servlet/mstrWeb,,,,,
athleta.stitch.gapinc.com,Gap Inc Login,200,11184,onelogonqa.gap.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-08T00:00:00Z,2024-06-07T23:59:59Z,"CN=onelogonqa.gap.com, O=The Gap\, Inc., ST=California, C=US",onelogonqa.gap.com,"The Gap, Inc.",onelogonqa.gap.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,91a951923478db9ae243d01017d87fd2,03dd6da006d79db288616edb42357f2435a1aa402b44f6d611a662eb6450c8a4,ctls,onelogonqa.gap.com,,443,https://athleta.stitch.gapinc.com:443,https,,text/html,GET,52.51.23.169,/,409104341,63.33.17.94,,315,False,,,,https://onelogonqa.gap.com/idp/SSO.saml2?SAMLRequest=fZLJbsIwEIZfJTefspCNYBGkCFQJiS6CtodeqqkzIZYSO3icbk%2FfEFRBD%2FRqff%2BifzwnaJuOF72t1RYPPZJ1CiI0Vmq11Ir6Fs0OzbsU%2BLTd5Ky2tiPu%2B99odI1yX1tP6NYn0j4I8idRVeIUKyFEFVcwS9MkCssoY85qsJYKjr5nF62w0XutDuDtoRudZNn5u929dywWMme9ytlrGYKAdBa5WZyVblxFmTubBOCGaZq9hUkCCcYDStTjWpEFZXMWBmHkBtOBeQwSHmQ8yV6Y84yGxgahFzDns20U8WNSznqjuAaSxBW0SNwKvituN3wAOfwucinp%2Ftd0RlstdMMW8yPNx3Zmcd6NX9tq7l8K5qcL3Q0B69WDbqT4coqm0R9Lg2AxZ9b0yJwbbVqw1ytNvMn4Iku3GlGOLcimKEuDRMxfnFL%2FfoXFDw%3D%3D,,,
banana-republic.stitch.gapinc.com,Gap Inc Login,200,11184,onelogonqa.gap.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-08T00:00:00Z,2024-06-07T23:59:59Z,"CN=onelogonqa.gap.com, O=The Gap\, Inc., ST=California, C=US",onelogonqa.gap.com,"The Gap, Inc.",onelogonqa.gap.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,91a951923478db9ae243d01017d87fd2,03dd6da006d79db288616edb42357f2435a1aa402b44f6d611a662eb6450c8a4,ctls,onelogonqa.gap.com,,443,https://banana-republic.stitch.gapinc.com:443,https,,text/html,GET,54.195.237.234,/,409104341,52.51.23.169,,315,False,,,,https://onelogonqa.gap.com/idp/SSO.saml2?SAMLRequest=fZLLbsIwFER%2FJTuv8iAhcbBIpAhUCYk%2BBG0X3VTGvgFLiR18nb6%2BviSool3QrTVzZjTXc%2BRt07Gqdwe9gWMP6LwKEaxTRi%2BMxr4FuwX7pgQ8bdYFOTjXIQvDL7DmAGp%2FcIEwbYhoQi4wnCS1BAq1EKKe1nyWZWkSyyQn3vKEVpoP3AvFaGjM3ugjD%2Fa8G0lKduF2ex8MxWLirZYFeU1lRgVNqc8zSv3pjEp%2FFyWRL3O%2BS2bTXVRn05MUsYeVRse1K0gcxYkfUT%2FOHqOURTlL8xfiPYPFsUEcRMT7aBuNbEgqSG81MxwVMs1bQOYE21a3a3YSMv6zyG9L97%2Bns8YZYRpSzgc1G9vZ8rIbu7bVPPxtmJ8vdHcKWC0fTKPEp1c1jXlfWOAOCuJsD8S7Mbbl7nqlSTAZX5T061HKoOWqqaS0gEjC8pz69yuU3w%3D%3D,,,
brfs.stitch.gapinc.com,Gap Inc Login,200,11488,onelogonqa.gap.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-08T00:00:00Z,2024-06-07T23:59:59Z,"CN=onelogonqa.gap.com, O=The Gap\, Inc., ST=California, C=US",onelogonqa.gap.com,"The Gap, Inc.",onelogonqa.gap.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,91a951923478db9ae243d01017d87fd2,03dd6da006d79db288616edb42357f2435a1aa402b44f6d611a662eb6450c8a4,ctls,onelogonqa.gap.com,,443,https://brfs.stitch.gapinc.com:443,https,,text/html,GET,54.195.237.234,/,409104341,52.51.23.169,Azure,318,False,,,,https://onelogonqa.gap.com/idp/SSO.saml2?SAMLRequest=fZJJa8MwFIT%2Fim86eY%2BXCNtgEgqBdCFue%2BilKPJzLLAlR0%2Fu9usbO5S0h%2FQqZr4Z5ilD1ncDLUfTyh0cR0BjlYigjVBypSSOPegK9Jvg8LTb5qQ1ZkDqul%2BgVQvi0BqHq95FVC7j6PphU0MCDee8WTRsGcdRGNRhSqz1CS0km7gXipLQqYOSR%2BYc2DCTRD24VXXvTMUCYm3WOXn1moTX8X5p%2B4mX2ot0H9uMhamdREnMoPZ5E0xSxBE2Eg2TJieBF4S2l9hB%2FOhF1EtplL4Q6xk0zg0CxyPWR99JpFNSTkYtqWIokErWA1LDaVXebulJSNnPIr8tw%2F%2BeQSujuOpIkU1qOrfTxWU3em2rzP1tyM4XujsFbNYPqhP80yq7Tr2vNDADOTF6BGLdKN0zc72S7%2Fjzi6jtZpZS6JnoyrrWgEjc4pz69ysU3w%3D%3D,,,
centralofficeqa.gapinc.com,502 Bad Gateway,502,183,centralofficeqa.gapinc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-03-17T00:00:00Z,2023-03-17T23:59:59Z,"CN=centralofficeqa.gapinc.com, O=The Gap\, Inc., ST=California, C=US",centralofficeqa.gapinc.com,"The Gap, Inc.",centralofficeqa.gapinc.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,9cbfbe57a0459945c52cdbb2d14bf47a,425abd689070a6bc3d91d0f52eaf4d4db7b1d484cd6d3eaa7624860a2be07434,ctls,centralofficeqa.gapinc.com,azure,443,https://centralofficeqa.gapinc.com:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,52.226.168.200,/,1689593728,52.226.168.200,,8,False,True,,True,,,,
click.email.gapinc.com,403 - Forbidden: Access is denied.,403,1233,click.email.gapinc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-20T00:00:00Z,2024-08-19T23:59:59Z,"CN=click.email.gapinc.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",click.email.gapinc.com,"Salesforce.com, Inc.",click.email.gapinc.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,bc965e5277cebed5f720ca1ec7a26b0f,e8f21f7f222cfa4fb66e2d05c43929412e8ac23131a953b586f827881f4a2bc2,ctls,click.email.gapinc.com,,443,https://click.email.gapinc.com:443,https,,text/html,GET,13.111.39.28,/,1631801191,13.111.39.28,HSTS,30,False,,,,,,,
cms.stitch.gapinc.com,Gap Inc Login,200,11184,onelogonqa.gap.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-08T00:00:00Z,2024-06-07T23:59:59Z,"CN=onelogonqa.gap.com, O=The Gap\, Inc., ST=California, C=US",onelogonqa.gap.com,"The Gap, Inc.",onelogonqa.gap.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,91a951923478db9ae243d01017d87fd2,03dd6da006d79db288616edb42357f2435a1aa402b44f6d611a662eb6450c8a4,ctls,onelogonqa.gap.com,,443,https://cms.stitch.gapinc.com:443,https,,text/html,GET,52.51.23.169,/,409104341,54.195.237.234,,315,False,,,,https://onelogonqa.gap.com/idp/SSO.saml2?SAMLRequest=fZJJa8MwFIT%2Fim86eV%2FiCNtgEgqBdCFue%2BilqPJzLLAlR0%2Fu9usbO5Skh%2FQqZr4Z5ilD1ncDLUfTyh0cRkBjlYigjVBypSSOPegK9Lvg8LTb5qQ1ZkDqut%2BgVQti3xqHq95FVC7j6PphU8MCGs55EzVsmSRxGNRhSqz1ES0km7hnipLQqb2SB%2Bbs2TCTRD24VXXvTMUCYm3WOXlNG5akddrYiZ%2F4dgRRbC8Zq%2B1wmSxDeIvi0JukiCNsJBomTU4CLwhtb2EHyaMXUy%2BlcfpCrGfQODcIHI9Yn30nkU5JORm1pIqhQCpZD0gNp1V5u6VHIWW%2Fi1xahv89g1ZGcdWRIpvUdG6ni%2FNu9NpWmXtpyE4XujsGbNYPqhP8yyq7Tn2sNDADOTF6BGLdKN0zc72S7%2Fjzi6jtZpZS6JnoyrrWgEjc4pT69ysUPw%3D%3D,,,
