new,host,a,aaaa,soa,status_code,cdn,cdn-name,mx,ns,txt,cname,caa
[x],20.sgb.co,,,"erin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],affiliates.silvergoldbull.com,"172.66.40.68, 172.66.43.188","2606:4700:3108::ac42:2bbc, 2606:4700:3108::ac42:2844","erin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],alterx.com,"172.66.40.197, 172.66.43.59","2606:4700:3108::ac42:2b3b, 2606:4700:3108::ac42:28c5","erin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"seth.ns.cloudflare.com, erin.ns.cloudflare.com",detectify-verification=494250729bfdbd6206535920a80bdd94,,
[x],arvest.sgb.co,,,"erin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],atb.silvergoldbull.ca,"172.66.40.56, 172.66.43.200","2606:4700:3108::ac42:2838, 2606:4700:3108::ac42:2bc8","erin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],atcbju.silvergoldbull.ca,178.250.1.11,2a02:2638:3::c,"ns23.criteo.com, dns.criteo.com",NOERROR,,,,,,"dnsdelegation.io, gum.criteo.com, gum.nl3.vip.prod.criteo.com",digicert.com
[x],autodiscover.sgb.co,"52.97.201.104, 52.98.232.40, 40.101.12.120, 52.97.158.168, 52.97.183.200, 40.99.204.200, 40.99.205.56, 52.97.144.184","2603:1026:207:50::8, 2603:1026:c03:7078::8, 2603:1026:c03:6026::8, 2603:1026:c03:7075::8","ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",
[x],autodiscover.silvergoldbull.ca,"52.96.109.232, 52.96.64.136, 52.96.87.248, 52.96.109.136","2603:1036:302:415c::8, 2603:1036:302:834::8, 2603:1036:302:406c::8, 2603:1036:302:505e::8","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",
[x],autodiscover.silvergoldbull.de,"52.96.111.8, 52.96.181.104, 40.97.190.24, 52.96.15.8","2603:1036:302:481e::8, 2603:1036:302:4841::8, 2603:1036:206:14::8, 2603:1036:302:4014::8","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",
[x],beta.alterx.com,"172.66.43.59, 172.66.40.197","2606:4700:3108::ac42:2b3b, 2606:4700:3108::ac42:28c5","erin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],bowvalleycu.silvergoldbull.ca,"172.66.40.56, 172.66.43.200","2606:4700:3108::ac42:2bc8, 2606:4700:3108::ac42:2838","erin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],buy.silvergoldbull.ca,"172.66.40.56, 172.66.43.200","2606:4700:3108::ac42:2838, 2606:4700:3108::ac42:2bc8","erin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],cdn.sgb.co,,,"erin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],cdn.silvergoldbull.com,,,"erin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],coinexchange.silvergoldbull.ca,,,"erin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],content-test.sgb.co,,"2606:4700:20::681a:cac, 2606:4700:20::681a:dac, 2606:4700:20::ac43:4482","erin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],d.silvergoldbull.com,,,"erin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],dcx.silvergoldbull.com,"172.66.40.68, 172.66.43.188","2606:4700:3108::ac42:2bbc, 2606:4700:3108::ac42:2844","erin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],devx.silvergoldbull.com,,,"erin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],ee03.silvergoldbull.com,,,"erin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
