new,host,a,soa,status_code,cdn,cdn-name,ns,aaaa,cname,txt,mx,caa,has_internal_ips,internal_ips
[x],nat.qa.keepersecurity.com,54.173.225.27,"ns-872.awsdns-45.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,gateway.qa.keepersecurity.com,,,,,
[x],nat.qa.keepersecurity.eu,52.213.17.47,"ns-561.awsdns-06.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,gateway.qa.keepersecurity.eu,,,,,
[x],o2.mktg1.keepersecurity.com,167.89.22.83,"ns-1835.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],o3178.abmail.keeper.keepersecurity.com,149.72.152.242,"ns-1835.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],push.services.dev2.keepersecurity.com,,"ns-1041.awsdns-02.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],push.services.keepersecurity.com,"54.152.212.158, 44.194.250.193, 34.195.73.148, 54.165.66.227, 44.196.30.192, 52.20.237.234, 44.198.40.30, 54.161.219.229","ns-1835.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],push.services.keepersecurity.eu,"52.210.151.40, 54.194.50.35, 34.248.12.94, 34.251.131.205","ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],push.services.qa.keepersecurity.com,"18.214.149.150, 18.205.111.199","ns-872.awsdns-45.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],push.services.qa.keepersecurity.eu,"52.19.27.244, 34.248.94.171","ns-561.awsdns-06.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],qa.keepersecurity.com,,"ns-872.awsdns-45.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],qa.keepersecurity.eu,"52.18.244.52, 52.208.88.191","ns-561.awsdns-06.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-31.awsdns-03.com, ns-1231.awsdns-25.org, ns-1744.awsdns-26.co.uk, ns-561.awsdns-06.net",,,s61v88cqv1p0v5jcekfgougq0t,,,,
[x],scim.qa.keepersecurity.com,18.214.241.7,"ns-872.awsdns-45.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-121.awsdns-15.com, ns-1510.awsdns-60.org, ns-1714.awsdns-22.co.uk, ns-872.awsdns-45.net",,,,,,,
[x],services.dev.keepersecurity.com,52.205.168.34,"ns-1737.awsdns-25.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],services.qa.keepersecurity.com,50.16.37.245,"ns-872.awsdns-45.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],services.staging.keepersecurity.com,"3.211.13.144, 35.169.154.112","ns-1835.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],staging.keepersecurity.com,"35.169.154.112, 3.211.13.144","ns-1835.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],staging.keepersecurity.eu,52.214.244.31,"ns-868.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],test.keepersecurity.com,,"ns-1835.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx3.googlemail.com",,,
[x],www.dev.keepersecurity.com,"54.225.150.101, 54.235.82.138","ns-1737.awsdns-25.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],www.dev.keepersecurity.eu,"34.254.209.210, 54.220.150.58","ns-71.awsdns-08.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],www.qa.keepersecurity.eu,"52.208.88.191, 52.18.244.52","ns-561.awsdns-06.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
