input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,tech_,cdn,csp_domains_,final_url,tls_wildcard_certificate
api.consumerfinance.gov,HMDA - Home Mortgage Disclosure Act,200,4815,ffiec.cfpb.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-12T19:02:20Z,2024-07-29T19:02:19Z,"CN=ffiec.cfpb.gov, O=Bureau of Consumer Financial Protection, L=Washington, ST=District of Columbia, C=US",ffiec.cfpb.gov,Bureau of Consumer Financial Protection,www.ffiec.cfpb.gov,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",ae23c6941f32e3bb72fcd0e315d6b5f1,1d16e235c11f3fb31571edf430d507f1c6dc06f929d659c6c4ccac07c0c8f081,ctls,ffiec.cfpb.gov,443,https://api.consumerfinance.gov:443,https,envoy,text/html,GET,52.205.158.233,/,1282943933,44.208.121.47,1,False,,HSTS,,https://s3.amazonaws.com,https://ffiec.cfpb.gov/data-publication,
beta.consumerfinance.gov,Consumer Financial Protection Bureau,200,123871,beta.consumerfinance.gov,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,,2023-04-11T00:00:00Z,2024-04-11T23:59:59Z,"CN=cfpb.gov, O=Consumer Financial Protection Bureau, L=Washington, ST=District Of Columbia, C=US",cfpb.gov,Consumer Financial Protection Bureau,services.consumerfinance.gov,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8ece09177caa02695e1c267f01bc41f5,3a4af980efb13da2b0920f683a846d2e002337dabb7d472a52635b69ec768eba,ctls,beta.consumerfinance.gov,443,https://beta.consumerfinance.gov:443,https,Apache,text/html,GET,2.23.68.82,/,790398235,2a02:26f0:480:baf::31d7,3276,False,,HSTS,,s3.amazonaws.com,,
complaint.consumerfinance.gov,,200,1503,complaint.consumerfinance.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-06T15:16:53Z,2024-03-18T15:16:52Z,"CN=complaint.consumerfinance.gov, O=Bureau of Consumer Financial Protection, L=Washington, ST=District of Columbia, C=US",complaint.consumerfinance.gov,Bureau of Consumer Financial Protection,complaint.consumerfinance.gov,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",fe776bde799d0f94dd17a92daf132c83,fbf71b1e23c0523b074c9d669bd1812ca289ba94c45eef147f86b4b0e0f3dd68,ctls,complaint.consumerfinance.gov,443,https://complaint.consumerfinance.gov:443,https,,text/html,GET,52.61.129.42,/,1433417005,52.61.130.56,47,False,,HSTS,,,https://complaint.consumerfinance.gov/submit-a-complaint/s/products,
consumerfinance.gov,Consumer Financial Protection Bureau,200,141164,www.consumerfinance.gov,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,,2023-04-11T00:00:00Z,2024-04-11T23:59:59Z,"CN=cfpb.gov, O=Consumer Financial Protection Bureau, L=Washington, ST=District Of Columbia, C=US",cfpb.gov,Consumer Financial Protection Bureau,services.consumerfinance.gov,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8ece09177caa02695e1c267f01bc41f5,3a4af980efb13da2b0920f683a846d2e002337dabb7d472a52635b69ec768eba,ctls,www.consumerfinance.gov,443,https://consumerfinance.gov:443,https,Apache,text/html,GET,52.21.11.213,/,790398235,52.21.11.213,3251,False,,HSTS,,*.consumerfinance.gov,https://www.consumerfinance.gov/,
data.consumerfinance.gov,Data & Research | Consumer Financial Protection Bureau,200,157545,www.consumerfinance.gov,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,,2023-04-11T00:00:00Z,2024-04-11T23:59:59Z,"CN=cfpb.gov, O=Consumer Financial Protection Bureau, L=Washington, ST=District Of Columbia, C=US",cfpb.gov,Consumer Financial Protection Bureau,services.consumerfinance.gov,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8ece09177caa02695e1c267f01bc41f5,3a4af980efb13da2b0920f683a846d2e002337dabb7d472a52635b69ec768eba,ctls,www.consumerfinance.gov,443,https://data.consumerfinance.gov:443,https,Apache,text/html,GET,52.61.130.56,/,1433417005,52.61.129.42,3924,False,,HSTS,,js-agent.newrelic.com,https://www.consumerfinance.gov/data-research/,
econlab.consumerfinance.gov,502 Bad Gateway,502,122,econlab.consumerfinance.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-07-12T19:02:20Z,2024-07-29T19:02:19Z,"CN=ffiec.cfpb.gov, O=Bureau of Consumer Financial Protection, L=Washington, ST=District of Columbia, C=US",ffiec.cfpb.gov,Bureau of Consumer Financial Protection,www.ffiec.cfpb.gov,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",ae23c6941f32e3bb72fcd0e315d6b5f1,1d16e235c11f3fb31571edf430d507f1c6dc06f929d659c6c4ccac07c0c8f081,ctls,econlab.consumerfinance.gov,443,https://econlab.consumerfinance.gov:443,https,awselb/2.0,text/html,GET,44.208.121.47,/,590066698,52.205.158.233,7,False,,,,,,
hmdahelp.consumerfinance.gov,,200,1454,hmdahelp.consumerfinance.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-07-10T17:31:23Z,2024-07-20T17:31:22Z,"CN=hmdahelp.consumerfinance.gov, O=Bureau of Consumer Financial Protection, L=Washington, ST=District of Columbia, C=US",hmdahelp.consumerfinance.gov,Bureau of Consumer Financial Protection,www.hmdahelp.consumerfinance.gov,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",6fc0cfa8948d13f352e9e2661b19f094,7de66d0627d589c92bb965569367e0ac38d5edb6535886da7fc7c8e0c9f40b95,ctls,hmdahelp.consumerfinance.gov,443,https://hmdahelp.consumerfinance.gov:443,https,,text/html,GET,52.61.129.42,/,-1689274675,52.61.130.56,23,False,,Salesforce,,,,
https://sjc1.qualtrics.com/csp-report,Error,404,149,sjc1.qualtrics.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-07T00:00:00Z,2024-03-26T23:59:59Z,"CN=*.qualtrics.com, O=Qualtrics International Inc., L=Provo, ST=Utah, C=US",*.qualtrics.com,Qualtrics International Inc.,*.sr.qualtrics.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,fb4fe0e032ed2bad845a2d0b25e2ad17,f2265e02b2b56f8cde5b89b6a79cda4bbeec8b0ec3a6b5a724781fbe13c2e3cf,ctls,sjc1.qualtrics.com,443,https://sjc1.qualtrics.com:443/csp-report,https,,text/html,GET,2.18.232.194,/csp-report,1497376729,2.18.232.194,11,False,,HSTS,,https://sjc1.qualtrics.com/csp-report,,True
inclusivity.consumerfinance.gov,,200,1365,inclusivity.consumerfinance.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-10-06T14:44:10Z,2023-10-16T14:44:10Z,"CN=inclusivity.consumerfinance.gov, O=Bureau of Consumer Financial Protection, L=Washington, ST=District of Columbia, C=US",inclusivity.consumerfinance.gov,Bureau of Consumer Financial Protection,www.inclusivity.consumerfinance.gov,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3c2f361d4f88edd0d3e183ca1d4d4421,a6fa9920925028270d75c8b585f1f9489f5ca929ba46a66380a410f86446328c,ctls,inclusivity.consumerfinance.gov,443,https://inclusivity.consumerfinance.gov:443,https,,text/html,GET,52.61.130.56,/,1433417005,52.61.129.42,47,False,,HSTS,,,https://inclusivity.consumerfinance.gov/s/,
portal.consumerfinance.gov,,200,1404,portal.consumerfinance.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-06T15:18:34Z,2024-03-18T15:18:34Z,"CN=portal.consumerfinance.gov, O=Bureau of Consumer Financial Protection, L=Washington, ST=District of Columbia, C=US",portal.consumerfinance.gov,Bureau of Consumer Financial Protection,portal.consumerfinance.gov,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",60c4c258899f160d96c45c521b6b323c,34063816d052750314cb8e93b1cf5c7379a8d5e3067a65406af8061f0a674119,ctls,portal.consumerfinance.gov,443,https://portal.consumerfinance.gov:443,https,,text/html,GET,52.61.130.56,/,1433417005,52.61.129.42,47,False,,HSTS,,,https://portal.consumerfinance.gov/company/s/,
reginquiries.consumerfinance.gov,,200,1274,reginquiries.consumerfinance.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-07-10T17:32:22Z,2024-07-26T17:32:21Z,"CN=reginquiries.consumerfinance.gov, O=Bureau of Consumer Financial Protection, L=Washington, ST=District of Columbia, C=US",reginquiries.consumerfinance.gov,Bureau of Consumer Financial Protection,reginquiries.consumerfinance.gov,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",7f094dac231228d6e60b4fd8bd7453a3,06cb8282c6aa819da7edefbe762919a02c5aa07d464b709c7bed64570739b9b9,ctls,reginquiries.consumerfinance.gov,443,https://reginquiries.consumerfinance.gov:443,https,,text/html,GET,52.61.128.118,/,-1689274675,52.61.129.132,22,False,,Salesforce,,,,
reginquiry.consumerfinance.gov,,200,1274,reginquiries.consumerfinance.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-07-10T17:32:22Z,2024-07-26T17:32:21Z,"CN=reginquiries.consumerfinance.gov, O=Bureau of Consumer Financial Protection, L=Washington, ST=District of Columbia, C=US",reginquiries.consumerfinance.gov,Bureau of Consumer Financial Protection,reginquiries.consumerfinance.gov,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",7f094dac231228d6e60b4fd8bd7453a3,06cb8282c6aa819da7edefbe762919a02c5aa07d464b709c7bed64570739b9b9,ctls,reginquiries.consumerfinance.gov,443,https://reginquiry.consumerfinance.gov:443,https,,text/html,GET,52.61.128.118,/,-1689274675,52.61.130.56,22,False,,Salesforce,,,https://reginquiries.consumerfinance.gov/,
search.consumerfinance.gov,We're sorry - something went wrong. 403,403,595,search.consumerfinance.gov,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-04T17:04:44Z,2023-08-02T17:04:43Z,CN=search.usa.gov,search.usa.gov,,www.search.usa.gov,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,44f08dda479377c7b6daa27e043d7179,8dde24153afa46a27832cc31ad8404fb1b359cf4a5867aea9e9acaa2cd5eed8a,ctls,search.consumerfinance.gov,443,https://search.consumerfinance.gov:443,https,CloudFront,text/html,GET,52.222.214.69,/,-406605138,2600:9000:223d:1400:a:4fc7:79c0:93a1,22,False,cloudfront,HSTS,True,,,
secureapi-dev.consumerfinance.gov,400 No required SSL certificate was sent,400,202,secureapi-dev.consumerfinance.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-06T17:30:05Z,2024-04-14T17:30:05Z,"CN=secureapi-dev.consumerfinance.gov, O=Bureau of Consumer Financial Protection, L=Washington, ST=District of Columbia, C=US",secureapi-dev.consumerfinance.gov,Bureau of Consumer Financial Protection,secureapi-dev.consumerfinance.gov,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",28f4c5e269976386aa1f1b023fa470c7,04d1a02344505147c63d45f31523f6d20a34cf72a49ea06dc25810d258877e85,ctls,secureapi-dev.consumerfinance.gov,443,https://secureapi-dev.consumerfinance.gov:443,https,,text/html,GET,15.200.90.190,/,-1372260124,52.61.178.158,8,False,,HSTS,,,,
secureapi-test.consumerfinance.gov,400 No required SSL certificate was sent,400,202,secureapi-test.consumerfinance.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-06T17:31:22Z,2024-04-14T17:31:22Z,"CN=secureapi-test.consumerfinance.gov, O=Bureau of Consumer Financial Protection, L=Washington, ST=District of Columbia, C=US",secureapi-test.consumerfinance.gov,Bureau of Consumer Financial Protection,secureapi-test.consumerfinance.gov,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",475884a80f30269e25a373bed217da2a,af3f7d62368b0a828d2a7e11144fe86ee55862aeb6e7aa67dff968866b269632,ctls,secureapi-test.consumerfinance.gov,443,https://secureapi-test.consumerfinance.gov:443,https,,text/html,GET,15.200.90.190,/,-1372260124,52.61.178.158,8,False,,HSTS,,,,
secureapi.consumerfinance.gov,400 No required SSL certificate was sent,400,202,secureapi.consumerfinance.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-06T17:28:57Z,2024-04-14T17:28:57Z,"CN=secureapi.consumerfinance.gov, O=Bureau of Consumer Financial Protection, L=Washington, ST=District of Columbia, C=US",secureapi.consumerfinance.gov,Bureau of Consumer Financial Protection,secureapi.consumerfinance.gov,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",891d7ddab32d60156a72b0b517773792,704e16614f256107fbe00de381d6f938feef93fa9176e418d23fc05f1b7f32aa,ctls,secureapi.consumerfinance.gov,443,https://secureapi.consumerfinance.gov:443,https,,text/html,GET,52.61.178.158,/,-1372260124,15.200.90.190,8,False,,HSTS,,,,
story.consumerfinance.gov,Consumer Portal,200,239307,story.consumerfinance.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-06T15:20:06Z,2024-03-18T15:20:06Z,"CN=story.consumerfinance.gov, O=Bureau of Consumer Financial Protection, L=Washington, ST=District of Columbia, C=US",story.consumerfinance.gov,Bureau of Consumer Financial Protection,story.consumerfinance.gov,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",f22bc5cf6174251beccf8c247c90704d,8a56c6be7d400f2efed39f6c24fc509d65f272d069033bec830abe42dc1a074e,ctls,story.consumerfinance.gov,443,https://story.consumerfinance.gov:443,https,,text/html,GET,52.61.128.118,/,1433417005,52.61.130.56,410,False,,HSTS,,https://location.force.com,https://story.consumerfinance.gov/tell-your-story/s/tell-your-story,
surveys.consumerfinance.gov,,200,5260,surveys.consumerfinance.gov,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-27T00:00:00Z,2024-04-17T23:59:59Z,"CN=akamaisecure.qualtrics.com, O=Qualtrics\, LLC, L=Provo, ST=Utah, C=US",akamaisecure.qualtrics.com,"Qualtrics, LLC",yourexperience.extreme-design.co.uk,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,11341d4063e6ae9df08457ac5f2f494f,ef12cc2740a001dcea2fb8a49bd2b77989273bf0df3dc4d2386813a9999178c8,ctls,surveys.consumerfinance.gov,443,https://surveys.consumerfinance.gov:443,https,,text/html,GET,23.197.134.50,/,1497376729,23.197.134.50,27,False,,HSTS,,https://sjc1.qualtrics.com/csp-report,https://surveys.consumerfinance.gov/login,
