input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,tls_expired
001-zytm764xjp3mjzxz.fra.lacework.net,400 Bad Request,400,150,001-zytm764xjp3mjzxz.fra.lacework.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-03-28T23:59:59Z,"CN=fra.lacework.net, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",fra.lacework.net,"Cloudflare, Inc.",fra.lacework.net,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",82aa4ae7de80dcc5a9784c2f01e6307c,18d46ea66b3cda4bc46b5680620e371561bf3435a58d39288c7ac87c12112ee6,True,ctls,001-zytm764xjp3mjzxz.fra.lacework.net,cloudflare,443,https://001-zytm764xjp3mjzxz.fra.lacework.net:443,https,cloudflare,text/html,GET,162.159.135.54,/,-206762697,https://001-zytm764xjp3mjzxz.fra.lacework.net/ui,2606:4700:7::a29f:8636,HSTS,8,False,True,,,
01-7-4-32.yourlacework.lacework.net,400 Bad Request,400,150,01-7-4-32.yourlacework.lacework.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-30T18:12:51Z,2023-07-01T18:12:51Z,CN=*.lacework.net,*.lacework.net,,lacework.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b2bca2a295dd1fe46c9f2c2e0bbfacc8,e6361b5c5ef6ca61bbccfda20a4d619975b18683e7a9f017a2349b831e70ec1a,True,ctls,01-7-4-32.yourlacework.lacework.net,,443,https://01-7-4-32.yourlacework.lacework.net:443,https,,text/html,GET,52.43.136.187,/,-206762697,https://01-7-4-32.yourlacework.lacework.net/ui,34.212.241.15,HSTS,8,False,,True,,
031-7-83.euprodn1.lacework.net,400 Bad Request,400,150,031-7-83.euprodn1.lacework.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-30T18:12:51Z,2023-07-01T18:12:51Z,CN=*.lacework.net,*.lacework.net,,lacework.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b2bca2a295dd1fe46c9f2c2e0bbfacc8,e6361b5c5ef6ca61bbccfda20a4d619975b18683e7a9f017a2349b831e70ec1a,True,ctls,031-7-83.euprodn1.lacework.net,,443,https://031-7-83.euprodn1.lacework.net:443,https,,text/html,GET,52.43.136.187,/,-206762697,https://031-7-83.euprodn1.lacework.net/ui,34.212.79.17,HSTS,8,False,,True,,
039337.lacework.net,400 Bad Request,400,150,039337.lacework.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-30T18:12:51Z,2023-07-01T18:12:51Z,CN=*.lacework.net,*.lacework.net,,lacework.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b2bca2a295dd1fe46c9f2c2e0bbfacc8,e6361b5c5ef6ca61bbccfda20a4d619975b18683e7a9f017a2349b831e70ec1a,True,ctls,039337.lacework.net,,443,https://039337.lacework.net:443,https,,text/html,GET,52.43.136.187,/,-206762697,https://039337.lacework.net/ui,34.212.241.15,HSTS,8,False,,,,
0ryi4neagmq.1password-scim.lacework.net,400 Bad Request,400,150,0ryi4neagmq.1password-scim.lacework.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-30T18:12:51Z,2023-07-01T18:12:51Z,CN=*.lacework.net,*.lacework.net,,lacework.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b2bca2a295dd1fe46c9f2c2e0bbfacc8,e6361b5c5ef6ca61bbccfda20a4d619975b18683e7a9f017a2349b831e70ec1a,True,ctls,0ryi4neagmq.1password-scim.lacework.net,,443,https://0ryi4neagmq.1password-scim.lacework.net:443,https,,text/html,GET,34.212.241.15,/,-206762697,https://0ryi4neagmq.1password-scim.lacework.net/ui,34.212.79.17,HSTS,8,False,,True,,
1-0-7-1.yourlacework.lacework.net,400 Bad Request,400,150,1-0-7-1.yourlacework.lacework.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-30T18:12:51Z,2023-07-01T18:12:51Z,CN=*.lacework.net,*.lacework.net,,lacework.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b2bca2a295dd1fe46c9f2c2e0bbfacc8,e6361b5c5ef6ca61bbccfda20a4d619975b18683e7a9f017a2349b831e70ec1a,True,ctls,1-0-7-1.yourlacework.lacework.net,,443,https://1-0-7-1.yourlacework.lacework.net:443,https,,text/html,GET,34.212.241.15,/,-206762697,https://1-0-7-1.yourlacework.lacework.net/ui,34.212.79.17,HSTS,8,False,,True,,
13-0-9.1password-scim.lacework.net,400 Bad Request,400,150,13-0-9.1password-scim.lacework.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-30T18:12:51Z,2023-07-01T18:12:51Z,CN=*.lacework.net,*.lacework.net,,lacework.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b2bca2a295dd1fe46c9f2c2e0bbfacc8,e6361b5c5ef6ca61bbccfda20a4d619975b18683e7a9f017a2349b831e70ec1a,True,ctls,13-0-9.1password-scim.lacework.net,,443,https://13-0-9.1password-scim.lacework.net:443,https,,text/html,GET,34.212.241.15,/,-206762697,https://13-0-9.1password-scim.lacework.net/ui,34.212.79.17,HSTS,8,False,,True,,
13-3-0-2.fra.lacework.net,400 Bad Request,400,150,13-3-0-2.fra.lacework.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-03-28T23:59:59Z,"CN=fra.lacework.net, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",fra.lacework.net,"Cloudflare, Inc.",fra.lacework.net,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",82aa4ae7de80dcc5a9784c2f01e6307c,18d46ea66b3cda4bc46b5680620e371561bf3435a58d39288c7ac87c12112ee6,True,ctls,13-3-0-2.fra.lacework.net,cloudflare,443,https://13-3-0-2.fra.lacework.net:443,https,cloudflare,text/html,GET,162.159.135.54,/,-206762697,https://13-3-0-2.fra.lacework.net/ui,2606:4700:7::a29f:8636,HSTS,8,False,True,,,
14eeddf2.fra.lacework.net,400 Bad Request,400,150,14eeddf2.fra.lacework.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-03-28T23:59:59Z,"CN=fra.lacework.net, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",fra.lacework.net,"Cloudflare, Inc.",fra.lacework.net,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",82aa4ae7de80dcc5a9784c2f01e6307c,18d46ea66b3cda4bc46b5680620e371561bf3435a58d39288c7ac87c12112ee6,True,ctls,14eeddf2.fra.lacework.net,cloudflare,443,https://14eeddf2.fra.lacework.net:443,https,cloudflare,text/html,GET,162.159.134.54,/,-206762697,https://14eeddf2.fra.lacework.net/ui,2606:4700:7::a29f:8636,HSTS,8,False,True,,,
14eeddf2.public.lacework.net,400 Bad Request,400,150,14eeddf2.public.lacework.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-30T18:12:51Z,2023-07-01T18:12:51Z,CN=*.lacework.net,*.lacework.net,,lacework.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b2bca2a295dd1fe46c9f2c2e0bbfacc8,e6361b5c5ef6ca61bbccfda20a4d619975b18683e7a9f017a2349b831e70ec1a,True,ctls,14eeddf2.public.lacework.net,,443,https://14eeddf2.public.lacework.net:443,https,,text/html,GET,34.212.241.15,/,-206762697,https://14eeddf2.public.lacework.net/ui,52.43.136.187,HSTS,8,False,,True,,
155-9-211-8.dev.lacework.net,404 Not Found,404,146,155-9-211-8.dev.lacework.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-20T00:00:00Z,2024-01-19T23:59:59Z,"CN=dev.lacework.net, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",dev.lacework.net,"Cloudflare, Inc.",dev.lacework.net,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9df1cf0c817a5e522c72f108dee1e254,1bf2c5aab28422d07a629c62b36b9bbb441cc7650468281087a37b6b37fbcf44,True,ctls,155-9-211-8.dev.lacework.net,,443,https://155-9-211-8.dev.lacework.net:443,https,cloudflare,text/html,GET,168.100.6.10,/,1494302000,,168.100.6.246,HTTP/3,8,False,,,,
168-9-14.fra.lacework.net,400 Bad Request,400,150,168-9-14.fra.lacework.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-03-28T23:59:59Z,"CN=fra.lacework.net, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",fra.lacework.net,"Cloudflare, Inc.",fra.lacework.net,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",82aa4ae7de80dcc5a9784c2f01e6307c,18d46ea66b3cda4bc46b5680620e371561bf3435a58d39288c7ac87c12112ee6,True,ctls,168-9-14.fra.lacework.net,cloudflare,443,https://168-9-14.fra.lacework.net:443,https,cloudflare,text/html,GET,162.159.134.54,/,-206762697,https://168-9-14.fra.lacework.net/ui,2606:4700:7::a29f:8636,HSTS,8,False,True,,,
