new,host,ttl,a,soa,status_code,aaaa,txt,cname,cdn,cdn-name,ns,has_internal_ips,internal_ips,mx
[x],001-zauzu2y7kwrmowfz.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8a59, 2606:4700:7::a29f:8959",,,,,,,,
[x],007jbond.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,
[x],01-7.fra.lacework.net,300,,"{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
[x],02-85.fra.lacework.net,300,"162.159.137.89, 162.159.138.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
[x],026-v3-client.fra.lacework.net,300,"162.159.137.89, 162.159.138.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8a59, 2606:4700:7::a29f:8959",,,,,,,,
[x],031-2-11.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
[x],031-2-12.fra.lacework.net,181,"162.159.137.89, 162.159.138.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,
[x],04-27.fra.lacework.net,300,,"{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8a59, 2606:4700:7::a29f:8959",,,,,,,,
[x],05-3-9-89.fra.lacework.net,300,"162.159.138.89, 162.159.137.89","{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8a59, 2606:4700:7::a29f:8959",,,,,,,,
[x],05-3-99.fra.lacework.net,300,,"{'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lacework.net', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337368452, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:7::a29f:8959, 2606:4700:7::a29f:8a59",,,,,,,,
