new,host,ttl,a,soa,has_internal_ips,internal_ips,status_code,aaaa
[x],alibaba.zaproxy.org,300,100.100.100.200,"{'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",True,100.100.100.200,NOERROR,
[x],aws.zaproxy.org,1800,,"{'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,,NOERROR,
[x],cfu.zaproxy.org,300,,"{'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,,NOERROR,"2606:4700:3035::6815:179, 2606:4700:3037::ac43:8135"
[x],news.zaproxy.org,300,"104.21.1.121, 172.67.129.53","{'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,,NOERROR,"2606:4700:3037::ac43:8135, 2606:4700:3035::6815:179"
[x],tel.zaproxy.org,300,"172.67.129.53, 104.21.1.121","{'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,,NOERROR,"2606:4700:3035::6815:179, 2606:4700:3037::ac43:8135"
[x],www.zaproxy.org,300,"172.67.129.53, 104.21.1.121","{'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'zaproxy.org', 'ns': 'cloe.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344760696, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,,NOERROR,"2606:4700:3035::6815:179, 2606:4700:3037::ac43:8135"
